ts,NN,O
india,NN,I-LEGAL
keshav,CD,O
singh,NN,O
case,IN,O
air,JJ,O
1965,NN,O
sc,NN,O
745,NN,O
and,NN,O
l,CD,O
chandra,NN,O
kumar,CD,O
v,CC,O
union,JJ,O
of,NN,O
india,NN,O
manu,NNP,O
sc,NN,O
0261,IN,O
1997manu,JJ,O
sc,NN,O
0261,NN,O
1997,CD,O
1997,CD,O
3,NN,O
scc,CD,O
261,CD,O
18,CD,O
in,CD,O
hussainara,VBD,O
khatoon,CD,O
v,CD,O
state,IN,O
of,NN,O
bihar,NN,O
manu,NN,O
sc,NN,O
0119,IN,O
1979manu,NN,O
sc,NN,O
0119,NN,O
1979,CD,O
1980,CD,O
1,NN,O
scc,CD,O
81,CD,O
this,CD,O
court,CD,O
declared,NN,O
speedy,CD,B-LEGAL
trial,DT,I-LEGAL
as,NN,O
an,VBD,O
integral,JJ,O
and,NN,O
essential,IN,O
part,DT,O
of,JJ,O
the,CC,O
fundamental,JJ,B-LEGAL
right,NN,I-LEGAL
to,IN,O
life,DT,O
and,JJ,O
liberty,NN,O
enshrined,TO,O
in,NN,O
article,CC,O
21,NN,O
it,VBN,O
also,IN,O
pointed,NN,O
out,CD,O
that,PRP,O
article,RB,O
39a,VBD,O
made,RP,O
free,IN,B-LEGAL
legal,NN,I-LEGAL
service,CD,I-LEGAL
an,VBD,O
inalienable,JJ,O
element,JJ,O
of,NN,O
reasonable,DT,O
fair,JJ,O
and,NN,O
just,IN,O
procedure,JJ,O
and,NN,O
that,CC,O
the,RB,O
right,NN,O
to,CC,O
such,IN,O
services,DT,O
was,NN,O
implicit,TO,O
in,JJ,O
the,NNS,O
guarantee,VBD,O
of,JJ,O
article,IN,O
21,DT,O
19,NN,O
in,IN,O
imtiyaz,NN,O
ahmad,CD,O
v,CD,O
state,IN,O
of,NN,O
uttar,NN,O
pradesh,NN,O
and,NN,O
ors,IN,O
manu,JJ,O
sc,NN,O
0073,CC,O
2012manu,NNS,O
sc,VBP,O
0073,JJ,O
2012,CD,O
2012,CD,O
2,NN,O
scc,CD,O
688,CD,O
a,CD,O
two,CD,O
judge,NN,O
bench,CD,O
of,DT,O
this,CD,O
court,NN,O
to,NN,O
which,IN,O
one,DT,O
of,NN,O
us,TO,O
thakur,WDT,O
j,CD,O
was,IN,O
also,PRP,O
a,VBP,O
party,NN,O
this,VBD,O
court,RB,O
examined,DT,O
the,NN,O
correctness,DT,O
of,NN,O
an,VBD,O
interlocutory,DT,B-LEGAL
order,NN,I-LEGAL
passed,IN,O
by,DT,O
a,JJ,O
learned,NN,O
single,VBN,O
judge,IN,O
of,DT,O
the,VBN,O
high,JJ,O
court,NN,O
of,IN,O
allahabad,DT,O
whereby,JJ,O
the,NN,O
single,IN,O
judge,NN,O
had,VBP,O
stayed,DT,O
the,JJ,O
order,NN,O
passed,VBD,O
by,VBN,O
the,DT,O
additional,NN,O
chief,VBN,O
judicial,IN,O
magistrate,DT,O
directing,JJ,O
registration,NN,O
of,JJ,O
a,NN,O
case,VBG,O
against,NN,O
the,IN,O
respondents,DT,O
since,NN,O
the,IN,O
matter,DT,O
had,NNS,O
remained,IN,O
pending,DT,O
before,NN,O
the,VBD,O
high,VBN,O
court,VBG,O
and,IN,O
was,DT,O
not,JJ,O
heard,NN,O
for,CC,O
a,VBD,O
long,RB,O
time,VBN,O
of,IN,O
over,DT,O
six,JJ,O
years,NN,O
or,IN,O
so,IN,O
and,CD,O
since,NNS,O
several,CC,O
other,RB,O
cases,CC,O
in,IN,O
different,JJ,O
high,JJ,O
courts,NNS,O
in,IN,O
india,JJ,O
were,JJ,O
similarly,NNS,O
pending,IN,O
in,NN,O
which,VBD,O
the,RB,O
proceedings,VBG,O
before,IN,O
the,WDT,O
trial,DT,O
court,NNS,O
had,IN,O
been,DT,O
stayed,NN,O
no,NN,O
matter,VBD,O
the,VBN,O
cases,VBN,O
involved,DT,O
commission,NN,O
of,DT,O
heinous,NNS,O
offences,VBN,O
like,NN,O
murder,IN,O
rape,JJ,O
kidnapping,NNS,B-LEGAL
and,IN,O
dacoity,NN,B-LEGAL
etc,NN,O
this,NN,O
court,CC,O
enlarged,NN,O
the,VBP,O
scope,DT,O
of,NN,O
the,VBD,O
proceedings,DT,O
and,NN,O
directed,IN,O
the,DT,O
registrar,NNS,O
generals,CC,O
of,VBD,O
the,DT,O
high,NN,O
courts,NNS,O
to,IN,O
furnish,DT,O
a,JJ,O
report,NNS,O
containing,TO,O
statistics,VB,O
of,DT,O
cases,NN,O
pending,VBG,O
in,NNS,O
the,IN,O
respective,NNS,O
courts,VBG,O
in,IN,O
which,DT,O
the,JJ,O
proceedings,NNS,O
had,IN,O
been,WDT,O
stayed,DT,O
at,NNS,O
the,VBD,O
stage,VBN,O
of,VBN,O
registration,IN,O
of,DT,O
fir,NN,O
and,IN,O
framing,NN,O
of,IN,O
charges,NN,O
in,CC,O
exercise,NN,O
of,IN,O
powers,NNS,O
under,IN,O
article,NN,O
226,IN,O
of,NNS,O
the,IN,O
constitution,NN,O
or,CD,O
section,IN,O
482,DT,O
or,NN,O
397,CC,O
of,NN,O
the,CD,O
code,CC,O
of,CD,O
criminal,IN,O
procedure,DT,O
on,NN,O
the,IN,O
basis,JJ,O
of,NN,O
the,IN,O
statistics,DT,O
so,NN,O
furnished,IN,O
by,DT,O
the,NNS,O
high,RB,O
courts,VBN,O
this,IN,O
court,DT,O
held,JJ,O
that,NNS,O
administration,DT,O
of,NN,O
justice,VBD,O
was,DT,O
facing,NN,O
problems,IN,O
of,NN,O
serious,VBD,O
dimensions,VBG,O
this,NNS,O
court,IN,O
also,JJ,O
noticed,NNS,O
on,DT,O
the,NN,O
basis,RB,O
of,VBN,O
the,IN,O
material,DT,O
made,NN,O
available,IN,O
by,DT,O
the,NN,O
high,VBD,O
courts,JJ,O
that,IN,O
unduly,DT,O
long,JJ,O
delay,NNS,O
was,IN,O
being,RB,O
caused,JJ,O
in,NN,O
the,VBD,O
disposal,VBG,O
of,VBN,O
the,IN,O
cases,DT,O
resulting,NN,O
in,IN,O
a,DT,O
blatant,NNS,O
violation,VBG,O
of,IN,O
the,DT,O
rule,JJ,B-LEGAL
of,NN,I-LEGAL
law,IN,I-LEGAL
and,DT,O
the,NN,O
right,IN,O
of,NN,O
common,CC,O
man,DT,O
to,NN,O
seek,IN,O
access,JJ,O
to,NN,O
justice,TO,O
emphasizing,VB,O
the,NN,O
importance,TO,O
of,NN,O
access,VBG,O
to,DT,O
justice,NN,O
and,IN,O
recognizing,NN,O
the,TO,O
right,NN,O
as,CC,O
a,VBG,O
fundamental,DT,B-LEGAL
right,NN,I-LEGAL
relatable,IN,O
to,DT,O
article,JJ,O
21,NN,O
of,NN,O
the,TO,O
constitution,NN,B-LEGAL
of,CD,I-LEGAL
india,IN,I-LEGAL
this,DT,O
court,NN,O
observed,IN,O
25,NN,O
unduly,DT,O
long,NN,O
delay,VBD,O
has,CD,O
the,RB,O
effect,JJ,O
of,NN,O
bringing,VBZ,O
about,DT,O
blatant,NN,O
violation,IN,O
of,VBG,O
the,IN,O
rule,JJ,B-LEGAL
of,NN,I-LEGAL
law,IN,I-LEGAL
and,DT,O
adverse,NN,O
impact,IN,O
on,NN,O
the,CC,O
common,JJ,O
man,NN,O
s,IN,O
access,DT,O
to,JJ,O
justice,NN,O
a,JJ,O
person,NN,O
s,TO,O
access,VB,O
to,DT,O
justice,NN,O
is,JJ,O
a,NN,O
guaranteed,TO,O
fundamental,NN,B-LEGAL
right,VBZ,I-LEGAL
under,DT,O
the,JJ,O
constitution,JJ,O
and,NN,O
particularly,IN,O
article,DT,O
21,NN,O
denial,CC,O
of,RB,O
the,NN,O
right,CD,O
undermines,NN,O
public,IN,O
confidence,DT,O
in,JJ,O
the,NNS,O
justice,JJ,O
delivery,NN,O
system,IN,O
and,DT,O
incentivises,NN,O
people,NN,O
to,NN,O
look,CC,O
for,VBZ,O
shot,NNS,O
cuts,TO,O
and,VB,O
other,IN,O
fora,NN,O
where,NNS,O
they,CC,O
feel,JJ,O
that,NNS,O
injustice,WRB,O
will,PRP,O
be,VBP,O
done,IN,O
quicker,NN,O
in,MD,O
the,VB,O
long,VBN,O
run,NN,O
this,IN,O
also,DT,O
weakens,JJ,O
the,NN,O
justice,DT,O
delivery,RB,O
system,VBZ,O
and,DT,O
poses,NN,O
a,NN,O
threat,NN,O
to,CC,O
the,VBZ,O
rule,DT,B-LEGAL
of,NN,I-LEGAL
law,TO,I-LEGAL
26,DT,O
it,NN,O
may,IN,O
not,NN,O
be,CD,O
out,PRP,O
of,MD,O
place,RB,O
to,VB,O
highlight,IN,O
that,IN,O
access,NN,O
to,TO,O
justice,VB,O
in,DT,O
an,NN,O
egalitarian,TO,O
democracy,NN,O
must,IN,O
be,DT,O
understood,JJ,O
to,NN,O
mean,MD,O
qualitative,VB,O
access,JJ,O
to,TO,O
justice,VB,O
as,JJ,O
well,NN,O
access,TO,O
to,NN,O
justice,RB,O
is,RB,O
therefore,NN,O
much,TO,O
more,NN,O
than,VBZ,O
improving,RB,O
an,RB,O
individual,JJR,O
s,IN,O
access,VBG,O
to,DT,O
courts,JJ,O
or,NN,O
guaranteeing,NN,O
representation,TO,O
it,NNS,O
must,CC,O
be,VBG,O
defined,NN,O
in,PRP,O
terms,MD,O
of,VB,O
ensuring,VBN,O
that,IN,O
legal,NNS,O
and,IN,O
judicial,VBG,O
outcomes,IN,O
are,JJ,O
just,CC,O
and,JJ,O
inequitable,NNS,O
see,VBP,O
united,RB,O
nations,CC,O
development,JJ,O
programme,NN,O
access,JJ,O
to,NNS,O
justice,NN,O
practice,NN,O
note,NN,O
2004,TO,O
27,NN,O
the,NN,O
present,NN,O
case,CD,O
discloses,CD,O
the,DT,O
need,JJ,O
to,NN,O
reiterate,VBZ,O
that,DT,O
access,NN,O
to,TO,O
justice,VB,O
is,DT,O
vital,NN,O
for,TO,O
the,NN,O
rule,VBZ,B-LEGAL
of,JJ,I-LEGAL
law,IN,I-LEGAL
which,DT,O
by,NN,O
implication,IN,O
includes,NN,O
the,WDT,O
right,IN,O
of,NN,O
access,VBZ,O
to,DT,O
an,NN,O
independent,IN,O
judiciary,NN,O
it,TO,O
is,DT,O
submitted,JJ,O
that,NN,O
the,PRP,O
stay,VBZ,O
of,VBN,O
investigation,IN,O
or,DT,O
trial,NN,O
for,IN,O
significant,NN,O
periods,CC,O
of,NN,O
time,IN,O
runs,JJ,O
counter,NNS,O
to,IN,O
the,NN,O
principle,NNS,O
of,RB,O
rule,TO,B-LEGAL
of,DT,I-LEGAL
law,NN,I-LEGAL
wherein,IN,O
the,NN,O
rights,IN,O
and,NN,O
aspirations,VBP,O
of,DT,O
citizens,NNS,O
are,CC,O
intertwined,NNS,O
with,IN,O
expeditious,NNS,O
conclusion,VBP,O
of,VBN,O
matters,IN,O
it,JJ,O
is,NN,O
further,IN,O
submitted,NNS,O
that,PRP,O
delay,VBZ,O
in,RBR,O
conclusion,VBN,O
of,IN,O
criminal,NN,O
matters,IN,O
signifies,NN,O
a,IN,O
restriction,JJ,O
on,NNS,O
the,VBZ,O
right,DT,O
of,NN,O
access,IN,O
to,DT,O
justice,NN,O
itself,IN,O
thus,NN,O
amounting,TO,O
to,VB,O
a,PRP,O
violation,RB,O
of,VBG,O
citizen,TO,O
s,DT,O
rights,NN,O
under,IN,O
the,JJ,O
constitution,NN,O
in,NNS,O
particular,IN,O
under,DT,O
article,NN,O
21,IN,O
20,JJ,O
the,IN,O
court,NN,O
held,CD,O
that,CD,O
rule,DT,B-LEGAL
of,NN,I-LEGAL
law,VBD,I-LEGAL
independence,IN,O
of,NN,O
judiciary,IN,O
and,NN,O
access,NN,O
to,IN,O
justice,NN,O
are,CC,O
conceptually,NN,O
interwoven,TO,O
the,NN,O
court,VBP,O
also,RB,O
referred,VBN,O
to,DT,O
the,NN,O
international,RB,O
covenant,VBD,O
on,TO,O
civil,DT,O
and,JJ,O
political,NN,O
rights,IN,O
and,JJ,O
the,CC,O
statute,JJ,O
of,NNS,O
the,CC,O
international,DT,O
criminal,NN,O
court,IN,O
it,DT,O
also,JJ,O
referred,JJ,O
to,NN,O
article,PRP,O
47,RB,O
of,VBD,O
the,TO,O
charter,NN,O
of,CD,O
fundamental,IN,O
rights,DT,O
of,NN,O
european,IN,O
union,JJ,O
2007,NNS,O
and,IN,O
european,JJ,O
convention,NN,O
on,CD,O
human,CC,O
rights,JJ,O
and,NN,O
fundamental,IN,O
freedom,JJ,O
1950,NNS,O
reliance,CC,O
was,JJ,O
placed,NN,O
upon,CD,O
the,NN,O
european,VBD,O
court,VBN,O
of,IN,O
human,DT,O
rights,JJ,O
decision,NN,O
in,IN,O
delcourt,JJ,O
v,NNS,O
belgium,NN,O
1970,IN,O
echr,NN,O
1,NN,O
to,NN,O
hold,CD,O
that,NN,O
access,CD,O
to,TO,O
justice,VB,O
was,DT,O
a,NN,O
valuable,TO,O
human,NN,O
and,VBD,O
fundamental,DT,B-LEGAL
right,JJ,I-LEGAL
relatable,NN,O
to,CC,O
article,JJ,O
21,NN,O
of,NN,O
the,TO,O
constitution,NN,B-LEGAL
of,CD,I-LEGAL
india,IN,I-LEGAL
having,DT,O
said,NN,O
that,IN,O
this,NN,O
court,VBG,O
issued,VBD,O
directions,IN,O
for,DT,O
better,NN,O
maintenance,VBD,O
of,NNS,O
the,IN,O
rule,JJR,B-LEGAL
of,NN,I-LEGAL
law,IN,I-LEGAL
and,DT,O
better,NN,O
administration,IN,O
of,NN,O
justice,CC,O
by,JJR,O
the,NN,O
high,IN,O
courts,NN,O
it,IN,O
also,DT,O
directed,JJ,O
the,NNS,O
law,PRP,O
commission,RB,O
of,VBD,O
india,DT,O
to,NN,O
undertake,NN,O
a,IN,O
study,NN,O
and,TO,O
submit,VB,O
its,DT,O
recommendations,NN,O
in,CC,O
relation,VB,O
to,PRP$,O
measures,NNS,O
that,IN,O
need,NN,O
to,TO,O
be,NNS,O
taken,WDT,O
by,VBP,O
creation,TO,O
of,VB,O
additional,VBN,O
courts,IN,O
and,NN,O
other,IN,O
allied,JJ,O
matters,NNS,O
including,CC,O
rational,JJ,O
and,JJ,O
scientific,NNS,O
methods,VBG,O
for,JJ,O
elimination,CC,O
of,JJ,O
arrears,NNS,O
to,IN,O
help,NN,O
reduce,IN,O
delay,NNS,O
and,TO,O
speedy,VB,O
clearance,VB,O
of,NN,O
the,CC,O
backlog,JJ,O
of,NN,O
cases,IN,O
21,DT,O
in,NN,O
brij,IN,O
mohan,NNS,O
lal,CD,O
v,IN,O
union,NN,O
of,NN,O
india,NN,O
and,NNP,O
ors,NN,O
manu,IN,O
sc,NN,O
0316,CC,O
2012manu,NNS,O
sc,VBP,O
0316,JJ,O
2012,CD,O
2012,CD,O
6,NN,O
scc,CD,O
502,CD,O
this,CD,O
court,CD,O
declared,NN,O
that,CD,O
article,DT,O
21,NN,O
guarantees,VBD,O
to,IN,O
the,NN,O
citizens,CD,O
the,NNS,O
rights,TO,O
to,DT,O
expeditious,NNS,O
and,DT,O
fair,NNS,O
trial,TO,O
the,JJ,O
court,CC,O
observed,JJ,O
137,NN,O
article,DT,O
21,NN,O
of,VBD,O
the,CD,O
constitution,NN,B-LEGAL
of,CD,I-LEGAL
india,IN,I-LEGAL
takes,DT,O
in,NN,O
its,IN,O
sweep,JJ,O
the,VBZ,O
right,IN,O
to,PRP$,O
expeditious,NN,O
and,DT,O
fair,NN,O
trial,TO,O
even,JJ,O
article,CC,O
39a,JJ,O
of,NN,O
the,RB,O
constitution,NN,O
recognises,CD,O
the,IN,O
right,DT,O
of,NN,O
citizens,VBZ,O
to,DT,O
equal,NN,O
justice,IN,O
and,NNS,O
free,TO,B-LEGAL
legal,JJ,I-LEGAL
aid,NN,I-LEGAL
to,CC,O
put,JJ,O
it,JJ,O
simply,NN,O
it,TO,O
is,VB,O
the,PRP,O
constitutional,RB,O
duty,PRP,O
of,VBZ,O
the,DT,O
government,JJ,O
to,NN,O
provide,IN,O
the,DT,O
citizens,NN,O
of,TO,O
the,VB,O
country,DT,O
with,NNS,O
such,IN,O
judicial,DT,O
infrastructure,NN,O
and,IN,O
means,JJ,O
of,JJ,O
access,NN,O
to,CC,O
justice,NNS,O
so,IN,O
that,NN,O
every,TO,O
person,VB,O
is,RB,O
able,IN,O
to,DT,O
receive,NN,O
an,VBZ,O
expeditious,JJ,O
inexpensive,TO,O
and,VB,O
fair,DT,O
trial,JJ,O
the,NN,O
plea,CC,O
of,JJ,O
financial,NN,O
limitations,DT,O
or,NN,O
constraints,IN,O
can,JJ,O
hardly,NNS,O
be,CC,O
justified,NNS,O
as,MD,O
a,RB,O
valid,VB,O
excuse,VBN,O
to,IN,O
avoid,DT,O
performance,JJ,O
of,NN,O
the,TO,O
constitutional,VB,O
duty,NN,O
of,IN,O
the,DT,O
government,JJ,O
more,NN,O
particularly,IN,O
when,DT,O
such,NN,O
rights,JJR,O
are,RB,O
accepted,WRB,O
as,JJ,O
basic,NNS,O
and,VBP,O
fundamental,VBN,O
to,IN,O
the,JJ,O
human,CC,O
rights,JJ,O
of,TO,O
citizens,DT,O
22,JJ,O
in,NNS,O
tamilnad,IN,O
mercantile,NNS,O
bank,CD,O
shareholders,IN,O
welfare,NN,O
association,NN,O
v,NN,O
sc,NNS,O
sekar,VBP,O
and,NN,O
ors,NN,O
manu,NN,O
sc,NN,O
8375,CC,O
2008manu,NNS,O
sc,VBP,O
8375,JJ,O
2008,CD,O
2009,CD,O
2,NN,O
scc,CD,O
784,CD,O
this,CD,O
court,CD,O
declared,NN,O
that,CD,O
an,DT,O
aggrieved,NN,O
person,VBD,O
cannot,IN,O
be,DT,O
left,JJ,O
without,NN,O
the,MD,O
remedy,RB,O
and,VB,O
that,VBN,O
access,IN,O
to,DT,O
justice,NN,O
is,CC,O
a,DT,O
human,NN,O
right,TO,O
and,NN,O
in,VBZ,O
certain,DT,O
situations,JJ,O
even,NN,O
a,CC,O
fundamental,IN,B-LEGAL
right,JJ,I-LEGAL
23,NNS,O
in,RB,O
order,DT,O
that,JJ,O
the,NN,O
juristic,CD,O
content,IN,O
and,NN,O
basis,IN,O
of,DT,O
access,JJ,O
to,NN,O
justice,CC,O
as,NN,O
a,IN,O
fundamental,NN,B-LEGAL
right,TO,I-LEGAL
is,NN,O
not,IN,O
provided,DT,O
only,JJ,O
by,NN,O
judicial,VBZ,O
pronouncements,RB,O
the,VBN,O
commission,RB,O
for,IN,O
review,JJ,O
of,NNS,O
the,DT,O
constitution,NN,O
has,IN,O
recommended,NN,O
that,IN,O
access,DT,O
to,NN,O
justice,VBZ,O
be,VBN,O
incorporated,IN,O
as,NN,O
an,TO,O
express,NN,O
fundamental,VB,O
rights,VBN,O
as,IN,O
in,DT,O
the,NN,O
south,JJ,O
african,NNS,O
constitution,IN,O
1996,IN,O
article,DT,O
34,JJ,O
of,JJ,O
the,NN,O
south,CD,O
african,NN,O
constitution,CD,O
reads,IN,O
article,DT,O
34,JJ,O
access,JJ,O
to,NN,O
courts,NNS,O
and,NN,O
tribunals,CD,O
and,NN,O
speedy,TO,O
justice,NNS,O
1,CC,O
everyone,NNS,O
has,CC,O
the,JJ,O
right,NN,O
to,CD,O
have,NN,O
any,VBZ,O
dispute,DT,O
that,NN,O
can,TO,O
be,VB,O
resolved,DT,O
by,NN,O
the,WDT,O
application,MD,O
of,VB,O
law,VBN,O
decided,IN,O
in,DT,O
a,NN,O
fair,IN,O
public,NN,O
hearing,VBD,O
before,IN,O
a,DT,O
court,JJ,O
or,JJ,O
tribunal,NN,O
or,IN,O
forum,DT,O
or,NN,O
where,CC,O
appropriate,NN,O
another,CC,O
independent,NN,O
and,CC,O
impartial,WRB,O
court,JJ,O
tribunal,DT,O
or,JJ,O
forum,CC,O
2,JJ,O
the,NN,O
right,NN,O
to,CC,O
access,NN,O
to,CD,O
courts,DT,O
shall,NN,O
be,TO,O
deemed,NN,O
to,TO,O
include,VB,O
right,MD,O
to,VB,O
reasonably,VBN,O
speedy,TO,O
and,VB,O
effective,JJ,O
justice,TO,O
in,VB,O
all,NN,O
matters,CC,O
before,JJ,O
the,NN,O
courts,IN,O
tribunals,DT,O
or,NNS,O
other,IN,O
forum,DT,O
and,NNS,O
the,NNS,O
state,CC,O
shall,JJ,O
take,NN,O
all,CC,O
reasonable,DT,O
steps,NN,O
to,MD,O
achieve,VB,O
that,DT,O
object,JJ,O
24,NNS,O
insertion,TO,O
of,VB,O
article,DT,O
30a,VBP,O
in,CD,O
the,NN,O
constitution,IN,O
in,NN,O
the,CD,O
following,IN,O
terms,DT,O
was,NN,O
accordingly,IN,O
proposed,DT,O
by,JJ,O
the,NNS,O
commission,VBD,O
30a,RB,O
access,VBN,O
to,IN,O
courts,DT,O
and,NN,O
tribunals,CD,O
and,NN,O
speedy,TO,O
justice,NNS,O
1,CC,O
everyone,NNS,O
has,CC,O
a,JJ,O
right,NN,O
to,CD,O
have,NN,O
any,VBZ,O
dispute,DT,O
that,NN,O
can,TO,O
be,VB,O
resolved,DT,O
by,NN,O
the,WDT,O
application,MD,O
of,VB,O
law,VBN,O
decided,IN,O
in,DT,O
a,NN,O
fair,IN,O
public,NN,O
hearing,VBD,O
before,IN,O
an,DT,O
independent,JJ,O
court,JJ,O
or,NN,O
where,IN,O
appropriate,DT,O
another,JJ,O
independent,NN,O
and,CC,O
impartial,WRB,O
tribunal,JJ,O
or,DT,O
forum,JJ,O
2,CC,O
the,JJ,O
right,NN,O
to,CC,O
access,NN,O
to,CD,O
courts,DT,O
shall,NN,O
be,TO,O
deemed,NN,O
to,TO,O
include,VB,O
the,MD,O
right,VB,O
to,VBN,O
reasonably,TO,O
speedy,VB,O
and,DT,O
effective,NN,O
justice,TO,O
in,VB,O
all,NN,O
matters,CC,O
before,JJ,O
the,NN,O
courts,IN,O
tribunals,DT,O
or,NNS,O
other,IN,O
fora,DT,O
and,NNS,O
the,NNS,O
state,CC,O
shall,JJ,O
take,NNS,O
all,CC,O
reasonable,DT,O
steps,NN,O
to,MD,O
achieve,VB,O
the,DT,O
said,JJ,O
object,NNS,O
25,TO,O
the,VB,O
recommendation,DT,O
has,VBD,O
not,JJ,O
yet,CD,O
led,DT,O
to,NN,O
the,VBZ,O
incorporation,RB,O
of,RB,O
the,VBN,O
proposed,TO,O
article,DT,O
30a,NN,O
but,IN,O
that,DT,O
does,VBN,O
not,NN,O
in,CD,O
the,CC,O
least,DT,O
matter,VBZ,O
for,RB,O
what,IN,O
the,DT,O
proposed,JJS,O
article,NN,O
may,IN,O
have,WP,O
added,DT,O
to,VBN,O
the,NN,O
constitutional,MD,O
guarantees,VB,O
already,VBN,O
stands,TO,O
acknowledged,DT,O
as,JJ,O
a,NNS,O
part,RB,O
of,VBZ,O
the,VBN,O
right,IN,O
to,DT,O
life,NN,O
under,IN,O
article,DT,O
21,NN,O
of,TO,O
the,NN,O
constitution,IN,O
by,NN,O
judicial,CD,O
pronouncements,IN,O
of,DT,O
this,NN,O
court,IN,O
the,JJ,O
proposed,NNS,O
incorporation,IN,O
of,DT,O
article,NN,O
30a,DT,O
would,VBN,O
have,NN,O
simply,IN,O
formalised,NN,O
what,CD,O
already,MD,O
stands,VB,O
recognised,RB,O
by,VBN,O
judges,WP,O
and,RB,O
jurists,VBZ,O
alike,VBN,O
v,IN,O
krishna,NNS,O
iyer,CC,O
j,NNS,O
has,RB,O
in,VBP,O
his,NNS,O
inimitable,NN,O
style,NN,O
explained,VBZ,O
the,IN,O
importance,PRP$,O
of,JJ,O
access,NN,O
to,VBD,O
justice,DT,O
in,NN,O
the,IN,O
following,NN,O
words,TO,O
access,NN,O
to,IN,O
justice,DT,O
is,JJ,O
basic,NNS,O
to,NN,O
human,TO,O
rights,NN,O
and,VBZ,O
directive,JJ,O
principles,TO,O
of,JJ,O
state,NNS,O
policy,CC,O
become,JJ,O
ropes,NNS,O
of,IN,O
sand,NN,O
teasing,NN,O
illusion,VBP,O
and,NNS,O
promise,IN,O
of,NN,O
unreality,VBG,O
unless,NN,O
there,CC,O
is,NN,O
effective,IN,O
means,NN,O
for,IN,O
the,EX,O
common,VBZ,O
people,JJ,O
to,NNS,O
reach,IN,O
the,DT,O
court,JJ,O
seek,NNS,O
remedy,TO,O
and,VB,O
enjoy,DT,O
the,NN,O
fruits,JJ,O
of,NN,O
law,CC,O
and,VB,O
justice,DT,O
26,NNS,O
to,IN,O
sum,NN,O
up,CC,O
access,NN,O
to,CD,O
justice,TO,O
is,VB,O
and,RP,O
has,NN,O
been,TO,O
recognised,NN,O
as,VBZ,O
a,CC,O
part,VBZ,O
and,VBN,O
parcel,VBN,O
of,IN,O
right,DT,O
to,NN,O
life,CC,O
in,NN,O
india,IN,O
and,NN,O
in,TO,O
all,NN,O
civilized,IN,O
societies,NN,O
around,CC,O
the,IN,O
globe,DT,O
the,JJ,O
right,NNS,O
is,IN,O
so,DT,O
basic,NN,O
and,DT,O
inalienable,NN,O
that,VBZ,O
no,RB,O
system,JJ,O
of,CC,O
governance,JJ,O
can,IN,O
possibly,DT,O
ignore,NN,O
its,IN,O
significance,NN,O
leave,MD,O
alone,RB,O
afford,VB,O
to,PRP$,O
deny,NN,O
the,VBP,O
same,RB,O
to,NN,O
its,TO,O
citizens,VB,O
the,DT,O
magna,JJ,O
carta,TO,O
the,PRP$,O
universal,NNS,O
declaration,DT,O
of,NN,O
rights,VBD,O
the,DT,O
international,JJ,O
covenant,NN,O
on,IN,O
civil,NNS,O
and,DT,O
political,JJ,O
rights,NN,O
1966,IN,O
the,JJ,O
ancient,CC,O
roman,JJ,O
jurisprudential,NNS,O
maxim,CD,O
of,DT,O
ubi,JJ,O
jus,NN,O
ibi,JJ,O
remedium,NN,O
the,IN,O
development,JJ,O
of,NN,O
fundamental,NN,O
principles,VBP,O
of,DT,O
common,NN,B-LEGAL
law,IN,I-LEGAL
by,JJ,O
judicial,NNS,O
pronouncements,IN,O
of,JJ,O
the,NN,O
courts,IN,O
over,JJ,O
centuries,NNS,O
past,IN,O
have,DT,O
all,NNS,O
contributed,IN,O
to,NNS,O
the,VBN,O
acceptance,VBP,O
of,DT,O
access,VBN,O
to,TO,O
justice,DT,O
as,NN,O
a,IN,O
basic,NN,O
and,TO,O
inalienable,NN,O
human,IN,O
right,DT,O
which,JJ,O
all,CC,O
civilized,JJ,O
societies,NN,O
and,NN,O
systems,WDT,O
recognise,DT,O
and,VBD,O
enforce,NNS,O
27,CC,O
this,NNS,O
court,NN,O
has,CC,O
by,VB,O
a,CD,O
long,DT,O
line,NN,O
of,VBZ,O
decisions,IN,O
given,DT,O
an,JJ,O
expansive,NN,O
meaning,IN,O
and,NNS,O
interpretation,VBN,O
to,DT,O
the,JJ,O
word,NN,O
life,CC,O
appearing,NN,O
in,TO,O
article,DT,O
21,NN,O
of,NN,O
the,VBG,O
constitution,IN,O
in,NN,O
maneka,CD,O
gandhi,IN,O
v,DT,O
union,NN,O
of,IN,O
india,NN,O
manu,NN,O
sc,NNP,O
0133,NN,O
1978manu,IN,O
sc,JJ,O
0133,NN,O
1978,NN,O
1978,CD,O
1,CD,O
scc,NN,O
248,CD,O
this,CD,O
court,CD,O
declared,CD,O
that,NN,O
the,CD,O
right,DT,O
to,NN,O
life,VBD,O
does,IN,O
not,DT,O
mean,NN,O
mere,TO,O
animal,NN,O
existence,VBZ,O
alone,RB,O
but,VB,O
includes,RB,O
every,JJ,O
aspect,NN,O
that,RB,O
makes,CC,O
life,VBZ,O
meaningful,DT,O
and,NN,O
liveable,WDT,O
to,VBZ,O
be,NN,O
checked,JJ,O
in,CC,O
sunil,JJ,O
batra,TO,O
v,VB,O
delhi,VBN,O
administration,IN,O
manu,JJ,O
sc,JJ,O
0184,NN,O
1978manu,NN,O
sc,NN,O
