ak,NN,O
counsel,DT,O
midway,NN,O
of,NN,O
the,NN,O
trial,IN,O
the,DT,O
counsel,NN,O
who,DT,O
was,NN,O
engaged,WP,O
for,VBD,O
defending,VBN,O
the,IN,O
appellant,VBG,O
had,DT,O
cross,NN,O
examined,VBD,O
the,NN,O
witnesses,VBN,O
but,DT,O
he,NNS,O
could,CC,O
not,PRP,O
complete,MD,O
the,RB,O
trial,VB,O
because,DT,O
of,NN,O
his,IN,O
death,IN,O
when,PRP$,O
the,NN,O
new,WRB,O
counsel,DT,O
took,JJ,O
up,NN,O
the,VBD,O
matter,RP,O
he,DT,O
would,NN,O
certainly,PRP,O
be,MD,O
under,RB,O
the,VB,O
disadvantage,IN,O
that,DT,O
he,NN,O
could,IN,O
not,PRP,O
ascertain,MD,O
from,RB,O
the,VB,O
erstwhile,IN,O
counsel,DT,O
as,JJ,O
to,NN,O
the,IN,O
scheme,TO,O
of,DT,O
the,NN,O
defence,IN,O
strategy,DT,O
which,NN,O
the,NN,O
predeceased,WDT,O
advocate,DT,O
had,JJ,O
in,NN,O
mind,VBD,O
or,IN,O
as,NN,O
to,CC,O
why,IN,O
he,TO,O
had,WRB,O
not,PRP,O
put,VBD,O
further,RB,O
questions,VBN,O
on,JJ,O
certain,NNS,O
aspects,IN,O
in,JJ,O
such,NNS,O
circumstances,IN,O
if,JJ,O
the,NNS,O
new,IN,O
counsel,DT,O
thought,JJ,O
to,NN,O
have,VBN,O
the,TO,O
material,VB,O
witnesses,DT,O
further,NN,O
examined,VBZ,O
the,RBR,O
court,VBD,O
could,DT,O
adopt,NN,O
latitude,MD,O
and,VB,O
a,NN,O
liberal,CC,O
view,DT,O
in,JJ,O
the,NN,O
interest,IN,O
of,DT,O
justice,NN,O
particularly,IN,O
when,NN,O
the,RB,O
court,WRB,O
has,DT,O
unbridled,NN,O
powers,VBZ,O
in,VBN,O
the,NNS,O
matter,IN,O
as,DT,O
enshrined,NN,O
in,IN,O
section,VBN,O
311,IN,O
of,NN,O
the,CD,O
code,IN,O
after,DT,O
all,NN,O
the,IN,O
trial,PDT,O
is,DT,O
basically,NN,O
for,VBZ,O
the,RB,O
prisoners,IN,O
and,DT,O
courts,NNS,O
should,CC,O
afford,NNS,O
the,MD,O
opportunity,VB,O
to,DT,O
them,NN,O
in,TO,O
the,PRP,O
fairest,IN,O
manner,DT,O
possible,JJS,O
15,NN,O
the,JJ,O
above,CD,O
observations,DT,O
cannot,JJ,O
be,NNS,O
read,MD,O
as,RB,O
laying,VB,O
down,VBN,O
any,IN,O
inflexible,VBG,O
rule,RP,O
to,DT,O
routinely,JJ,O
permit,NN,O
a,TO,O
recall,RB,O
on,VB,O
the,DT,O
ground,NN,O
that,IN,O
cross,DT,O
examination,NN,O
was,IN,O
not,NN,O
proper,NN,O
for,VBD,O
reasons,RB,O
attributable,JJ,O
to,IN,O
a,NNS,O
counsel,JJ,O
while,TO,O
advancement,DT,O
of,NN,O
justice,IN,O
remains,NN,O
the,IN,O
prime,NN,O
object,VBZ,O
of,DT,O
law,JJ,O
it,NN,O
cannot,IN,O
be,NN,O
understood,PRP,O
that,MD,O
recall,RB,O
can,VB,O
be,JJ,O
allowed,IN,O
for,NN,O
the,MD,O
asking,VB,O
or,VBN,O
reasons,IN,O
related,DT,O
to,NN,O
mere,CC,O
convenience,NNS,O
it,VBN,O
has,TO,O
normally,JJ,O
to,NN,O
be,PRP,O
presumed,VBZ,O
that,RB,O
the,TO,O
counsel,VB,O
conducting,VBN,O
a,IN,O
case,DT,O
is,NN,O
competent,VBG,O
particularly,DT,O
when,NN,O
a,VBZ,O
counsel,JJ,O
is,RB,O
appointed,WRB,O
by,DT,O
choice,NN,O
of,VBZ,O
a,VBN,O
litigant,IN,O
taken,NN,O
to,IN,O
its,DT,O
logical,NN,O
end,VBN,O
the,TO,O
principle,PRP$,O
that,JJ,O
a,NN,O
retrial,DT,O
must,NN,O
follow,IN,O
on,DT,O
every,JJ,O
change,MD,O
of,VB,O
a,IN,O
counsel,DT,O
can,NN,O
have,IN,O
serious,DT,O
consequences,NN,O
on,MD,O
conduct,VB,O
of,JJ,O
trials,NNS,O
and,IN,O
the,NN,O
criminal,IN,O
justice,NNS,O
system,CC,O
witnesses,DT,O
cannot,JJ,O
be,NN,O
expected,NN,O
to,NNS,O
face,MD,O
the,RB,O
hardship,VB,O
of,VBN,O
appearing,TO,O
in,VB,O
court,DT,O
repeatedly,NN,O
particularly,IN,O
in,VBG,O
sensitive,IN,O
cases,NN,O
such,RB,O
as,RB,O
the,IN,O
present,JJ,O
one,NNS,O
it,JJ,O
can,IN,O
result,DT,O
in,JJ,O
undue,CD,O
hardship,PRP,O
for,MD,O
victims,VB,O
especially,IN,O
so,JJ,O
of,NN,O
heinous,IN,O
crimes,NNS,O
if,RB,O
they,RB,O
are,IN,O
required,JJ,O
to,NNS,O
repeatedly,IN,O
appear,PRP,O
in,VBP,O
court,VBN,O
to,TO,O
face,RB,O
cross,VB,O
examination,IN,O
16,NN,O
the,TO,O
interest,VB,O
of,NN,O
justice,NN,O
may,CD,O
suffer,DT,O
if,NN,O
the,IN,O
counsel,NN,O
conducting,MD,O
the,VB,O
trial,IN,O
is,DT,O
physically,NN,O
or,VBG,O
mentally,DT,O
unfit,NN,O
on,VBZ,O
account,RB,O
of,CC,O
any,RB,O
disability,JJ,O
the,IN,O
interest,NN,O
of,IN,O
the,DT,O
society,NN,O
is,DT,O
paramount,NN,O
and,IN,O
instead,DT,O
of,NN,O
trials,VBZ,O
being,JJ,O
conducted,CC,O
again,RB,O
on,IN,O
account,NNS,O
of,VBG,O
unfitness,VBN,O
of,RB,O
the,IN,O
counsel,NN,O
reform,IN,O
may,NN,O
appear,IN,O
to,DT,O
be,NN,O
necessary,NN,O
so,MD,O
that,VB,O
such,TO,O
a,VB,O
situation,JJ,O
does,RB,O
not,IN,O
arise,PDT,O
perhaps,DT,O
time,NN,O
has,VBZ,O
come,RB,O
to,VB,O
review,RB,O
the,NN,O
advocates,VBZ,O
act,VBN,O
and,TO,O
the,VB,O
relevant,DT,O
rules,NNS,O
to,NN,O
examine,CC,O
the,DT,O
continued,JJ,O
fitness,NNS,O
of,TO,O
an,VB,O
advocate,DT,O
to,JJ,O
conduct,NN,O
a,IN,O
criminal,DT,O
trial,NN,O
on,TO,O
account,VB,O
of,DT,O
advanced,JJ,O
age,NN,O
or,IN,O
other,NN,O
mental,IN,O
or,JJ,O
physical,NN,O
infirmity,CC,O
to,JJ,O
avoid,JJ,O
grievance,CC,O
that,JJ,O
an,NN,O
advocate,TO,O
who,VB,O
conducted,NN,O
trial,IN,O
was,DT,O
unfit,NN,O
or,WP,O
incompetent,VBD,O
this,NN,O
is,VBD,O
an,JJ,O
aspect,CC,O
which,NN,O
needs,DT,O
to,VBZ,O
be,DT,O
looked,NN,O
into,WDT,O
by,VBZ,O
the,TO,O
concerned,VB,O
authorities,VBN,O
including,IN,O
the,IN,O
law,DT,O
commission,JJ,O
and,NNS,O
the,VBG,O
bar,DT,O
council,NN,O
of,NN,O
india,CC,O
17,DT,O
in,NN,O
state,NN,O
nct,IN,O
of,$,O
delhi,CD,O
v,IN,O
navjot,NN,O
sandhu,NN,O
manu,IN,O
sc,NN,O
0465,NN,O
2005manu,JJ,O
sc,NN,O
0465,NN,O
2005,NN,O
2005,CD,O
11,CD,O
scc,NN,O
600,CD,O
this,CD,O
court,CD,O
held,CD,O
167,NN,O
we,CD,O
do,DT,O
not,NN,O
think,VBD,O
that,CD,O
the,PRP,O
court,VBP,O
should,RB,O
dislodge,VB,O
the,IN,O
counsel,DT,O
and,NN,O
go,MD,O
on,VB,O
searching,DT,O
for,NN,O
some,CC,O
other,VB,O
counsel,IN,O
to,VBG,O
the,IN,O
liking,DT,O
of,JJ,O
the,NN,O
accused,TO,O
the,DT,O
right,NN,O
to,IN,O
legal,DT,O
aid,VBN,O
cannot,DT,O
be,NN,O
taken,TO,O
thus,JJ,O
far,NN,O
it,MD,O
is,RB,O
not,VB,O
demonstrated,VBN,O
before,RB,O
us,RB,O
as,PRP,O
to,VBZ,O
how,RB,O
the,VBN,O
case,RB,O
was,PRP,O
mishandled,IN,O
by,TO,O
the,WRB,O
advocate,DT,O
appointed,NN,O
as,VBD,O
amicus,VBN,O
except,IN,O
pointing,DT,O
out,NN,O
stray,VBN,O
instances,IN,O
pertaining,NN,O
to,IN,O
the,VBG,O
cross,RP,O
examination,JJ,O
of,NNS,O
one,VBG,O
or,TO,O
two,DT,O
witnesses,NN,O
the,NN,O
very,IN,O
decision,CD,O
relied,CC,O
upon,CD,O
by,NNS,O
the,DT,O
learned,RB,O
counsel,NN,O
for,VBD,O
the,IN,O
appellant,IN,O
namely,DT,O
strickland,JJ,O
v,NN,O
washington,IN,O
makes,DT,O
it,NN,O
clear,RB,O
that,VBP,O
judicial,JJ,O
scrutiny,NN,O
of,VBZ,O
a,PRP,O
counsel,JJ,O
s,IN,O
performance,JJ,O
must,NN,O
be,IN,O
careful,DT,O
deferential,NN,O
and,JJ,O
circumspect,NN,O
as,MD,O
the,VB,O
ground,JJ,O
of,JJ,O
ineffective,CC,O
assistance,JJ,O
could,IN,O
be,DT,O
easily,NN,O
raised,IN,O
after,JJ,O
an,NN,O
adverse,MD,O
verdict,VB,O
at,RB,O
the,VBN,O
trial,IN,O
it,DT,O
was,JJ,O
observed,NN,O
therein,IN,O
judicial,DT,O
scrutiny,NN,O
of,PRP,O
the,VBD,O
counsel,VBN,O
s,RB,O
performance,JJ,O
must,NN,O
be,IN,O
highly,DT,O
deferential,NN,O
it,JJ,O
is,NN,O
all,MD,O
too,VB,O
tempting,RB,O
for,JJ,O
a,PRP,O
defendant,VBZ,O
to,DT,O
second,RB,O
guess,VBG,O
the,IN,O
counsel,DT,O
s,NN,O
assistance,TO,O
after,JJ,O
conviction,NN,O
or,DT,O
adverse,NN,O
sentence,NN,O
and,NN,O
it,IN,O
is,NN,O
all,CC,O
too,JJ,O
easy,NN,O
for,CC,O
a,PRP,O
court,VBZ,O
examining,DT,O
the,RB,O
counsel,JJ,O
s,IN,O
defence,DT,O
after,NN,O
it,VBG,O
has,DT,O
proved,NN,O
unsuccessful,NN,O
to,NN,O
conclude,IN,O
that,PRP,O
a,VBZ,O
particular,VBN,O
act,JJ,B-LEGAL
of,TO,I-LEGAL
omission,VB,I-LEGAL
of,IN,O
the,DT,O
counsel,JJ,O
was,NN,O
unreasonable,IN,O
cf,NN,O
engle,IN,O
v,DT,O
isaac,NN,O
manu,VBD,O
ussc,JJ,O
0163,JJ,O
1982,NN,O
456,NN,O
us,NN,O
107,NN,O
1982,IN,O
at,CD,O
pp,CD,O
133,CD,O
134,PRP,O
a,CD,O
fair,CD,O
assessment,IN,O
of,NN,O
attorney,CD,O
performance,CD,O
requires,DT,O
that,JJ,O
every,NN,O
effort,IN,O
be,NN,O
made,NN,O
to,VBZ,O
eliminate,IN,O
the,DT,O
distorting,NN,O
effects,VB,O
of,VBN,O
hindsight,TO,O
to,VB,O
reconstruct,DT,O
the,VBG,O
circumstances,NNS,O
of,IN,O
the,NN,O
counsel,TO,O
s,VB,O
challenged,DT,O
conduct,NNS,O
and,IN,O
to,DT,O
evaluate,NN,O
the,NN,O
conduct,VBD,O
from,NN,O
the,CC,O
counsel,TO,O
s,VB,O
perspective,DT,O
at,NN,O
the,IN,O
time,DT,O
because,NN,O
of,VBD,O
the,NN,O
difficulties,IN,O
inherent,DT,O
in,NN,O
making,IN,O
the,IN,O
evaluation,DT,O
a,NNS,O
court,VBP,O
must,IN,O
indulge,VBG,O
in,DT,O
a,NN,O
strong,DT,O
presumption,NN,O
that,MD,O
the,VB,O
counsel,IN,O
s,DT,O
conduct,JJ,O
falls,NN,O
within,IN,O
the,DT,O
wide,NN,O
range,NN,O
of,NN,O
reasonable,VBZ,O
professional,IN,O
assistance,DT,O
18,JJ,O
it,NN,O
may,IN,O
be,JJ,O
proper,JJ,O
to,NN,O
recall,CD,O
that,PRP,O
the,MD,O
present,VB,O
case,JJ,O
is,TO,O
in,VB,O
the,IN,O
category,DT,O
of,JJ,O
cases,NN,O
where,VBZ,O
the,IN,O
trial,DT,O
is,NN,O
required,IN,O
to,NNS,O
be,WRB,O
fast,DT,O
tracked,NN,O
in,VBZ,O
fact,VBN,O
this,TO,O
court,VB,O
directed,RB,O
in,VBN,O
shivanna,IN,O
manu,NN,O
sc,DT,O
0400,NN,O
2014manu,VBD,O
sc,IN,O
0400,JJ,O
2014,NN,O
2014,NN,O
8,CD,O
scc,CD,O
916,NN,O
as,CD,O
under,CD,O
2,CD,O
while,CD,O
we,JJ,O
propose,CD,O
to,IN,O
consider,IN,O
this,CD,O
matter,IN,O
on,PRP,O
merits,VBP,O
after,TO,O
service,VB,O
of,DT,O
notice,NN,O
to,IN,O
the,NNS,O
respondent,IN,O
accused,NN,O
we,IN,O
feel,NN,O
acutely,TO,O
concerned,DT,O
as,NN,O
to,VBD,O
why,PRP,O
the,VBP,O
union,RB,O
of,VBN,O
india,IN,O
should,TO,O
not,WRB,O
take,DT,O
initiative,NN,O
and,IN,O
steps,NN,O
to,MD,O
evolve,RB,O
a,VB,O
procedure,NN,O
for,CC,O
fast,NNS,O
track,TO,O
justice,VB,O
to,DT,O
be,NN,O
adopted,IN,O
by,JJ,O
the,NN,O
investigating,NN,O
agencies,TO,O
and,VB,O
the,VBN,O
fast,IN,O
track,DT,O
courts,NN,O
by,NNS,O
proposing,CC,O
amendments,DT,O
to,JJ,O
code,NN,O
of,NNS,O
criminal,IN,O
procedure,VBG,O
for,NNS,O
speedy,TO,O
justice,VB,O
to,IN,O
the,JJ,O
victim,NN,O
3,IN,O
fast,JJ,O
track,NN,O
courts,TO,O
no,DT,O
doubt,NN,O
are,CD,O
being,JJ,O
constituted,NN,O
for,NNS,O
expeditious,DT,O
disposal,NN,O
of,VBP,O
cases,VBG,O
involving,VBN,O
the,IN,O
charge,JJ,O
of,NN,O
rape,IN,O
at,NNS,O
the,VBG,O
trial,DT,O
stage,NN,O
but,IN,O
we,NN,O
are,IN,O
perturbed,DT,O
and,NN,O
anguished,NN,O
to,CC,O
notice,PRP,O
that,VBP,O
although,VBN,O
there,CC,O
are,VBN,O
fast,TO,O
track,VB,O
courts,IN,O
for,IN,O
disposal,EX,O
of,VBP,O
such,JJ,O
cases,NN,O
we,NNS,O
do,IN,O
not,NN,O
yet,IN,O
have,JJ,O
a,NNS,O
fast,PRP,O
track,VBP,O
procedure,RB,O
for,RB,O
dealing,VBP,O
with,DT,O
cases,JJ,O
of,NN,O
rape,NN,O
and,IN,O
gang,VBG,B-LEGAL
rape,IN,I-LEGAL
lodged,NNS,O
under,IN,O
section,NN,O
376,CC,O
indian,NN,O
penal,NN,O
code,VBN,O
with,IN,O
the,NN,O
result,CD,O
that,JJ,O
such,JJ,O
heinous,NN,O
offences,IN,O
are,DT,O
repeated,NN,O
incessantly,IN,O
4,JJ,O
we,JJ,O
are,NNS,O
of,VBP,O
the,VBN,O
considered,RB,O
opinion,CD,O
that,PRP,O
there,VBP,O
is,IN,O
pressing,DT,O
need,VBN,O
to,NN,O
introduce,IN,O
drastic,EX,O
amendments,VBZ,O
to,VBG,O
code,NN,O
of,TO,O
criminal,VB,O
procedure,JJ,O
in,NNS,O
the,TO,O
nature,VB,O
of,IN,O
fast,JJ,O
track,NN,O
procedure,IN,O
for,DT,O
fast,NN,O
track,IN,O
courts,JJ,O
and,NN,O
here,NN,O
is,IN,O
an,JJ,O
occasion,NN,O
where,NNS,O
we,CC,O
deem,RB,O
it,VBZ,O
just,DT,O
and,NN,O
appropriate,WRB,O
to,PRP,O
issue,VBP,O
notice,PRP,O
and,RB,O
call,CC,O
upon,JJ,O
the,TO,O
union,VB,O
of,RB,O
india,CC,O
to,VB,O
file,IN,O
its,DT,O
response,NN,O
as,IN,O
to,NN,O
why,TO,O
it,VB,O
should,PRP$,O
not,NN,O
take,IN,O
initiative,TO,O
and,WRB,O
sincere,PRP,O
steps,MD,O
for,RB,O
introducing,VB,O
necessary,NN,O
amendment,CC,O
into,JJ,O
code,NNS,O
of,IN,O
criminal,VBG,O
procedure,JJ,O
1973,NN,O
involving,IN,O
trial,NN,O
for,IN,O
the,JJ,O
charge,NN,O
of,CD,O
rape,VBG,O
by,NN,O
directing,IN,O
that,DT,O
all,NN,O
the,IN,O
witnesses,NN,O
who,IN,O
are,VBG,O
examined,IN,O
in,PDT,O
relation,DT,O
to,NNS,O
the,WP,O
offence,VBP,O
and,VBN,O
incident,IN,O
of,NN,O
rape,TO,O
cases,DT,O
should,NN,O
be,CC,O
straightaway,NN,O
produced,IN,O
before,NN,O
the,NNS,O
magistrate,MD,O
for,VB,O
recording,RB,O
their,VBN,O
statement,IN,O
to,DT,O
be,NN,O
kept,IN,O
in,VBG,O
sealed,PRP$,O
cover,NN,O
and,TO,O
thereafter,VB,O
the,VBN,O
same,IN,O
be,JJ,O
treated,NN,O
as,CC,O
evidence,RB,O
at,DT,O
the,JJ,O
stage,VB,O
of,VBN,O
trial,IN,O
which,NN,O
may,IN,O
be,DT,O
put,NN,O
to,IN,O
test,NN,O
by,WDT,O
subjecting,MD,O
it,VB,O
to,VBN,O
cross,TO,O
examination,VB,O
we,IN,O
are,VBG,O
further,PRP,O
of,TO,O
the,VB,O
view,NN,O
that,PRP,O
the,VBP,O
statement,JJ,O
of,IN,O
victim,DT,O
should,NN,O
as,IN,O
far,DT,O
as,NN,O
possible,IN,O
be,NN,O
recorded,MD,O
before,RB,O
the,RB,O
judicial,IN,O
magistrate,JJ,O
under,VB,O
section,VBN,O
164,IN,O
code,DT,O
of,JJ,O
criminal,NN,O
procedure,IN,O
skipping,NN,O
over,CD,O
the,NN,O
recording,IN,O
of,JJ,O
statement,NN,O
by,VBG,O
the,IN,O
police,DT,O
under,NN,O
section,IN,O
161,NN,O
code,IN,O
of,DT,O
criminal,NN,O
procedure,IN,O
which,NN,O
in,CD,O
any,NN,O
case,IN,O
is,JJ,O
inadmissible,NN,O
except,WDT,O
for,IN,O
contradiction,DT,O
so,NN,O
that,VBZ,O
the,JJ,O
statement,IN,O
of,IN,O
the,NN,O
accused,RB,O
thereafter,IN,O
be,DT,O
recorded,NN,O
under,IN,O
section,DT,O
313,VBN,O
code,RB,O
of,VB,O
criminal,VBN,O
procedure,IN,O
the,NN,O
accused,CD,O
then,NN,O
can,IN,O
be,JJ,O
committed,NN,O
to,DT,O
the,VBN,O
appropriate,RB,O
court,MD,O
for,VB,O
trial,VBN,O
whereby,TO,O
the,DT,O
trial,JJ,O
court,NN,O
can,IN,O
straightaway,NN,O
allow,WRB,O
cross,DT,O
examination,NN,O
of,NN,O
the,MD,O
witnesses,VB,O
whose,JJ,O
evidence,NN,O
were,NN,O
recorded,IN,O
earlier,DT,O
before,NNS,O
the,WP$,O
magistrate,NN,O
5,VBD,O
what,VBN,O
we,RBR,O
wish,IN,O
to,DT,O
emphasise,NN,O
is,CD,O
that,WP,O
the,PRP,O
recording,VBP,O
of,TO,O
evidence,VB,O
of,VBZ,O
the,IN,O
victim,DT,O
and,NN,O
other,IN,O
witnesses,NN,O
multiple,IN,O
times,DT,O
ought,NN,O
to,CC,O
be,JJ,O
put,NNS,O
to,JJ,O
an,NNS,O
end,MD,O
which,TO,O
is,VB,O
the,VBN,O
primary,TO,O
reason,DT,O
for,NN,O
delay,WDT,O
of,VBZ,O
the,DT,O
trial,JJ,O
we,NN,O
are,IN,O
of,NN,O
the,IN,O
view,DT,O
that,NN,O
if,PRP,O
the,VBP,O
evidence,IN,O
is,DT,O
recorded,NN,O
for,IN,O
the,IN,O
first,DT,O
time,NN,O
itself,VBZ,O
before,VBN,O
the,IN,O
judicial,DT,O
magistrate,JJ,O
under,NN,O
section,PRP,O
164,IN,O
code,DT,O
of,JJ,O
criminal,NN,O
procedure,IN,O
and,NN,O
the,CD,O
same,NN,O
be,IN,O
kept,JJ,O
in,NN,O
sealed,CC,O
cover,DT,O
to,JJ,O
be,VB,O
treated,VBN,O
as,IN,O
deposition,JJ,O
of,NN,O
the,TO,O
witnesses,VB,O
and,VBN,O
hence,IN,O
admissible,NN,O
at,IN,O
the,DT,O
stage,NNS,O
of,CC,O
trial,RB,O
with,JJ,O
liberty,IN,O
to,DT,O
the,NN,O
defence,IN,O
to,NN,O
cross,IN,O
examine,NN,O
them,TO,O
with,DT,O
further,NN,O
liberty,TO,O
to,VB,O
the,VB,O
accused,PRP,O
to,IN,O
lead,JJ,O
his,NN,O
defence,TO,O
witnesses,DT,O
and,VBN,O
other,TO,O
evidence,VB,O
with,PRP$,O
a,NN,O
right,NNS,O
to,CC,O
cross,JJ,O
examination,NN,O
by,IN,O
the,DT,O
prosecution,NN,O
it,TO,O
can,VB,O
surely,NN,O
cut,IN,O
short,DT,O
and,NN,O
curtail,PRP,O
the,MD,O
protracted,RB,O
trial,VB,O
if,JJ,O
it,CC,O
is,VB,O
introduced,DT,O
at,JJ,O
least,NN,O
for,IN,O
trial,PRP,O
of,VBZ,O
rape,VBN,O
cases,IN,O
which,JJS,O
is,IN,O
bound,NN,O
to,IN,O
reduce,NN,O
the,NNS,O
duration,WDT,O
of,VBZ,O
trial,VBN,O
and,TO,O
thus,VB,O
offer,DT,O
a,NN,O
speedy,IN,O
remedy,NN,O
by,CC,O
way,RB,O
of,VB,O
a,DT,O
fast,NN,O
track,NN,O
procedure,IN,O
to,NN,O
the,IN,O
fast,DT,O
track,JJ,O
court,NN,O
to,NN,O
resort,TO,O
to,DT,O
6,JJ,O
considering,NN,O
the,NN,O
consistent,TO,O
recurrence,VB,O
of,TO,O
the,CD,O
heinous,VBG,O
crime,DT,O
of,JJ,O
rape,NN,O
and,IN,O
gang,DT,B-LEGAL
rape,JJ,I-LEGAL
all,NN,O
over,IN,O
the,NN,O
country,CC,O
including,NN,O
the,VBP,O
metropolitan,DT,O
cities,IN,O
we,DT,O
are,NN,O
of,VBG,O
the,DT,O
view,JJ,O
that,NNS,O
it,PRP,O
is,VBP,O
high,IN,O
time,DT,O
such,NN,O
measures,IN,O
of,PRP,O
reform,VBZ,O
in,JJ,O
code,NN,O
of,JJ,O
criminal,NNS,O
procedure,IN,O
be,NN,O
introduced,IN,O
after,NN,O
due,IN,O
deliberation,JJ,O
and,NN,O
debate,VB,O
by,VBN,O
the,IN,O
legal,JJ,O
fraternity,NN,O
as,CC,O
also,NN,O
all,IN,O
concerned,DT,O
we,JJ,O
therefore,NN,O
deem,IN,O
it,RB,O
just,DT,O
and,VBN,O
appropriate,PRP,O
to,VBP,O
issue,VB,O
notice,PRP,O
to,RB,O
the,CC,O
union,JJ,O
of,TO,O
india,VB,O
through,RB,O
the,TO,O
attorney,DT,O
general,NN,O
which,IN,O
the,NN,O
counsel,IN,O
for,DT,O
the,NN,O
petitioner,NN,O
is,WDT,O
directed,DT,O
to,NN,O
serve,IN,O
by,DT,O
way,NN,O
of,VBZ,O
dasti,VBN,O
summons,TO,O
the,VB,O
matter,IN,O
be,NN,O
posted,IN,O
again,JJ,O
on,NNS,O
3,DT,O
9,NN,O
2013,VB,O
for,VBN,O
further,RB,O
consideration,IN,O
19,CD,O
in,CD,O
continuation,CD,O
of,IN,O
the,JJ,O
above,NN,O
further,CD,O
order,IN,O
dated,NN,O
25th,IN,O
april,DT,O
2014,NN,O
manu,RB,O
sc,NN,O
0400,VBD,O
2014manu,CD,O
sc,NN,O
0400,CD,O
2014,NN,O
2014,NN,O
8,CD,O
scc,CD,O
913,NN,O
was,CD,O
passed,CD,O
as,CD,O
follows,CD,O
101,NN,O
upon,CD,O
receipt,VBD,O
of,VBN,O
information,IN,O
relating,VBZ,O
to,CD,O
the,IN,O
commission,NN,B-LEGAL
of,IN,I-LEGAL
offence,NN,I-LEGAL
of,VBG,O
rape,TO,O
the,DT,O
investigating,NN,O
officer,IN,O
shall,NN,O
make,IN,O
immediate,NN,O
steps,DT,O
to,VBG,O
take,NN,O
the,MD,O
victim,VB,O
to,JJ,O
any,NNS,O
metropolitan,TO,O
preferably,VB,O
judicial,DT,O
magistrate,NN,O
for,TO,O
the,DT,O
purpose,JJ,O
of,RB,O
recording,JJ,O
her,NN,O
statement,IN,O
under,DT,O
section,NN,O
164,IN,O
code,VBG,O
of,PRP$,O
criminal,NN,O
procedure,IN,O
a,NN,O
copy,CD,O
of,NN,O
the,IN,O
statement,JJ,O
under,NN,O
section,DT,O
164,NN,O
code,IN,O
of,DT,O
criminal,NN,O
procedure,IN,O
should,NN,O
be,CD,O
handed,NN,O
over,IN,O
to,JJ,O
the,NN,O
investigating,MD,O
officer,VB,O
immediately,VBN,O
with,IN,O
a,TO,O
specific,DT,O
direction,VBG,O
that,NN,O
the,RB,O
contents,IN,O
of,DT,O
such,JJ,O
statement,NN,O
under,IN,O
section,DT,O
164,NNS,O
code,IN,O
of,JJ,O
criminal,NN,O
procedure,IN,O
should,NN,O
not,CD,O
be,NN,O
disclosed,IN,O
to,JJ,O
any,NN,O
person,MD,O
till,RB,O
charge,VB,O
sheet,VBN,O
report,TO,O
under,DT,O
section,NN,O
173,JJ,O
code,NN,O
of,NN,O
criminal,NN,O
procedure,IN,O
is,NN,O
filed,CD,O
102,NN,O
the,IN,O
investigating,JJ,O
officer,NN,O
shall,VBZ,O
as,VBN,O
far,CD,O
as,DT,O
possible,NN,O
take,NN,O
the,MD,O
victim,RB,O
to,RB,O
the,IN,O
nearest,JJ,O
lady,VBP,O
metropolitan,DT,O
preferably,NN,O
lady,TO,O
judicial,DT,O
magistrate,JJS,O
103,NN,O
the,NN,O
investigating,RB,O
officer,JJ,O
shall,JJ,O
record,NN,O
specifically,CD,O
the,DT,O
date,NN,O
and,NN,O
the,MD,O
time,VB,O
at,RB,O
which,DT,O
he,NN,O
learnt,CC,O
about,DT,O
the,NN,O
commission,IN,B-LEGAL
of,WDT,I-LEGAL
the,PRP,I-LEGAL
offence,VBZ,I-LEGAL
of,IN,O
rape,DT,O
and,NN,O
the,IN,O
date,DT,O
and,NN,O
time,IN,O
at,NN,O
which,CC,O
he,DT,O
took,NN,O
the,CC,O
victim,NN,O
to,IN,O
the,WDT,O
metropolitan,PRP,O
preferably,VBD,O
lady,DT,O
judicial,NN,O
magistrate,TO,O
as,DT,O
aforesaid,NN,O
104,RB,O
if,JJ,O
there,JJ,O
is,NN,O
any,IN,O
delay,JJ,O
exceeding,CD,O
24,IN,O
hours,EX,O
in,VBZ,O
taking,DT,O
the,NN,O
victim,VBG,O
to,CD,O
the,NNS,O
magistrate,IN,O
the,VBG,O
investigating,DT,O
officer,NN,O
should,TO,O
record,DT,O
the,NN,O
reasons,DT,O
for,VBG,O
the,NN,O
same,MD,O
in,VB,O
the,DT,O
case,NNS,O
diary,IN,O
and,DT,O
hand,JJ,O
over,IN,O
a,DT,O
copy,NN,O
of,JJ,O
the,CC,O
same,NN,O
to,IN,O
the,DT,O
magistrate,NN,O
105,IN,O
medical,DT,B-LEGAL
examination,JJ,I-LEGAL
of,TO,O
the,DT,O
victim,NN,O
section,CD,O
164,JJ,O
a,NN,O
code,IN,O
of,DT,O
criminal,NN,O
procedure,NN,O
inserted,CD,O
by,DT,O
act,NN,O
25,IN,O
of,JJ,O
2005,NN,O
in,VBN,O
code,IN,O
of,NN,O
criminal,CD,O
procedure,IN,O
imposes,CD,O
an,IN,O
obligation,NN,O
on,IN,O
the,JJ,O
part,NN,O
of,VBZ,O
investigating,DT,O
officer,NN,O
to,IN,O
get,DT,O
the,NN,O
victim,IN,O
of,VBG,O
the,NN,O
rape,TO,O
immediately,VB,O
medically,DT,O
examined,NN,O
a,IN,O
copy,DT,O
of,NN,O
the,RB,O
report,RB,O
of,VBD,O
such,DT,O
medical,NN,B-LEGAL
examination,IN,I-LEGAL
should,DT,O
