ashok,NN,O
to,CC,O
be,DT,O
intra,CD,O
vires,NNS,O
it,VBD,O
was,VBN,O
held,TO,O
as,VB,O
regards,JJ,O
the,NNS,O
submission,PRP,O
urged,VBD,O
on,VBN,O
behalf,IN,O
of,NNS,O
the,DT,O
petitioners,NN,O
regarding,VBD,O
the,IN,O
validity,NN,O
of,IN,O
the,DT,O
provisions,NNS,O
of,VBG,O
sections,DT,O
5b,NN,O
and,IN,O
5c,DT,O
as,NNS,O
they,IN,O
stood,NNS,O
prior,CD,O
to,CC,O
5,CD,O
6,IN,O
1997,PRP,O
it,VBD,O
may,RB,O
be,TO,O
stated,CD,O
that,CD,O
the,CD,O
validity,PRP,O
of,MD,O
the,VB,O
said,VBN,O
provisions,IN,O
has,DT,O
been,NN,O
upheld,IN,O
by,DT,O
this,VBD,O
court,NNS,O
in,VBZ,O
charan,VBN,O
lal,VBN,O
sahu,IN,O
v,DT,O
fakruddin,NN,O
ali,IN,O
ahmed,NN,O
manu,NN,O
sc,NN,O
0261,NN,O
1974manu,NN,O
sc,NN,O
0261,VBD,O
1974,CD,O
air1975sc1288,NN,O
charan,CD,O
lal,CD,O
sahu,NN,O
v,CD,O
s,CD,O
neelam,NN,O
sanjeeva,NN,O
reddy,NN,O
and,NN,O
charan,NN,O
lal,NN,O
sahu,JJ,O
v,NN,O
giani,NN,O
zail,CC,O
singh,NN,O
petitioner,NN,O
1,NN,O
was,NN,O
a,NN,O
party,NN,O
to,NN,O
all,NN,O
these,CD,O
decisions,VBD,O
the,DT,O
challenge,NN,O
to,TO,O
the,PDT,O
validity,DT,O
of,NNS,O
the,DT,O
amendments,NN,O
introduced,TO,O
by,DT,O
the,NN,O
ordinance,IN,O
and,DT,O
the,NNS,O
amendment,VBN,B-LEGAL
act,IN,O
has,DT,O
been,NN,O
negatived,CC,O
by,DT,O
this,NN,O
court,NN,O
in,VBZ,O
the,VBN,O
three,VBN,O
writ,IN,O
petitions,DT,O
referred,NN,O
to,IN,O
above,DT,O
two,CD,O
out,NN,O
of,NNS,O
which,VBD,O
were,TO,O
field,VB,O
by,CD,O
petitioner,IN,O
1,IN,O
the,WDT,O
petitioners,VBD,O
have,NN,O
urged,IN,O
that,NN,O
in,CD,O
this,DT,O
petition,NNS,O
the,VBP,O
challenge,VBN,O
to,IN,O
the,IN,O
validity,DT,O
of,NN,O
section,DT,O
5b,NN,O
is,TO,O
based,DT,O
on,NN,O
the,IN,O
ground,NN,O
that,CD,O
it,VBZ,O
violates,VBN,O
the,IN,O
principle,DT,O
of,NN,O
secrecy,IN,O
of,PRP,O
ballot,VBZ,O
incorporated,DT,O
in,NN,O
article,IN,O
553,NN,O
of,IN,O
the,NN,O
constitution,VBN,O
and,IN,O
that,NN,O
this,CD,O
ground,IN,O
has,DT,O
not,NN,O
been,CC,O
considered,IN,O
in,DT,O
the,NN,O
earlier,VBZ,O
decisions,RB,O
we,VBN,O
do,VBN,O
not,IN,O
find,DT,O
any,JJR,O
merit,NNS,O
in,PRP,O
this,VBP,O
contention,RB,O
the,VB,O
requirement,DT,O
in,NN,O
section,IN,O
5b1a,DT,O
about,NN,O
the,DT,O
nomination,NN,B-LEGAL
paper,IN,I-LEGAL
being,NN,O
subscribed,CD,O
by,IN,O
a,DT,O
particular,NN,O
number,NN,O
of,VBG,O
electors,VBN,O
as,IN,O
proposers,DT,O
and,JJ,O
seconders,NN,O
does,IN,O
not,NNS,O
in,IN,O
any,NNS,O
way,CC,O
involve,NNS,O
the,VBZ,O
infringement,RB,O
of,IN,O
the,DT,O
secrecy,NN,O
of,VBP,O
ballot,DT,O
at,NN,O
the,IN,O
election,DT,O
inasmuch,NN,O
as,IN,O
the,NN,O
elector,IN,O
who,DT,O
has,NN,O
subscribed,RB,O
the,IN,O
nomination,DT,B-LEGAL
paper,NN,I-LEGAL
of,WP,O
a,VBZ,O
person,VBN,O
as,DT,O
a,JJ,O
proposer,NN,O
or,IN,O
as,DT,O
a,NN,O
seconder,IN,O
is,DT,O
free,NN,O
to,CC,O
cast,IN,O
his,DT,O
vote,NN,B-LEGAL
in,VBZ,O
favour,JJ,O
of,TO,O
any,VB,O
candidate,PRP$,O
and,NN,O
is,IN,O
not,NN,O
bound,IN,O
to,DT,O
vote,NN,B-LEGAL
for,CC,O
the,VBZ,O
person,RB,O
whose,VBN,O
nomination,TO,B-LEGAL
paper,VB,I-LEGAL
he,IN,O
has,DT,O
subscribed,NN,O
as,WP$,O
a,NN,O
proposer,NN,O
or,PRP,O
seconder,VBZ,O
the,VBN,O
identity,IN,O
of,DT,O
the,NN,O
candidate,CC,O
in,VB,O
whose,DT,O
favour,NN,O
he,IN,O
has,DT,O
cast,NN,O
his,IN,O
vote,WP$,B-LEGAL
is,NN,O
not,PRP,O
be,VBZ,O
disclosed,VBN,O
22,PRP$,O
the,NN,O
contention,VBZ,O
on,RB,O
the,VB,O
question,VBN,O
as,CD,O
to,DT,O
whether,NN,O
there,IN,O
was,DT,O
a,NN,O
conflict,IN,O
between,TO,O
articles,IN,O
58,EX,O
and,VBD,O
71,DT,O
of,NN,O
the,IN,O
constitution,NNS,O
of,CD,O
india,CC,O
was,CD,O
also,IN,O
rejected,DT,O
in,NN,O
neelam,IN,O
sanjeeva,NN,O
reddy,VBD,O
s,RB,O
case,VBN,O
supra,IN,O
by,JJ,O
observing,NN,O
thus,NN,O
it,JJ,O
is,NN,O
clear,NN,O
to,IN,O
us,VBG,O
that,RB,O
article,PRP,O
58,VBZ,O
only,JJ,O
provides,TO,O
the,PRP,O
qualifications,IN,O
or,NN,O
conditions,CD,O
for,RB,O
the,VBZ,O
eligibility,DT,O
of,NNS,O
a,CC,O
candidate,NNS,O
it,IN,O
has,DT,O
nothing,NN,O
to,IN,O
do,DT,O
with,NN,O
the,PRP,O
nomination,VBZ,B-LEGAL
of,NN,O
a,TO,O
candidate,VB,O
which,IN,O
requires,DT,O
ten,NN,O
proposers,IN,O
and,DT,O
ten,NN,O
seconders,WDT,O
we,VBZ,O
think,JJ,O
that,NNS,O
in,CC,O
the,JJ,O
case,NNS,O
of,PRP,O
an,VBP,O
election,IN,O
to,IN,O
such,DT,O
a,NN,O
high,IN,O
office,DT,O
as,NN,O
that,TO,O
of,PDT,O
the,DT,O
president,JJ,O
of,NN,O
india,IN,O
it,DT,O
is,IN,O
quite,DT,O
reasonable,NN,O
to,IN,O
lay,NN,O
down,PRP,O
the,VBZ,O
condition,RB,O
that,JJ,O
a,TO,O
person,VB,O
who,RP,O
is,DT,O
allowed,NN,O
to,IN,O
contest,DT,O
the,NN,O
election,WP,O
as,VBZ,O
a,VBN,O
candidate,TO,O
must,VB,O
have,DT,O
at,NN,O
least,IN,O
ten,DT,O
proposers,NN,O
and,MD,O
ten,VB,O
seconders,IN,O
from,JJS,O
amongst,JJ,O
hundreds,NNS,O
of,CC,O
electors,JJ,O
who,NNS,O
are,IN,O
legislators,JJ,O
we,NNS,O
think,IN,O
that,NNS,O
the,WP,O
subject,VBP,O
matter,NNS,O
of,PRP,O
section,VBP,O
5b,IN,O
and,DT,O
5c,JJ,O
is,NN,O
completely,IN,O
covered,NN,O
by,CD,O
the,CC,O
provisions,CD,O
of,VBZ,O
article,RB,O
711,VBN,O
of,IN,O
the,DT,O
constitution,NNS,O
set,IN,O
out,NN,O
above,CD,O
we,IN,O
also,DT,O
think,NN,O
that,VBN,O
there,RP,O
is,IN,O
no,PRP,O
force,RB,O
in,VBP,O
the,IN,O
contention,EX,O
that,VBZ,O
sections,DT,O
5b,NN,O
and,IN,O
5c,DT,O
of,NN,O
the,IN,O
act,NNS,O
are,CD,O
in,CC,O
conflict,CD,O
with,IN,O
article,DT,O
14,NN,O
of,VBP,O
the,IN,O
constitution,NN,O
the,IN,O
conditions,NN,O
laid,CD,O
down,IN,O
in,DT,O
sections,NN,O
5b,DT,O
and,NNS,O
5c,VBP,O
apply,RP,O
to,IN,O
all,NNS,O
persons,CD,O
who,CC,O
want,CD,O
to,NN,O
be,TO,O
candidates,DT,O
at,NNS,O
a,WP,O
presidential,VBP,O
election,TO,O
without,VB,O
any,NNS,O
discrimination,IN,O
they,DT,O
prima,JJ,O
facie,NN,O
imposed,IN,O
reasonable,DT,O
conditions,NN,O
to,PRP,O
be,VBP,O
observed,NNS,O
by,VBN,O
any,JJ,O
person,NNS,O
who,TO,O
wants,VB,O
seriously,VBN,O
to,IN,O
contest,DT,O
at,NN,O
a,WP,O
presidential,VBZ,O
election,RB,O
hence,TO,O
this,VB,O
provision,IN,O
would,DT,O
be,JJ,O
valid,NN,O
even,NN,O
apart,DT,O
from,NN,O
article,MD,O
713,VB,O
of,JJ,O
the,RB,O
constitution,RB,O
23,IN,O
every,NN,O
conceivable,CD,O
challenge,IN,O
of,DT,O
these,NN,O
provisions,CD,O
has,DT,O
already,JJ,O
been,NN,O
upheld,IN,O
by,DT,O
this,NNS,O
court,VBZ,O
in,RB,O
the,VBN,O
aforesaid,VBN,O
three,IN,O
judgments,DT,O
in,NN,O
the,IN,O
petitioner,DT,O
s,NN,O
own,CD,O
case,NNS,O
and,IN,O
in,DT,O
mithilesh,NN,O
kumar,VBD,O
sinha,JJ,O
v,NN,O
returning,CC,B-LEGAL
officer,IN,I-LEGAL
for,JJ,O
presidential,NN,O
election,NN,O
1993,NN,O
suppl,VBG,O
4,NN,O
scc,IN,O
386,JJ,O
we,NN,O
need,CD,O
not,NN,O
examine,CD,O
these,NN,O
points,CD,O
any,PRP,O
further,VBP,O
in,RB,O
view,VB,O
of,DT,O
the,NNS,O
consistent,DT,O
view,JJ,O
of,IN,O
this,NN,O
court,IN,O
with,DT,O
which,JJ,O
we,NN,O
respectfully,IN,O
agree,DT,O
24,NN,O
another,IN,O
contention,WDT,O
which,PRP,O
just,RB,O
needs,VBP,O
to,CD,O
be,DT,O
noticed,NN,O
and,WDT,O
rejected,RB,O
is,VBZ,O
regarding,TO,O
the,VB,O
validity,VBN,O
of,CC,O
the,VBN,O
procedure,VBZ,O
prescribed,VBG,O
under,DT,O
the,NN,O
act,IN,O
and,DT,O
the,NN,O
rules,VBN,O
for,IN,O
holding,DT,O
the,NN,O
election,CC,O
of,DT,O
the,NNS,O
president,IN,O
and,VBG,O
vice,DT,O
president,NN,O
or,IN,O
its,DT,O
being,NN,O
ultra,CC,O
vires,NN,O
the,NN,O
constitution,CC,O
of,PRP$,O
india,VBG,O
the,JJ,O
procedure,NNS,O
laid,DT,O
under,NN,O
the,IN,O
act,NN,O
and,DT,O
the,NN,O
rules,VBN,O
has,IN,O
already,DT,O
been,NN,O
upheld,CC,O
in,DT,O
the,NNS,O
judgments,VBZ,O
already,RB,O
referred,VBN,O
to,VBN,O
25,IN,O
objections,DT,O
to,NNS,O
the,RB,O
validity,VBD,O
of,TO,O
the,CD,O
nomination,NNS,B-LEGAL
paper,TO,I-LEGAL
filed,DT,O
by,NN,O
respondent,IN,O
no,DT,O
1,NN,O
which,NN,O
was,VBN,O
rejected,IN,O
by,NN,O
the,DT,O
returning,CD,B-LEGAL
officer,WDT,I-LEGAL
are,VBD,O
so,VBN,O
frivolous,IN,O
that,DT,O
they,VBG,O
do,NN,O
not,VBP,O
require,RB,O
attention,JJ,O
of,IN,O
this,PRP,O
court,VBP,O
in,RB,O
our,VB,O
opinion,NN,O
returning,IN,B-LEGAL
officer,DT,I-LEGAL
rightly,NN,O
overruled,IN,O
the,PRP$,O
objections,NN,O
filed,VBG,O
by,NN,O
the,RB,O
petitioner,VBD,O
questioning,DT,O
the,NNS,O
validity,VBN,O
of,IN,O
the,DT,O
nomination,NN,B-LEGAL
paper,VBG,I-LEGAL
filed,DT,O
by,NN,O
respondent,IN,O
no,DT,O
1,NN,O
26,NN,O
before,VBN,O
we,IN,O
conclude,NN,O
we,RB,O
would,CD,O
like,CD,O
to,IN,O
advert,PRP,O
to,VBP,O
an,PRP,O
aspect,MD,O
which,VB,O
was,TO,O
specifically,VB,O
pointed,TO,O
out,DT,O
by,NN,O
this,WDT,O
court,VBD,O
in,RB,O
kr,VBN,O
narayanan,RP,O
s,IN,O
case,DT,O
supra,NN,O
which,IN,O
cannot,NN,O
be,NN,O
ignored,NN,O
rather,NN,O
needs,VBD,O
to,WDT,O
be,MD,O
highlighted,RB,O
again,VB,O
it,VBN,O
was,RB,O
observed,VBZ,O
that,TO,O
before,VB,O
filing,VBN,O
the,RB,O
said,PRP,O
election,VBD,O
petition,VBN,O
the,IN,O
petitioner,IN,O
had,VBG,O
earlier,DT,O
filed,VBD,O
four,NN,O
election,NN,O
petitions,DT,O
challenging,NN,O
the,VBD,O
election,RBR,O
of,VBN,O
the,CD,O
returned,NN,O
candidates,NNS,O
in,VBG,O
the,DT,O
presidential,NN,O
elections,IN,O
held,DT,O
in,JJ,O
the,NNS,O
year,IN,O
1974,DT,O
1977,JJ,O
1982,NNS,O
and,VBN,O
1997,IN,O
all,DT,O
these,NN,O
election,CD,O
petitions,CD,O
were,CD,O
dismissed,CC,O
on,CD,O
the,PDT,O
grounds,DT,O
that,NN,O
the,NNS,O
petitioner,VBD,O
had,VBN,O
not,IN,O
locus,DT,O
standi,NNS,O
to,IN,O
maintain,DT,O
the,NN,O
election,VBD,O
petition,RB,O
this,VBN,O
court,NN,O
in,TO,O
kr,VB,O
narayanan,DT,O
s,NN,O
case,NN,O
supra,DT,O
after,NN,O
referring,IN,O
to,NN,O
the,NN,O
observations,NN,O
made,NN,O
in,NN,O
the,IN,O
earlier,VBG,O
judgments,TO,O
that,DT,O
frivolous,NNS,O
election,VBN,O
petitions,IN,O
on,DT,O
the,JJR,O
same,NNS,O
very,WDT,O
ground,JJ,O
should,NN,O
not,NNS,O
be,IN,O
filed,DT,O
while,JJ,O
dismissing,RB,O
the,NN,O
petition,MD,O
imposed,RB,O
the,VB,O
cost,VBN,O
of,IN,O
rs,VBG,O
10,DT,O
000,NN,O
coming,VBD,O
down,DT,O
heavily,NN,O
against,IN,O
the,NN,O
filing,CD,O
of,CD,O
such,VBG,O
frivolous,RP,O
election,RB,O
petitions,IN,O
it,DT,O
was,NN,O
observed,IN,O
we,JJ,O
find,JJ,O
that,NN,O
these,NNS,O
observations,PRP,O
have,VBD,O
had,VBN,O
no,PRP,O
effect,VBP,O
this,IN,O
election,DT,O
petition,NNS,O
which,VBP,O
has,VBN,O
been,DT,O
jointly,NN,O
filed,DT,O
by,NN,O
the,NN,O
two,WDT,O
petitioners,VBZ,O
shows,VBN,O
no,RB,O
improvement,VBN,O
it,IN,O
suffers,DT,O
from,CD,O
the,NNS,O
same,VBZ,O
defects,DT,O
as,NN,O
the,PRP,O
earlier,VBZ,O
petitions,IN,O
filed,DT,O
by,JJ,O
the,NNS,O
petitioners,IN,O
it,DT,O
seems,JJR,O
that,NNS,O
the,VBN,O
petitioners,IN,O
are,DT,O
obsessed,NNS,O
with,PRP,O
a,VBZ,O
desire,IN,O
that,DT,O
they,NNS,O
should,VBP,O
find,VBN,O
a,IN,O
place,DT,O
in,NN,O
some,IN,O
book,PRP,O
of,MD,O
records,VB,O
they,DT,O
find,NN,O
the,IN,O
temptation,DT,O
to,NN,O
file,IN,O
an,NNS,O
election,PRP,O
petition,VBP,O
after,DT,O
the,NN,O
presidential,TO,O
election,VB,O
too,DT,O
difficult,NN,O
to,NN,O
resist,IN,O
it,DT,O
is,JJ,O
a,NN,O
matter,RB,O
of,JJ,O
regret,TO,O
that,VB,O
petitioner,PRP,O
1,VBZ,O
who,DT,O
happens,NN,O
to,IN,O
be,NN,O
an,IN,O
advocate,NN,O
himself,CD,O
has,WP,O
been,VBZ,O
persisting,TO,O
in,VB,O
his,DT,O
pastime,NN,O
knowing,PRP,O
well,VBZ,O
that,VBN,O
such,VBG,O
conduct,IN,O
on,PRP$,O
his,NN,O
part,VBG,O
amounts,RB,O
to,IN,O
an,JJ,O
abuse,NN,O
of,IN,O
the,PRP$,O
process,NN,O
of,VBZ,O
law,TO,O
this,DT,O
court,NN,O
has,IN,O
so,DT,O
far,NN,O
refrained,IN,O
from,NN,O
imposing,DT,O
costs,NN,O
in,VBZ,O
the,RB,O
election,RB,O
petitions,VBN,O
that,IN,O
were,VBG,O
filed,NNS,O
by,IN,O
the,DT,O
petitioners,NN,O
earlier,NNS,O
it,WDT,O
is,VBD,O
high,VBN,O
time,IN,O
that,DT,O
the,NNS,O
petitioners,RBR,O
who,PRP,O
have,VBZ,O
persisted,JJ,O
in,NN,O
filing,IN,O
this,DT,O
petition,NNS,O
in,WP,O
spite,VBP,O
of,VBN,O
the,IN,O
law,VBG,O
laid,DT,O
down,NN,O
authoritatively,IN,O
by,NN,O
this,IN,O
court,DT,O
in,NN,O
the,VBD,O
earlier,RB,O
decisions,RB,O
are,IN,O
saddled,DT,O
with,NN,O
costs,IN,O
27,DT,O
it,JJR,O
seems,NNS,O
that,VBP,O
the,VBN,O
petitioners,IN,O
although,NNS,O
an,CD,O
advocate,PRP,O
has,VBZ,O
not,IN,O
learnt,DT,O
any,NNS,O
lesson,IN,O
from,DT,O
the,NN,O
observations,VBZ,O
made,RB,O
by,VBN,O
this,DT,O
court,NN,O
in,IN,O
the,DT,O
earlier,NNS,O
judgments,VBN,O
and,IN,O
that,DT,O
is,NN,O
why,IN,O
we,DT,O
have,JJR,O
begun,NNS,O
the,CC,O
judgment,DT,O
with,VBZ,O
the,WRB,O
observation,PRP,O
that,VBP,O
such,VBN,O
a,DT,O
conduct,NN,O
on,IN,O
the,DT,O
part,NN,O
of,IN,O
the,PDT,O
petitioner,DT,O
who,NN,O
happens,IN,O
to,DT,O
be,NN,O
an,IN,O
advocate,DT,O
is,NN,O
regrettable,WP,O
we,VBZ,O
hope,TO,O
he,VB,O
does,DT,O
not,NN,O
do,VBZ,O
so,JJ,O
again,PRP,O
28,VBP,O
for,PRP,O
the,VBZ,O
reasons,RB,O
stated,VB,O
above,RB,O
we,RB,O
do,CD,O
not,IN,O
find,DT,O
any,NNS,O
merit,VBN,O
either,IN,O
in,PRP,O
the,VBP,O
election,RB,O
petition,VB,O
or,DT,O
in,NN,O
the,CC,O
special,IN,O
leave,DT,O
petition,NN,O
against,NN,O
the,CC,O
judgment,IN,O
of,DT,O
the,JJ,O
high,JJ,O
court,NN,O
of,IN,O
delhi,DT,O
and,NN,O
dismiss,IN,O
them,DT,O
with,JJ,O
costs,NN,O
which,IN,O
are,NN,O
assessed,CC,O
on,VB,O
rs,PRP,O
25,IN,O
000,NNS,O
in,WDT,O
each,VBP,O
case,VBN,O
the,IN,O
costs,NN,O
so,CD,O
deposited,CD,O
shall,IN,O
be,DT,O
transferred,NN,O
to,DT,O
the,NNS,O
supreme,RB,O
court,VBD,O
legal,MD,O
services,VB,O
committee,VBN,O
it,TO,O
is,DT,O
also,JJ,O
directed,NN,O
that,JJ,O
no,NNS,O
petition,NN,O
filed,PRP,O
by,VBZ,O
the,RB,O
petitioner,VBN,O
in,IN,O
person,DT,O
shall,NN,O
be,VBN,O
entertained,IN,O
in,DT,O
this,NN,O
court,IN,O
till,NN,O
the,MD,O
amount,VB,O
of,VBN,O
costs,IN,O
imposed,DT,O
is,NN,O
deposited,VBD,O
