jasti,NN,O
pto,VBP,O
as,IN,O
by,IN,O
then,RB,O
it,PRP,O
had,VBD,O
conducted,VBN,O
7,CD,O
haj,JJ,O
operations,NNS,O
similarly,RB,O
the,DT,O
ptos,NN,O
who,WP,O
facilitated,VBD,O
50,CD,O
umrah,JJ,O
pilgrims,NNS,O
in,IN,O
a,DT,O
year,NN,O
for,IN,O
any,DT,O
five,CD,O
years,NNS,O
prior,RB,O
to,TO,O
2013,CD,O
would,MD,O
be,VB,O
eligible,JJ,O
for,IN,O
being,VBG,O
considered,VBN,O
in,IN,O
category,NN,O
ii,NN,O
and,CC,O
for,IN,O
allotment,NN,O
of,IN,O
quota,NN,O
of,IN,O
haj,NN,O
2013,CD,O
and,CC,O
if,IN,O
it,PRP,O
is,VBZ,O
successful,JJ,O
in,IN,O
securing,VBG,O
the,DT,O
quota,NN,O
and,CC,O
in,IN,O
conducting,VBG,O
haj,JJ,O
operations,NNS,O
in,IN,O
any,DT,O
subsequent,JJ,O
years,NNS,O
it,PRP,O
would,MD,O
be,VB,O
entitled,VBN,O
to,TO,O
be,VB,O
considered,VBN,O
for,IN,O
quota,NN,O
under,IN,O
class,NN,O
i,NN,O
of,IN,O
category,NN,O
ii,NN,O
as,IN,O
a,DT,O
pto,NN,O
who,WP,O
has,VBZ,O
conducted,VBN,O
one,CD,O
haj,NN,O
operation,NN,O
31,CD,O
we,PRP,O
have,VBP,O
already,RB,O
noticed,VBN,O
the,DT,O
relevant,JJ,O
portion,NN,O
of,IN,O
the,DT,O
approved,NN,O
policy,NN,O
which,WDT,O
dealt,VBZ,O
with,IN,O
the,DT,O
categorization,NN,O
of,IN,O
the,DT,O
ptos,NN,O
the,DT,O
approved,JJ,O
policy,NN,O
did,VBD,O
not,RB,O
stipulate,VB,O
a,DT,O
condition,NN,O
that,IN,O
experience,NN,O
of,IN,O
having,VBG,O
conducted,VBN,O
7,CD,O
haj,JJ,O
programmes,NNS,O
is,VBZ,O
an,DT,O
experience,NN,O
of,IN,O
7,CD,O
consecutive,JJ,O
years,NNS,O
etc,RB,O
therefore,RB,O
if,IN,O
a,DT,O
pto,NN,O
is,VBZ,O
once,RB,O
registered,VBN,O
in,IN,O
any,DT,O
one,CD,O
of,IN,O
the,DT,O
years,NNS,O
either,CC,O
as,IN,O
a,DT,O
category,NN,O
i,NN,O
or,CC,O
category,NN,O
ii,JJ,O
pto,NN,O
to,TO,O
call,VB,O
upon,IN,O
such,JJ,O
ptos,NNS,O
to,TO,O
furnish,VB,O
the,DT,O
documents,NNS,O
contemplated,VBN,O
under,IN,O
stipulation,NN,O
no,DT,O
vii,NN,O
for,IN,O
every,DT,O
subsequent,JJ,O
year,NN,O
in,IN,O
our,PRP$,O
opinion,NN,O
would,MD,O
not,RB,O
be,VB,O
in,IN,O
tune,NN,O
with,IN,O
the,DT,O
text,NN,O
of,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
we,PRP,O
are,VBP,O
conscious,JJ,O
of,IN,O
the,DT,O
fact,NN,O
that,IN,O
some,DT,O
ptos,NNS,O
who,WP,O
had,VBD,O
successfully,RB,O
undertaken,VBN,O
a,DT,O
number,NN,O
of,IN,O
haj,JJ,O
programmes,NNS,O
may,MD,O
subsequently,RB,O
derelict,VB,O
their,PRP$,O
responsibility,NN,O
to,TO,O
the,DT,O
pilgrims,NNS,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
has,VBZ,O
ample,JJ,O
power,NN,O
under,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
to,TO,O
deregister,VB,O
such,JJ,O
ptos,NNS,O
this,DT,O
aspect,NN,O
is,VBZ,O
amply,RB,O
born,VBN,O
out,IN,O
of,IN,O
the,DT,O
text,NN,O
of,IN,O
the,DT,O
policy,NN,O
itself,PRP,O
para,VBP,O
5,CD,O
of,IN,O
the,DT,O
policy,NN,O
insofar,NN,O
as,IN,O
it,PRP,O
is,VBZ,O
relevant,JJ,O
reads,NNS,O
as,IN,O
follows,VBZ,O
5,CD,O
the,DT,O
policy,NN,O
envisages,VBZ,O
cross,VBP,O
category,JJ,O
upward,JJ,O
movement,NN,O
of,IN,O
ptos,NN,O
from,IN,O
category,NN,O
ii,NN,O
to,TO,O
category,NN,O
i,VB,O
a,DT,O
qualified,JJ,O
pto,NN,O
shall,MD,O
remain,VB,O
qualified,JJ,O
unless,IN,O
it,PRP,O
is,VBZ,O
otherwise,RB,O
disqualified,VBN,O
either,CC,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
or,CC,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
saudi,NN,O
arabia,NN,O
for,IN,O
valid,JJ,O
reasons,NNS,O
it,PRP,O
is,VBZ,O
to,TO,O
be,VB,O
noted,VBN,O
that,IN,O
the,DT,O
ptos,NN,O
who,WP,O
do,VBP,O
not,RB,O
wish,VB,O
to,TO,O
take,VB,O
a,DT,O
minimum,NN,O
of,IN,O
150,CD,O
hajis,NN,O
or,CC,O
are,VBP,O
unable,JJ,O
to,TO,O
do,VB,O
so,RB,O
need,VB,O
not,RB,O
apply,VB,O
32,CD,O
therefore,RB,O
in,IN,O
our,PRP$,O
opinion,NN,O
understanding,NN,O
of,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
that,WDT,O
even,RB,O
those,DT,O
ptos,NNS,O
who,WP,O
had,VBD,O
been,VBN,O
registered,VBN,O
either,RBR,O
in,IN,O
category,NN,O
i,NN,O
or,CC,O
category,NN,O
ii,NN,O
would,MD,O
also,RB,O
be,VB,O
required,VBN,O
to,TO,O
furnish,VB,O
the,DT,O
documents,NNS,O
specified,VBN,O
in,IN,O
stipulation,NN,O
no,DT,O
vii,NN,O
every,DT,O
year,NN,O
when,WRB,O
they,PRP,O
are,VBP,O
seeking,VBG,O
consideration,NN,O
for,IN,O
allotment,NN,O
of,IN,O
quota,NN,O
of,IN,O
haj,NN,O
pilgrims,NNS,O
is,VBZ,O
wholly,RB,O
illogical,JJ,O
and,CC,O
contrary,JJ,O
to,TO,O
the,DT,O
text,NN,O
of,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
a,DT,O
registration,NN,O
for,IN,O
pto,NN,O
once,RB,O
made,VBN,O
under,IN,O
the,DT,O
scheme,NN,O
should,MD,O
be,VB,O
valid,JJ,O
till,NN,O
2017,CD,O
subject,NN,O
to,TO,O
fulfillment,NN,O
of,IN,O
other,JJ,O
relevant,JJ,O
stipulations,NNS,O
under,IN,O
the,DT,O
scheme,NN,O
33,CD,O
ultimately,RB,O
documents,NNS,O
specified,VBN,O
in,IN,O
stipulation,NN,O
vii,NN,O
not,RB,O
only,RB,O
go,VB,O
to,TO,O
prove,VB,O
a,DT,O
fact,NN,O
that,IN,O
a,DT,O
pto,NN,O
had,VBD,O
in,IN,O
fact,NN,O
conducted,VBN,O
a,DT,O
haj,NN,O
programme,NN,O
in,IN,O
a,DT,O
particular,JJ,O
year,NN,O
but,CC,O
also,RB,O
prove,VBP,O
that,IN,O
the,DT,O
pto,NN,O
has,VBZ,O
necessary,JJ,O
information,NN,O
and,CC,O
contacts,NNS,O
in,IN,O
saudi,NN,O
arabia,NN,O
to,TO,O
organize,VB,O
an,DT,O
appropriate,JJ,O
accommodation,NN,O
both,DT,O
at,IN,O
makkah,NN,O
madinah,NN,O
34,CD,O
another,DT,O
submission,NN,O
of,IN,O
the,DT,O
learned,JJ,O
additional,JJ,O
solicitor,NN,O
general,NN,O
is,VBZ,O
required,VBN,O
to,TO,O
be,VB,O
examined,VBN,O
at,IN,O
this,DT,O
stage,NN,O
the,DT,O
submission,NN,O
is,VBZ,O
that,IN,O
in,IN,O
the,DT,O
absence,NN,O
of,IN,O
such,JJ,O
documents,NNS,O
for,IN,O
the,DT,O
minimum,JJ,O
two,CD,O
preceding,VBG,O
years,NNS,O
relevant,JJ,O
to,TO,O
the,DT,O
haj,NN,O
programme,NN,O
in,IN,O
consideration,NN,O
the,DT,O
government,NN,O
would,MD,O
have,VB,O
no,DT,O
means,NNS,O
of,IN,O
assessing,VBG,O
the,DT,O
continued,VBN,O
ability,NN,O
and,CC,O
capacity,NN,O
of,IN,O
the,DT,O
pto,NN,O
to,TO,O
undertake,VB,O
a,DT,O
haj,NN,O
operation,NN,O
and,CC,O
therefore,IN,O
the,DT,O
government,NN,O
should,MD,O
be,VB,O
permitted,VBN,O
to,TO,O
insist,VB,O
upon,IN,O
the,DT,O
production,NN,O
of,IN,O
such,JJ,O
documents,NNS,O
35,CD,O
this,DT,O
argument,NN,O
is,VBZ,O
to,TO,O
be,VB,O
rejected,VBN,O
for,IN,O
one,CD,O
reason,NN,O
under,IN,O
para,NN,O
4b,CD,O
of,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
it,PRP,O
is,VBZ,O
stipulated,VBN,O
that,IN,O
a,DT,O
qualified,JJ,O
pto,NN,O
which,WDT,O
fails,VBZ,O
to,TO,O
get,VB,O
selected,VBN,O
under,IN,O
the,DT,O
draw,NN,O
of,IN,O
lots,NNS,O
in,IN,O
any,DT,O
year,NN,O
will,MD,O
be,VB,O
allocated,VBN,O
150,CD,O
seats,NNS,O
in,IN,O
the,DT,O
ensuing,VBG,O
year,NN,O
without,IN,O
umrah,JJ,O
if,IN,O
it,PRP,O
remains,VBZ,O
a,DT,O
qualified,JJ,O
pto,NN,O
obviously,RB,O
such,JJ,O
a,DT,O
pto,NN,O
would,MD,O
not,RB,O
be,VB,O
able,JJ,O
to,TO,O
produce,VB,O
such,JJ,O
documents,NNS,O
with,IN,O
reference,NN,O
to,TO,O
that,DT,O
year,NN,O
when,WRB,O
it,PRP,O
failed,VBD,O
to,TO,O
secure,VB,O
allotment,NN,O
of,IN,O
quota,NN,O
for,IN,O
haj,NN,O
therefore,IN,O
the,DT,O
assessment,NN,O
of,IN,O
its,PRP$,O
ability,NN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
its,PRP$,O
previous,JJ,O
year,NN,O
performance,NN,O
as,IN,O
is,VBZ,O
sought,VBN,O
to,TO,O
be,VB,O
argued,VBN,O
by,IN,O
the,DT,O
learned,JJ,O
additional,JJ,O
solicitor,NN,O
general,NN,O
is,VBZ,O
not,RB,O
possible,JJ,O
in,IN,O
such,JJ,O
cases,NNS,O
still,RB,O
the,DT,O
government,NN,O
is,VBZ,O
obliged,VBN,O
under,IN,O
the,DT,O
approved,JJ,O
policy,NN,O
to,TO,O
grant,VB,O
a,DT,O
quota,NN,O
to,TO,O
such,JJ,O
ptos,NNS,O
36,CD,O
lastly,RB,O
it,PRP,O
is,VBZ,O
argued,VBN,O
by,IN,O
the,DT,O
learned,JJ,O
additional,JJ,O
solicitor,NN,O
general,NN,O
based,VBN,O
on,IN,O
the,DT,O
decision,NN,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
union,NN,O
of,IN,O
india,NN,O
and,CC,O
ors,NNS,O
etc,VBP,O
v,JJ,O
rafique,NN,O
shaikh,NN,O
bhikan,NN,O
and,CC,O
anr,JJ,O
etc,FW,O
manu,NN,O
mh,NN,O
1222,CD,O
2011manu,CD,O
mh,NN,O
1222,CD,O
2011,CD,O
2012,CD,O
6,CD,O
scc,NN,O
265,CD,O
that,IN,O
this,DT,O
court,NN,O
may,MD,O
not,RB,O
interfere,VB,O
with,IN,O
the,DT,O
policy,NN,O
of,IN,O
the,DT,O
government,NN,O
unless,IN,O
it,PRP,O
is,VBZ,O
demonstrated,VBN,O
before,IN,O
us,PRP,O
that,IN,O
the,DT,O
conditions,NNS,O
was,VBD,O
purely,RB,O
subjective,JJ,O
or,CC,O
designed,VBN,O
to,TO,O
exclude,VB,O
any,DT,O
individual,JJ,O
or,CC,O
group,NN,O
of,IN,O
private,JJ,O
operators,NNS,O
travel,VBP,O
agents,NNS,O
ie,JJ,O
bordering,VBG,O
on,IN,O
malice,NN,B-LEGAL
37,CD,O
we,PRP,O
reject,VBP,O
the,DT,O
submission,NN,O
as,IN,O
the,DT,O
statement,NN,O
relied,VBD,O
upon,IN,O
by,IN,O
the,DT,O
learned,JJ,O
additional,JJ,O
solicitor,NN,O
general,NN,O
is,VBZ,O
not,RB,O
an,DT,O
exhaustive,JJ,O
statement,NN,O
of,IN,O
law,NN,O
on,IN,O
the,DT,O
subject,NN,O
when,WRB,O
it,PRP,O
is,VBZ,O
demonstrated,VBN,O
that,IN,O
the,DT,O
administrative,JJ,B-LEGAL
action,NN,I-LEGAL
of,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
is,VBZ,O
inconsistent,JJ,O
with,IN,O
the,DT,O
text,NN,O
of,IN,O
the,DT,O
law,NN,O
approved,VBD,O
policy,NN,O
in,IN,O
this,DT,O
case,NN,O
or,CC,O
that,IN,O
the,DT,O
government,NN,O
is,VBZ,O
making,VBG,O
an,DT,O
irrational,JJ,O
application,NN,O
of,IN,O
the,DT,O
law,NN,O
this,DT,O
court,NN,O
is,VBZ,O
bound,VBN,O
to,TO,O
interfere,VB,O
38,CD,O
it,PRP,O
is,VBZ,O
submitted,VBN,O
by,IN,O
the,DT,O
learned,JJ,O
asg,NN,O
that,IN,O
the,DT,O
prime,JJ,O
consideration,NN,O
in,IN,O
this,DT,O
matter,NN,O
should,MD,O
not,RB,O
be,VB,O
the,DT,O
individual,JJ,O
rights,NNS,O
of,IN,O
these,DT,O
ptos,NNS,O
whose,WP$,O
only,RB,O
motive,NN,O
is,VBZ,O
to,TO,O
secure,VB,O
economic,JJ,O
benefits,NNS,O
from,IN,O
the,DT,O
allotment,NN,O
of,IN,O
haj,NN,O
quota,NN,O
but,CC,O
the,DT,O
safety,NN,O
and,CC,O
comfort,NN,O
of,IN,O
the,DT,O
haj,NN,O
pilgrims,JJ,O
government,NN,O
of,IN,O
india,NN,O
must,MD,O
have,VB,O
the,DT,O
necessary,JJ,O
freedom,NN,O
to,TO,O
make,VB,O
its,PRP$,O
own,JJ,O
assessment,NN,O
regarding,VBG,O
the,DT,O
suitability,NN,O
of,IN,O
the,DT,O
pto,NN,O
in,IN,O
this,DT,O
regard,NN,O
we,PRP,O
do,VBP,O
not,RB,O
dispute,VB,O
the,DT,O
proposition,NN,O
the,DT,O
text,NN,O
of,IN,O
the,DT,O
scheme,NN,O
itself,PRP,O
makes,VBZ,O
it,PRP,O
abundantly,RB,O
clear,JJ,O
that,IN,O
any,DT,O
pto,NN,O
once,RB,O
qualified,VBD,O
shall,MD,O
remain,VB,O
qualified,JJ,O
unless,IN,O
it,PRP,O
is,VBZ,O
otherwise,RB,O
disqualified,VBN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
for,IN,O
valid,JJ,O
reasons,NNS,O
therefore,IN,O
it,PRP,O
is,VBZ,O
always,RB,O
open,JJ,O
to,TO,O
the,DT,O
government,NN,O
to,TO,O
disqualify,VB,O
any,DT,O
registered,JJ,O
pto,NN,O
for,IN,O
subsequent,JJ,O
year,NN,O
if,IN,O
there,EX,O
is,VBZ,O
rational,JJ,O
complaint,NN,O
against,IN,O
the,DT,O
service,NN,O
rendered,VBN,O
by,IN,O
that,DT,O
pto,NN,O
in,IN,O
any,DT,O
previous,JJ,O
year,NN,O
from,IN,O
any,DT,O
one,CD,O
of,IN,O
the,DT,O
pilgrims,NNS,O
of,IN,O
that,DT,O
year,NN,O
or,CC,O
any,DT,O
other,JJ,O
legally,RB,O
tenable,JJ,O
information,NN,O
or,CC,O
material,NN,O
which,WDT,O
calls,VBZ,O
for,IN,O
disqualification,NN,O
of,IN,O
such,JJ,O
a,DT,O
pto,JJ,O
39,CD,O
we,PRP,O
are,VBP,O
left,VBN,O
with,IN,O
the,DT,O
writ,JJ,O
petitions,NNS,O
of,IN,O
those,DT,O
ptos,NNS,O
who,WP,O
are,VBP,O
seeking,VBG,O
consideration,NN,O
for,IN,O
allotment,NN,O
of,IN,O
quota,NN,O
for,IN,O
haj,NN,O
2016,CD,O
in,IN,O
the,DT,O
category,NN,O
ii,JJ,O
class,NN,O
i,VBP,O
their,PRP$,O
claim,NN,O
is,VBZ,O
that,IN,O
earlier,JJR,O
that,DT,O
is,VBZ,O
in,IN,O
2015,CD,O
for,IN,O
the,DT,O
year,NN,O
2015,CD,O
they,PRP,O
were,VBD,O
allotted,VBN,O
a,DT,O
quota,NN,O
on,IN,O
the,DT,O
ground,NN,O
that,IN,O
they,PRP,O
were,VBD,O
ptos,NNS,O
falling,VBG,O
under,IN,O
class,NN,O
ii,NN,O
of,IN,O
category,NN,O
ii,NN,O
ie,NN,O
ptos,NN,O
which,WDT,O
had,VBD,O
the,DT,O
experience,NN,O
of,IN,O
having,VBG,O
conducted,VBN,O
five,CD,O
5,CD,O
umrah,JJ,O
operations,NNS,O
prior,RB,O
to,TO,O
2015,CD,O
the,DT,O
learned,VBN,O
additional,JJ,O
solicitor,NN,O
general,JJ,O
submitted,VBD,O
that,IN,O
under,IN,O
the,DT,O
laws,NNS,O
of,IN,O
saudi,NN,O
arabia,NN,O
ptos,NNS,O
are,VBP,O
not,RB,O
permitted,VBN,O
to,TO,O
conduct,VB,O
umrah,JJ,O
operations,NNS,O
unless,IN,O
they,PRP,O
have,VBP,O
a,DT,O
clear,JJ,O
contract,NN,O
with,IN,O
one,CD,O
of,IN,O
the,DT,O
agencies,NNS,O
duly,VBP,O
authorised,VBN,O
by,IN,O
government,NN,O
of,IN,O
saudi,NN,O
arabia,NN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
conducting,VBG,O
umrah,JJ,O
operations,NNS,O
and,CC,O
some,DT,O
of,IN,O
these,DT,O
ptos,NNS,O
did,VBD,O
not,RB,O
have,VB,O
any,DT,O
such,JJ,O
contract,NN,O
according,VBG,O
to,TO,O
the,DT,O
learned,VBN,O
asg,IN,O
the,DT,O
petitioner,NN,O
ptos,NN,O
were,VBD,O
only,RB,O
sub,JJ,O
contractors,NNS,O
under,IN,O
some,DT,O
ptos,NN,O
which,WDT,O
were,VBD,O
already,RB,O
classified,VBN,O
as,IN,O
ptos,NN,O
falling,VBG,O
under,IN,O
category,NN,O
i,NN,O
or,CC,O
class,NN,O
i,NN,O
of,IN,O
category,NN,O
ii,NN,O
they,PRP,O
did,VBD,O
not,RB,O
have,VB,O
any,DT,O
independent,JJ,O
contract,NN,O
for,IN,O
conducting,VBG,O
umrah,JJ,O
operations,NNS,O
however,RB,O
by,IN,O
some,DT,O
oversight,JJ,O
some,DT,O
of,IN,O
them,PRP,O
had,VBD,O
been,VBN,O
granted,VBN,O
registration,NN,O
and,CC,O
quota,NN,O
under,IN,O
class,NN,O
i,NN,O
of,IN,O
category,NN,O
ii,NN,O
for,IN,O
the,DT,O
year,NN,O
2015,CD,O
the,DT,O
learned,VBN,O
asg,NN,O
submitted,VBN,O
that,IN,O
it,PRP,O
does,VBZ,O
not,RB,O
create,VB,O
any,DT,O
right,NN,O
in,IN,O
favour,NN,O
of,IN,O
such,JJ,O
ptos,NNS,O
40,CD,O
whatever,WDT,O
be,VB,O
the,DT,O
basis,NN,O
on,IN,O
which,WDT,O
quota,NN,O
was,VBD,O
allotted,VBN,O
to,TO,O
these,DT,O
ptos,NNS,O
for,IN,O
haj,NN,O
2015,CD,O
the,DT,O
fact,NN,O
remains,VBZ,O
that,IN,O
if,IN,O
anyone,NN,O
of,IN,O
those,DT,O
ptos,NNS,O
did,VBD,O
in,IN,O
fact,NN,O
conduct,NN,O
a,DT,O
haj,NN,O
programme,NN,O
pursuant,NN,O
to,TO,O
the,DT,O
quota,NN,O
they,PRP,O
would,MD,O
be,VB,O
entitled,VBN,O
for,IN,O
being,VBG,O
considered,VBN,O
even,RB,O
for,IN,O
2016,CD,O
unless,IN,O
there,EX,O
is,VBZ,O
any,DT,O
other,JJ,O
good,JJ,O
ground,NN,O
for,IN,O
not,RB,O
considering,VBG,O
their,PRP$,O
cases,NNS,O
such,JJ,O
as,IN,O
inefficient,NN,O
or,CC,O
bad,JJ,O
service,NN,O
rendered,VBD,O
to,TO,O
the,DT,O
pilgrimage,NN,O
during,IN,O
2015,CD,O
haj,NN,O
programme,VBP,O
their,PRP$,O
claims,NNS,O
now,RB,O
cannot,MD,O
be,RB,O
rejected,VB,O
if,VBN,O
the,IN,O
respondent,DT,O
decides,NN,O
to,VBZ,O
de,TO,O
register,VB,O
such,NN,O
ptos,JJ,O
on,NNS,O
any,IN,O
ground,DT,O
tenable,NN,O
in,NN,O
law,IN,O
it,NN,O
is,PRP,O
open,VBZ,O
for,JJ,O
the,IN,O
respondent,DT,O
to,NN,O
de,TO,O
register,VB,O
after,NN,O
giving,IN,O
reasonable,VBG,O
opportunity,JJ,O
to,NN,O
such,TO,O
ptos,JJ,O
but,NNS,O
until,CC,O
such,IN,O
de,JJ,O
registration,FW,O
takes,NN,O
place,VBZ,O
their,VBP,O
cases,PRP$,O
must,NNS,O
be,MD,O
considered,VB,O
for,VBN,O
allotment,IN,O
of,NN,O
quota,IN,O
for,NN,O
haj,IN,O
2016,NN,O
if,CD,O
they,IN,O
are,PRP,O
otherwise,VBP,O
eligible,RB,O
41,JJ,O
it,CD,O
is,PRP,O
a,VBZ,O
settled,DT,O
principle,JJ,O
of,NN,O
international,IN,B-LEGAL
law,JJ,I-LEGAL
that,NN,O
a,IN,O
law,DT,O
of,NN,O
a,IN,O
foreign,DT,O
country,JJ,O
is,NN,O
a,VBZ,O
pure,DT,O
question,JJ,O
of,NN,O
fact,IN,O
insofar,NN,O
as,NN,O
municipal,IN,O
courts,JJ,O
are,NNS,O
concerned,VBP,O
we,VBN,O
do,PRP,O
not,VBP,O
see,RB,O
any,VB,O
reason,DT,O
to,NN,O
doubt,TO,O
the,VB,O
statement,DT,O
the,NN,O
government,DT,O
of,NN,O
india,IN,O
and,NN,O
therefore,CC,O
we,NN,O
do,PRP,O
not,VBP,O
see,RB,O
any,VB,O
reason,DT,O
to,NN,O
grant,TO,O
any,VB,O
relief,DT,O
for,NN,O
those,IN,O
ptos,DT,O
42,NNS,O
all,CD,O
these,PDT,O
writ,DT,O
petitions,JJ,O
are,NNS,O
disposed,VBP,O
of,VBN,O
directing,IN,O
the,VBG,O
respondents,DT,O
to,NNS,O
consider,TO,O
the,VB,O
cases,DT,O
of,NNS,O
all,IN,O
the,PDT,O
ptos,DT,O
for,NN,O
allotment,IN,O
of,NN,O
quota,IN,O
in,NN,O
the,IN,O
light,DT,O
of,NN,O
these,IN,O
orders,DT,O
insofar,NNS,O
as,VBP,O
stipulation,IN,O
vii,NN,O
of,NN,O
annexure,IN,O
a,NN,O
is,DT,O
concerned,VBZ,O
subject,VBN,O
to,JJ,O
the,TO,O
fact,DT,O
that,NN,O
ptos,IN,O
are,NNS,O
otherwise,VBP,O
eligible,RB,O
in,JJ,O
accordance,IN,O
with,NN,O
the,IN,O
approved,DT,O
scheme,JJ,O
writ,NN,O
petitionc,NN,O
no,VBZ,O
559,DT,O
2016,JJ,O
taken,CD,O
on,VBN,O
board,IN,O
in,NN,O
view,IN,O
of,NN,O
the,IN,O
order,DT,O
passed,NN,O
in,VBD,O
wpc,IN,O
no,NN,O
425,DT,O
2016,JJ,O
this,CD,O
petition,DT,O
also,NN,O
stands,RB,O
disposed,VBZ,O
of,JJ,O
1para,IN,O
27,CD,O
having,CD,O
heard,VBG,O
the,VBN,O
attorney,DT,O
general,NN,O
and,NN,O
the,CC,O
counsel,DT,O
appearing,NN,O
for,VBG,O
the,IN,O
different,DT,O
private,JJ,O
tour,JJ,O
operators,NN,O
we,NNS,O
approve,PRP,O
the,VBP,O
policy,DT,O
presented,NN,O
by,VBN,O
the,IN,O
attorney,DT,O
general,NN,O
with,NN,O
some,IN,O
slight,DT,O
modifications,JJ,O
the,NNS,O
policy,DT,O
approved,NN,O
after,VBD,O
modifications,IN,O
by,NNS,O
this,IN,O
court,DT,O
is,NN,O
enclosed,VBZ,O
as,VBN,O
appendix,IN,O
i,NN,O
and,NN,O
forms,CC,O
part,NNS,O
of,NN,O
this,IN,O
order,DT,O
the,NN,O
approved,DT,O
policy,JJ,O
will,NN,O
be,MD,O
called,VB,O
policy,VBN,O
for,NN,O
private,IN,O
tour,JJ,O
operators,NN,O
for,NNS,O
haj,IN,O
2013,NN,O
2017,CD,O
it,CD,O
shall,PRP,O
remain,MD,O
valid,VB,O
for,JJ,O
five,IN,O
years,CD,O
and,NNS,O
shall,CC,O
not,MD,O
be,RB,O
questioned,VB,O
before,VBN,O
any,IN,O
court,DT,O
or,NN,O
authority,CC,O
2each,NN,O
pto,CD,O
should,NN,O
establish,MD,O
that,VB,O
it,IN,O
is,PRP,O
a,VBZ,O
genuine,DT,O
and,JJ,O
established,CC,O
tour,VBD,O
operator,NN,O
having,NN,O
experience,VBG,O
in,NN,O
sending,IN,O
tourists,VBG,O
pilgrims,NNS,O
abroad,NNS,O
for,RB,O
which,IN,O
he,WDT,O
should,PRP,O
produce,MD,O
the,VB,O
following,DT,O
documents,JJ,O
3424,NNS,O
that,CD,O
on,IN,O
1082015,IN,O
the,CD,O
respondent,DT,O
after,NN,O
scrutinizing,IN,O
the,VBG,O
application,DT,O
submitted,NN,O
by,VBN,O
the,IN,O
petitioner,DT,O
selected,NN,O
the,VBD,O
petitioner,DT,O
as,NN,O
a,IN,O
pto,DT,O
for,NN,O
hajj,IN,O
2015,NN,O
and,CD,O
the,CC,O
certificate,DT,O
of,NN,O
registration,IN,O
of,NN,O
private,IN,O
tour,JJ,O
operators,NN,O
for,NNS,O
hajj,IN,O
2015,NN,O
was,CD,O
issued,VBD,O
by,VBN,O
the,IN,O
respondent,DT,O
to,NN,O
the,TO,O
petitioner,DT,O
the,NN,O
petitioner,DT,O
conducted,NN,O
service,VBD,O
for,NN,O
hajj,IN,O
2015,NN,O
without,CD,O
any,IN,O
complaint,DT,O
42014,NN,O
14,CD,O
scc,CD,O
378,NN,O
para,CD,O
8,NN,O
hereinafter,CD,O
jeddah,NN,O
travels,NN,O
8,VBZ,O
clause,CD,O
vii,NN,O
of,NN,O
annexure,IN,O
a,NN,O
referred,DT,O
to,VBN,O
above,TO,O
not,IN,O
having,RB,O
stipulated,VBG,O
any,VBN,O
period,DT,O
of,NN,O
time,IN,O
during,NN,O
which,IN,O
the,WDT,O
requirement,DT,O
contemplated,NN,O
thereunder,VBN,O
is,NN,O
required,VBZ,O
to,VBN,O
be,TO,O
satisfied,VB,O
by,VBN,O
a,IN,O
private,DT,O
tour,JJ,O
operator,NN,O
and,NN,O
clause,CC,O
iv,NN,O
which,NN,O
relates,WDT,O
to,VBZ,O
the,TO,O
turnover,DT,O
of,NN,O
a,IN,O
tour,DT,O
operator,NN,O
being,NN,O
confined,VBG,O
to,VBN,O
a,TO,O
period,DT,O
of,NN,O
one,IN,O
year,CD,O
out,NN,O
of,IN,O
the,IN,O
two,DT,O
available,CD,O
calendar,JJ,O
years,NN,O
mentioned,NNS,O
thereunder,VBD,O
and,NN,O
both,CC,O
the,DT,O
clauses,DT,O
being,NNS,O
relatable,VBG,O
to,JJ,O
a,TO,O
determination,DT,O
of,NN,O
the,IN,O
suitability,DT,O
of,NN,O
a,IN,O
tour,DT,O
operator,NN,O
from,NN,O
a,IN,O
similar,DT,O
perspective,JJ,O
the,NN,O
requirement,DT,O
under,NN,O
clause,IN,O
vii,NN,O
can,NN,O
be,MD,O
reasonably,VB,O
understood,RB,O
in,JJ,O
the,IN,O
light,DT,O
of,NN,O
what,IN,O
is,WP,O
contained,VBZ,O
in,VBN,O
clause,IN,O
iv,NN,O
ie,NN,O
financial,JJ,O
years,JJ,O
2010,NNS,O
2011,CD,O
or,CD,O
2011,CC,O
2012,CD,O
admittedly,CD,O
the,RB,O
private,DT,O
tour,JJ,O
operators,NN,O
before,NNS,O
us,IN,O
have,PRP,O
been,VBP,O
disqualified,VBN,O
by,VBN,O
taking,IN,O
into,VBG,O
