rc,NN,O
the,DT,O
present,JJ,O
form,NN,O
by,IN,O
forty,JJ,O
sixth,JJ,O
amendment,NN,O
which,WDT,O
again,RB,O
is,VBZ,O
not,RB,O
relevant,JJ,O
for,IN,O
the,DT,O
present,JJ,O
controversy,NN,O
what,WP,O
is,VBZ,O
relevant,JJ,O
for,IN,O
our,PRP$,O
purpose,NN,O
is,VBZ,O
the,DT,O
deleting,NN,O
of,IN,O
former,JJ,O
explanation,NN,O
appended,VBD,O
to,TO,O
clause,VB,O
1,CD,O
and,CC,O
substitution,NN,O
of,IN,O
clause,NN,O
2,CD,O
in,IN,O
the,DT,O
present,JJ,O
form,NN,O
in,IN,O
article,NN,O
286,CD,O
by,IN,O
sixth,JJ,O
amendment,NN,O
15,CD,O
as,IN,O
to,TO,O
the,DT,O
several,JJ,O
relevant,JJ,O
entries,NNS,O
quoted,VBN,O
hereinabove,IN,O
it,PRP,O
may,MD,O
be,VB,O
noted,VBN,O
that,IN,O
entry,NN,O
92a,CD,O
in,IN,O
list,NN,O
i,NN,O
of,IN,O
seventh,JJ,O
schedule,NN,O
was,VBD,O
added,VBN,O
by,IN,O
sixth,JJ,O
amendment,NN,O
entry,NN,O
54,CD,O
in,IN,O
list,NN,O
ii,NN,O
in,IN,O
the,DT,O
present,JJ,O
form,NN,O
was,VBD,O
substituted,VBN,O
by,IN,O
sixth,JJ,O
amendment,NN,O
entries,NNS,O
52,CD,O
and,CC,O
53,CD,O
in,IN,O
list,NN,O
ii,NN,O
remain,VBP,O
unaffected,JJ,O
by,IN,O
sixth,JJ,O
amendment,NN,O
16,CD,O
the,DT,O
central,JJ,O
sales,NNS,O
tax,NN,O
act,NN,O
1956,CD,O
was,VBD,O
enacted,VBN,O
to,TO,O
formulate,VB,O
principles,NNS,O
for,IN,O
determining,VBG,O
when,WRB,O
a,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
takes,VBZ,O
place,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,NN,O
or,CC,O
outside,IN,O
a,DT,O
state,NN,O
or,CC,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
import,NN,B-LEGAL
into,IN,O
or,CC,O
export,NN,B-LEGAL
from,IN,O
india,NN,O
to,TO,O
provide,VB,O
for,IN,O
the,DT,O
levy,NN,O
collection,NN,O
and,CC,O
distribution,NN,O
of,IN,O
taxes,NNS,O
on,IN,O
sale,NN,O
of,IN,O
goods,NNS,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,NN,O
etc,NN,O
as,IN,O
the,DT,O
preamble,JJ,O
to,TO,O
the,DT,O
act,NN,O
states,VBZ,O
clause,VBP,O
d,NN,O
of,IN,O
section,NN,O
2,CD,O
defines,NNS,O
goods,NNS,O
unless,IN,O
the,DT,O
context,NN,O
otherwise,RB,O
requires,VBZ,O
to,TO,O
include,VB,O
all,DT,O
materials,NNS,O
articles,NNS,O
commodities,NNS,O
and,CC,O
all,DT,O
other,JJ,O
kinds,NNS,O
of,IN,O
moveable,JJ,O
properties,NNS,O
but,CC,O
not,RB,O
including,VBG,O
newspapers,NNS,O
actionable,JJ,O
claims,NNS,O
stocks,NNS,O
shares,NNS,O
and,CC,O
securities,NNS,O
section,NN,O
3,CD,O
of,IN,O
the,DT,O
act,NN,O
placed,VBN,O
in,IN,O
chapter,NN,O
ii,NN,O
thereof,NN,O
provides,VBZ,O
as,IN,O
under,IN,O
chapter,NN,O
ii,JJ,O
formulation,NN,O
of,IN,O
principles,NNS,O
for,IN,O
determining,VBG,O
when,WRB,O
a,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
takes,VBZ,O
place,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,NN,O
or,CC,O
outside,IN,O
a,DT,O
state,NN,O
or,CC,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
import,NN,B-LEGAL
or,CC,O
export,NN,B-LEGAL
3,CD,O
when,WRB,O
is,VBZ,O
a,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
said,VBD,O
to,TO,O
take,VB,O
place,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,VB,O
a,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
shall,MD,O
be,VB,O
deemed,VBN,O
to,TO,O
take,VB,O
place,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,NN,O
if,IN,O
the,DT,O
sale,NN,O
or,CC,O
purchase,VB,O
a,DT,O
occasions,NNS,O
the,DT,O
movement,NN,O
of,IN,O
goods,NNS,O
from,IN,O
one,CD,O
state,NN,O
to,TO,O
another,DT,O
or,CC,O
b,NN,O
is,VBZ,O
effected,VBN,O
by,IN,O
a,DT,O
transfer,NN,O
of,IN,O
documents,NNS,O
of,IN,O
title,NN,O
to,TO,O
the,DT,O
goods,NNS,O
during,IN,O
their,PRP$,O
movement,NN,O
from,IN,O
one,CD,O
state,NN,O
to,TO,O
another,DT,O
explanation,NN,O
1,CD,O
where,WRB,O
goods,NNS,O
are,VBP,O
delivered,VBN,O
to,TO,O
a,DT,O
carrier,NN,B-LEGAL
or,CC,O
other,JJ,O
bailee,NN,B-LEGAL
for,IN,O
transmission,NN,O
the,DT,O
movement,NN,O
of,IN,O
the,DT,O
goods,NNS,O
shall,MD,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
clause,NN,O
b,NN,O
be,VB,O
deemed,VBN,O
to,TO,O
commence,VB,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
such,JJ,O
delivery,NN,O
and,CC,O
terminate,NN,O
at,IN,O
the,DT,O
time,NN,O
when,WRB,O
delivery,NN,O
is,VBZ,O
taken,VBN,O
from,IN,O
such,JJ,O
carrier,NN,B-LEGAL
or,CC,O
bailee,NN,B-LEGAL
explanation,NN,O
2,CD,O
where,WRB,O
the,DT,O
movement,NN,O
of,IN,O
goods,NNS,O
commences,NNS,O
and,CC,O
terminates,NNS,O
in,IN,O
the,DT,O
same,JJ,O
state,NN,O
it,PRP,O
shall,MD,O
not,RB,O
be,VB,O
deemed,VBN,O
to,TO,O
be,VB,O
a,DT,O
movement,NN,O
of,IN,O
goods,NNS,O
from,IN,O
one,CD,O
state,NN,O
to,TO,O
another,DT,O
by,IN,O
reason,NN,O
merely,RB,O
of,IN,O
the,DT,O
fact,NN,O
that,IN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
such,JJ,O
movement,NN,O
the,DT,O
goods,NNS,O
pass,VBP,O
through,IN,O
the,DT,O
territory,NN,O
of,IN,O
any,DT,O
other,JJ,O
state,NN,O
17,CD,O
at,IN,O
this,DT,O
juncture,NN,O
it,PRP,O
would,MD,O
be,VB,O
appropriate,JJ,B-LEGAL
to,TO,O
have,VB,O
a,DT,O
view,NN,O
of,IN,O
the,DT,O
legislative,JJ,O
history,NN,O
explanation,NN,O
to,TO,O
clause,VB,O
1,CD,O
of,IN,O
article,NN,O
286,CD,O
generated,VBD,O
some,DT,O
controversy,NN,O
which,WDT,O
led,VBD,O
to,TO,O
the,DT,O
constitution,NN,O
of,IN,O
a,DT,O
larger,JJR,O
bench,NN,O
7,CD,O
judge,NN,O
strength,NN,O
in,IN,O
the,DT,O
bengal,JJ,O
immunity,NN,B-LEGAL
company,NN,O
limited,VBD,O
v,IN,O
the,DT,O
state,NN,O
of,IN,O
bihar,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
sc,JJ,O
0083,CD,O
1955manu,CD,O
sc,NN,O
0083,CD,O
1955,CD,O
1955,CD,O
2scr603,CD,O
the,DT,O
larger,JJR,O
bench,NN,O
ruled,VBN,O
by,IN,O
majority,NN,O
that,IN,O
an,DT,O
inter,NN,B-LEGAL
state,NN,O
sale,NN,O
or,CC,O
purchase,NN,O
continues,VBZ,O
to,TO,O
be,VB,O
so,RB,O
irrespective,JJ,O
of,IN,O
the,DT,O
state,NN,O
where,WRB,O
the,DT,O
sale,NN,O
can,MD,O
be,VB,O
held,VBN,O
to,TO,O
be,VB,O
located,VBN,O
under,IN,O
the,DT,O
general,JJ,O
law,NN,O
or,CC,O
by,IN,O
the,DT,O
fiction,NN,O
created,VBN,O
by,IN,O
the,DT,O
explanation,NN,O
appended,VBD,O
to,TO,O
clause,VB,O
1,CD,O
of,IN,O
article,NN,O
286,CD,O
the,DT,O
situs,NN,O
of,IN,O
a,DT,O
sale,NN,O
or,CC,O
purchase,NN,O
is,VBZ,O
wholly,RB,O
irrelevant,JJ,O
so,RB,O
far,RB,O
as,IN,O
its,PRP$,O
inter,NN,B-LEGAL
state,NN,O
character,NN,O
is,VBZ,O
concerned,VBN,O
the,DT,O
larger,JJR,O
bench,NN,O
further,RBR,O
ruled,VBD,O
that,IN,O
until,IN,O
parliament,NN,O
by,IN,O
law,NN,O
made,VBN,O
in,IN,O
exercise,NN,O
of,IN,O
the,DT,O
powers,NNS,O
vested,VBN,O
in,IN,O
it,PRP,O
by,IN,O
clause,NN,O
2,CD,O
of,IN,O
article,NN,O
286,CD,O
provides,VBZ,O
otherwise,RB,O
no,DT,O
state,NN,O
can,MD,O
impose,VB,O
or,CC,O
authorize,VB,O
the,DT,O
imposition,NN,O
of,IN,O
any,DT,O
tax,NN,O
on,IN,O
sale,NN,O
or,CC,O
purchase,NN,O
of,IN,O
goods,NNS,O
when,WRB,O
any,DT,O
sales,NNS,O
or,CC,O
purchases,NNS,O
take,VBP,O
place,NN,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,NN,O
to,TO,O
put,VB,O
in,IN,O
other,JJ,O
words,NNS,O
it,PRP,O
was,VBD,O
held,VBN,O
that,IN,O
explanation,NN,O
to,TO,O
article,NN,O
2861,CD,O
as,IN,O
it,PRP,O
existed,VBD,O
prior,RB,O
to,TO,O
the,DT,O
sixth,JJ,O
amendment,NN,O
could,MD,O
not,RB,O
be,VB,O
applied,VBN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
interpreting,VBG,O
clause,NN,O
2,CD,O
of,IN,O
article,NN,O
286,CD,O
18,CD,O
the,DT,O
issue,NN,O
attracted,VBD,O
the,DT,O
attention,NN,O
of,IN,O
taxation,NN,O
enquiry,FW,O
commission,NN,O
1953,CD,O
54,CD,O
tec,NN,O
for,IN,O
short,JJ,O
in,IN,O
its,PRP$,O
report,NN,O
volume,NN,O
iii,VBP,O
chapter,NN,O
4,CD,O
vide,NN,O
para,NN,O
30,CD,O
the,DT,O
commission,NN,O
observed,VBD,O
inter,JJ,B-LEGAL
alia,NN,O
that,WDT,O
clause,VBP,O
1,CD,O
of,IN,O
article,NN,O
286,CD,O
links,VBZ,O
the,DT,O
sales,NNS,O
tax,NN,O
to,TO,O
one,CD,O
of,IN,O
the,DT,O
two,CD,O
parties,NNS,O
viz,VBP,O
the,DT,O
consumer,NN,O
and,CC,O
lays,VBZ,O
down,RP,O
that,DT,O
no,DT,O
state,NN,O
shall,MD,O
levy,VB,O
tax,NN,O
on,IN,O
a,DT,O
sale,NN,O
which,WDT,O
results,NNS,O
in,IN,O
delivery,NN,O
for,IN,O
consumption,NN,B-LEGAL
in,IN,O
another,DT,O
state,NN,O
while,IN,O
making,VBG,O
recommendations,NNS,O
for,IN,O
consideration,NN,O
of,IN,O
future,JJ,O
policy,NN,O
regarding,VBG,O
sales,NNS,O
tax,NN,O
it,PRP,O
opined,VBD,O
that,IN,O
the,DT,O
system,NN,O
should,MD,O
contain,VB,O
provisions,NNS,O
whereby,WRB,O
certain,JJ,O
constitutional,JJ,O
restrictions,NNS,O
on,IN,O
the,DT,O
state,NN,O
and,CC,O
certain,JJ,O
powers,NNS,O
of,IN,O
levy,NN,O
and,CC,O
control,NN,O
by,IN,O
the,DT,O
union,NN,O
are,VBP,O
introduced,VBN,O
the,DT,O
tec,NN,O
observed,VBD,O
that,IN,O
the,DT,O
constitution,NN,O
in,IN,O
effect,NN,O
divides,NNS,O
sales,NNS,O
of,IN,O
goods,NNS,O
in,IN,O
india,NN,O
into,IN,O
a,DT,O
goods,NNS,O
delivered,VBN,O
for,IN,O
consumption,NN,B-LEGAL
in,IN,O
particular,JJ,O
states,NNS,O
and,CC,O
b,NN,O
other,JJ,O
sales,NNS,O
which,WDT,O
dichotomy,VBP,O
is,VBZ,O
imperfect,JJ,O
from,IN,O
the,DT,O
point,NN,O
of,IN,O
view,NN,O
of,IN,O
tax,NN,O
administration,NN,O
it,PRP,O
suggested,VBD,O
division,NN,O
both,DT,O
useful,JJ,O
and,CC,O
effective,JJ,O
of,IN,O
all,DT,O
sales,NNS,O
of,IN,O
goods,NNS,O
into,IN,O
two,CD,O
namely,RB,O
a,DT,O
those,DT,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
and,CC,O
commerce,NN,O
and,CC,O
b,NN,O
those,DT,O
not,RB,O
in,IN,O
the,DT,O
course,NN,O
of,IN,O
such,JJ,O
trade,NN,O
and,CC,O
commerce,NN,O
while,IN,O
the,DT,O
former,JJ,O
should,MD,O
be,VB,O
the,DT,O
sphere,NN,O
of,IN,O
the,DT,O
union,NN,O
and,CC,O
the,DT,O
latter,NN,O
in,IN,O
the,DT,O
sphere,NN,O
of,IN,O
the,DT,O
states,NNS,O
it,PRP,O
appears,VBZ,O
that,IN,O
so,RB,O
far,RB,O
as,IN,O
the,DT,O
electricity,NN,O
duty,NN,O
is,VBZ,O
concerned,VBN,O
though,IN,O
the,DT,O
subject,NN,O
was,VBD,O
separately,RB,O
dealt,VBN,O
with,IN,O
by,IN,O
the,DT,O
report,NN,O
in,IN,O
the,DT,O
then,RB,O
circumstances,NNS,O
the,DT,O
tec,NN,O
did,VBD,O
not,RB,O
comprehend,VB,O
inter,NN,B-LEGAL
state,NN,O
sale,NN,O
of,IN,O
electricity,NN,O
and,CC,O
therefore,RB,O
did,VBD,O
not,RB,O
make,VB,O
any,DT,O
recommendation,NN,O
specifically,RB,O
in,IN,O
that,DT,O
regard,NN,O
however,RB,O
that,DT,O
does,VBZ,O
not,RB,O
make,VB,O
any,DT,O
difference,NN,O
19,CD,O
pursuant,NN,O
to,TO,O
the,DT,O
recommendations,NNS,O
made,VBN,O
by,IN,O
the,DT,O
taxation,NN,O
enquiry,NN,O
commission,NN,O
the,DT,O
parliament,NN,O
incorporated,VBD,O
certain,JJ,O
amendments,NNS,O
in,IN,O
the,DT,O
constitution,NN,O
by,IN,O
enacting,VBG,O
the,DT,O
constitution,NN,O
sixth,JJ,O
amendment,NN,O
act,NN,O
1956,CD,O
which,WDT,O
we,PRP,O
have,VBP,O
already,RB,O
noticed,VBN,O
briefly,NN,O
20,CD,O
we,PRP,O
have,VBP,O
very,RB,O
briefly,RB,O
stated,VBN,O
the,DT,O
legislative,JJ,O
history,NN,O
for,IN,O
it,PRP,O
has,VBZ,O
been,VBN,O
noticed,VBN,O
in,IN,O
details,NNS,O
in,IN,O
a,DT,O
recent,JJ,O
constitution,NN,O
bench,NN,O
decision,NN,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
20th,JJ,O
century,NN,O
finance,NN,O
corporation,NN,O
ltd,NN,O
and,CC,O
anr,NN,O
v,NN,O
state,NN,O
of,IN,O
maharashtra,JJ,O
manu,NN,O
sc,NN,O
0412,CD,O
2000manu,CD,O
sc,NN,O
0412,CD,O
2000,CD,O
air2000sc2436,NN,O
and,CC,O
earlier,RBR,O
in,IN,O
shiv,JJ,O
dutt,NN,O
rai,NN,O
fateh,NN,O
chand,NN,O
etc,FW,O
v,FW,O
union,NN,O
of,IN,O
india,NN,O
and,CC,O
anr,JJ,O
manu,NN,O
sc,NN,O
0315,CD,O
1983manu,CD,O
sc,NN,O
0315,CD,O
1983,CD,O
1984,CD,O
148itr664sc,CD,O
and,CC,O
therefore,RB,O
we,PRP,O
have,VBP,O
deemed,VBN,O
it,PRP,O
not,RB,O
necessary,JJ,O
to,TO,O
repeat,VB,O
or,CC,O
re,VB,O
state,NN,O
the,DT,O
same,JJ,O
in,IN,O
details,NNS,O
the,DT,O
central,JJ,O
sales,NNS,O
tax,NN,O
act,NN,O
1956,CD,O
was,VBD,O
enacted,VBN,O
by,IN,O
the,DT,O
parliament,NN,O
as,IN,O
authorized,VBN,O
by,IN,O
the,DT,O
constitution,NN,O
we,PRP,O
have,VBP,O
already,RB,O
reproduced,VBN,O
section,NN,O
3,CD,O
of,IN,O
the,DT,O
cst,NN,O
act,NN,O
hereinabove,NN,O
by,IN,O
section,NN,O
6,CD,O
of,IN,O
the,DT,O
act,NN,O
the,DT,O
central,JJ,O
government,NN,O
was,VBD,O
empowered,VBN,O
to,TO,O
levy,VB,O
tax,NN,O
on,IN,O
all,DT,O
sales,NNS,O
of,IN,O
goods,NNS,O
effected,VBN,O
by,IN,O
a,DT,O
dealer,NN,B-LEGAL
in,IN,O
the,DT,O
course,NN,O
of,IN,O
inter,NN,B-LEGAL
state,NN,O
trade,NN,O
or,CC,O
commerce,NN,O
however,RB,O
by,IN,O
the,DT,O
central,JJ,O
sales,NNS,O
tax,NN,O
amendment,NN,O
act,NN,O
1972,CD,O
which,WDT,O
came,VBD,O
into,IN,O
force,NN,O
with,IN,O
effect,NN,O
from,IN,O
141973,CD,O
the,DT,O
language,NN,O
of,IN,O
section,NN,O
6,CD,O
was,VBD,O
suitably,RB,O
amended,VBN,O
so,RB,O
as,IN,O
to,TO,O
confine,VB,O
the,DT,O
levy,NN,O
of,IN,O
tax,NN,O
under,IN,O
section,NN,O
6,CD,O
on,IN,O
all,DT,O
sales,NNS,O
of,IN,O
goods,NNS,O
other,JJ,O
than,IN,O
electrical,JJ,O
energy,NN,O
the,DT,O
statement,NN,O
of,IN,O
objects,NNS,O
and,CC,O
reasons,NNS,O
for,IN,O
this,DT,O
amendment,NN,O
was,VBD,O
so,RB,O
stated,JJ,O
exemption,NN,O
from,IN,O
central,JJ,O
sales,NNS,O
tax,NN,O
act,NN,O
on,IN,O
inter,JJ,B-LEGAL
state,NN,O
sales,NNS,O
of,IN,O
electrical,JJ,O
energy,NN,O
is,VBZ,O
now,RB,O
dependent,JJ,O
on,IN,O
the,DT,O
exemption,NN,O
form,NN,O
tax,NN,O
by,IN,O
a,DT,O
state,NN,O
government,NN,O
on,IN,O
local,JJ,O
sales,NNS,O
of,IN,O
electrical,JJ,O
energy,NN,O
it,PRP,O
is,VBZ,O
now,RB,O
proposed,VBN,O
to,TO,O
provide,VB,O
specifically,RB,O
that,IN,O
inter,NN,B-LEGAL
state,NN,O
sale,NN,O
of,IN,O
electrical,JJ,O
energy,NN,O
would,MD,O
not,RB,O
be,VB,O
liable,JJ,O
to,TO,O
central,JJ,O
sale,NN,O
tax,NN,O
see,VBP,O
gazette,NN,O
of,IN,O
india,JJ,O
extraordinary,JJ,O
part,NN,O
ii,NN,O
at,IN,O
page,NN,O
522,CD,O
the,DT,O
purpose,NN,O
behind,IN,O
referring,VBG,O
to,TO,O
this,DT,O
amendment,NN,O
and,CC,O
the,DT,O
sor,NN,O
is,VBZ,O
that,IN,O
in,IN,O
the,DT,O
understanding,NN,O
of,IN,O
the,DT,O
parliament,NN,O
also,RB,O
the,DT,O
inter,NN,B-LEGAL
state,NN,O
sale,NN,O
of,IN,O
electrical,JJ,O
energy,NN,O
was,VBD,O
liable,JJ,O
to,TO,O
central,JJ,O
sales,NNS,O
tax,NN,O
under,IN,O
section,NN,O
6,CD,O
of,IN,O
the,DT,O
act,NN,O
and,CC,O
but,CC,O
for,IN,O
the,DT,O
amendment,NN,O
such,JJ,O
tax,NN,O
was,VBD,O
capable,JJ,O
of,IN,O
being,VBG,O
levied,VBN,O
by,IN,O
the,DT,O
central,JJ,O
government,NN,O
electricity,NN,O
what,WP,O
it,PRP,O
is,VBZ,O
21,CD,O
before,IN,O
we,PRP,O
deal,VBP,O
with,IN,O
the,DT,O
constitutional,JJ,O
aspects,NNS,O
let,VB,O
us,PRP,O
first,VB,O
state,NN,O
what,WP,O
electricity,NN,O
is,VBZ,O
as,RB,O
understood,JJ,O
in,IN,O
law,NN,O
and,CC,O
what,WDT,O
are,VBP,O
its,PRP$,O
relevant,JJ,O
characteristics,NNS,O
it,PRP,O
is,VBZ,O
settled,VBN,O
with,IN,O
the,DT,O
pronouncement,NN,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
commissioner,NN,O
of,IN,O
sales,NNS,O
tax,NN,O
madhya,NN,O
pradesh,NN,O
indore,NN,O
v,NN,O
madhya,NN,O
pradesh,JJ,O
electricity,NN,O
board,NN,O
jabalpur,NN,O
manu,NN,O
sc,NN,O
0156,CD,O
1968manu,CD,O
sc,NN,O
0156,CD,O
1968,CD,O
1969,CD,O
2scr939,CD,O
that,IN,O
electricity,NN,O
is,VBZ,O
goods,NNS,O
the,DT,O
definition,NN,B-LEGAL
of,IN,O
goods,NNS,O
as,IN,O
given,VBN,O
in,IN,O
article,NN,O
36612,CD,O
of,IN,O
the,DT,O
constitution,NN,O
was,VBD,O
considered,VBN,O
by,IN,O
this,DT,O
court,NN,O
and,CC,O
it,PRP,O
was,VBD,O
held,VBN,O
that,IN,O
the,DT,O
definition,NN,B-LEGAL
in,IN,O
terms,NNS,O
is,VBZ,O
very,RB,O
wide,JJ,O
according,VBG,O
to,TO,O
which,WDT,O
goods,NNS,O
means,VBZ,O
all,DT,O
kinds,NNS,O
of,IN,O
moveable,JJ,O
property,NN,O
the,DT,O
term,NN,O
moveable,JJ,O
property,NN,O
when,WRB,O
considered,VBN,O
with,IN,O
reference,NN,O
to,TO,O
goods,NNS,O
as,IN,O
defined,VBN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
sales,NNS,O
tax,NN,O
cannot,MD,O
be,RB,O
taken,VB,O
in,VBN,O
a,IN,O
narrow,DT,O
sense,JJ,O
and,NN,O
merely,CC,O
because,RB,O
electrical,IN,O
energy,JJ,O
is,NN,O
not,VBZ,O
tangible,RB,O
or,JJ,O
cannot,CC,O
be,MD,O
moved,RB,O
or,VB,O
touched,VBN,O
like,CC,O
for,VBN,O
instance,IN,O
a,IN,O
price,NN,O
of,DT,O
wood,NN,O
or,IN,O
a,NN,O
book,CC,O
it,DT,O
cannot,NN,O
cease,PRP,O
to,MD,O
be,RB,O
moveable,VB,O
property,TO,O
when,VB,O
it,JJ,O
has,NN,O
all,WRB,O
the,PRP,O
attributes,VBZ,O
of,PDT,O
such,DT,O
property,NNS,O
it,IN,O
is,JJ,O
capable,NN,O
of,PRP,O
abstraction,VBZ,O
consumption,JJ,B-LEGAL
and,IN,O
use,NN,O
which,NN,O
if,CC,O
done,NN,O
dishonestly,WDT,O
is,IN,O
punishable,VBN,O
under,RB,O
section,VBZ,O
39,JJ,O
of,IN,O
the,NN,O
indian,CD,O
electricity,IN,O
act,DT,O
1910,JJ,O
if,NN,O
there,NN,O
can,CD,O
be,IN,O
sale,EX,O
and,MD,O
purchase,VB,O
of,NN,O
electrical,CC,O
energy,NN,O
like,IN,O
any,JJ,O
other,NN,O
moveable,IN,O
object,DT,O
this,JJ,O
court,JJ,O
held,NN,O
that,DT,O
there,NN,O
was,VBD,O
no,IN,O
difficulty,EX,O
in,VBD,O
holding,DT,O
that,NN,O
electric,IN,O
energy,VBG,O
was,IN,O
intended,JJ,O
to,NN,O
be,VBD,O
covered,VBN,O
by,TO,O
the,VB,O
definition,VBN,B-LEGAL
of,IN,O
goods,DT,O
however,NN,O
an,IN,O
grover,NNS,O
j,RB,O
speaking,DT,O
for,NN,O
three,NN,O
judge,NN,O
bench,IN,O
of,CD,O
this,NN,O
court,NN,O
went,IN,O
on,DT,O
to,NN,O
observed,VBD,O
that,IN,O
electric,TO,O
energy,VB,O
can,DT,O
be,JJ,O
transmitted,NN,O
transferred,MD,O
delivered,VB,O
stored,VBN,O
possessed,JJ,O
etc,VBN,O
in,VBD,O
the,JJ,O
same,NN,O
way,IN,O
as,DT,O
any,JJ,O
other,NN,O
moveable,IN,O
property,DT,O
in,JJ,O
this,JJ,O
observation,NN,O
we,IN,O
agree,DT,O
with,NN,O
grover,PRP,O
j,VBP,O
on,IN,O
all,NN,O
other,NN,O
characteristics,IN,O
of,DT,O
electric,JJ,O
energy,NNS,O
except,IN,O
that,JJ,O
it,NN,O
can,IN,O
be,IN,O
stored,PRP,O
and,MD,O
to,VB,O
the,VBN,O
extent,CC,O
that,TO,O
electric,DT,O
energy,NN,O
can,WDT,O
be,JJ,O
stored,NN,O
the,MD,O
observation,VB,O
must,VBN,O
be,DT,O
held,NN,O
to,MD,O
be,VB,O
erroneous,VBN,O
or,TO,O
by,VB,O
oversight,JJ,O
the,CC,O
science,IN,O
and,IN,O
technology,DT,O
till,NN,O
this,CC,O
day,NN,O
have,NN,O
not,DT,O
been,NN,O
able,VBP,O
to,RB,O
evolve,VBN,O
any,JJ,O
methodology,TO,O
by,VB,O
which,DT,O
electric,NN,O
energy,IN,O
can,WDT,O
be,JJ,O
preserved,NN,O
or,MD,O
stored,VB,O
22,VBN,O
another,CC,O
significant,VBN,O
characteristic,CD,O
of,DT,O
electric,JJ,O
energy,NN,O
is,IN,O
that,JJ,O
its,NN,O
generation,VBZ,O
or,IN,O
production,PRP$,O
coincides,NN,O
almost,CC,O
instantaneously,NN,O
with,NNS,O
its,RB,O
consumption,RB,B-LEGAL
to,IN,O
quote,PRP$,O
from,NN,O
aiyar,TO,O
s,VB,O
law,IN,O
lexicon,JJ,O
second,NN,O
edition,NN,O
2000,NN,O
electricity,JJ,O
in,NN,O
physics,CD,O
is,NN,O
the,IN,O
name,NNS,O
given,VBZ,O
to,DT,O
the,NN,O
cause,VBN,O
of,TO,O
a,DT,O
series,NN,O
of,IN,O
phenomena,DT,O
exhibited,NN,O
by,IN,O
various,NNS,O
substances,VBN,O
and,IN,O
also,JJ,O
to,NNS,O
the,CC,O
phenomena,RB,O
themselves,TO,O
its,DT,O
true,NN,O
nature,PRP,O
is,PRP$,O
not,JJ,O
understood,NN,O
imperial,VBZ,O
dict,RB,O
quoted,JJ,O
in,JJ,O
spensley,NN,O
v,VBN,O
lancashire,IN,O
ins,NN,O
co,NN,O
54,NN,O
wis,VBZ,O
433,JJ,O
442,CD,O
11,NN,O
nw,CD,O
894,CD,O
where,CD,O
the,NN,O
court,CD,O
quoting,WRB,O
from,DT,O
the,NN,O
same,VBG,O
authority,IN,O
said,DT,O
we,JJ,O
are,NN,O
totally,VBD,O
ignorant,PRP,O
of,VBP,O
the,RB,O
nature,JJ,O
of,IN,O
this,DT,O
cause,NN,O
whether,IN,O
it,DT,O
be,NN,O
a,IN,O
material,PRP,O
agent,VB,O
or,DT,O
merely,JJ,O
a,NN,O
property,CC,O
of,RB,O
matter,DT,O
but,NN,O
as,IN,O
some,NN,O
hypothesis,CC,O
is,IN,O
necessary,DT,O
for,NN,O
explaining,VBZ,O
the,JJ,O
phenomena,IN,O
observed,VBG,O
it,DT,O
has,NN,O
been,VBD,O
assumed,PRP,O
to,VBZ,O
be,VBN,O
a,VBN,O
highly,TO,O
subtle,VB,O
imponderable,DT,O
fluid,RB,O
identical,JJ,O
with,JJ,O
lightning,NN,O
which,JJ,O
pervades,IN,O
the,VBG,O
pores,WDT,O
of,VBZ,O
all,DT,O
bodies,NNS,O
and,IN,O
is,DT,O
