hl,NN,O
rule,MD,O
contemplates,VB,O
a,RB,O
scenario,CD,O
wherein,DT,O
a,JJ,O
business,NN,O
owned,VBZ,O
by,DT,O
a,NN,O
dealer,VBZ,O
is,DT,O
under,NN,O
the,VBN,O
control,IN,O
of,DT,O
inter,NN,O
alia,VBZ,O
the,IN,O
official,DT,O
trustee,NN,O
or,IN,O
receiver,NN,O
or,IN,O
manager,DT,O
including,JJ,O
any,NN,O
other,CC,O
person,NN,O
who,CC,O
manages,NN,O
the,VBG,O
business,DT,O
of,JJ,O
the,NN,O
said,WP,O
dealer,VBZ,O
who,DT,O
is,NN,O
appointed,IN,O
by,DT,O
an,VBD,O
order,NN,O
of,WP,O
a,VBZ,O
court,VBN,O
in,IN,O
such,DT,O
an,NN,O
event,IN,O
tax,DT,O
would,NN,O
be,IN,O
recoverable,JJ,O
from,DT,O
such,NN,O
a,NN,O
person,MD,O
who,VB,O
controls,JJ,O
the,IN,O
business,JJ,O
of,DT,O
the,NN,O
dealer,WP,O
in,VBZ,O
the,DT,O
same,NN,O
or,IN,O
like,DT,O
manner,NN,O
as,IN,O
would,DT,O
have,JJ,O
been,CC,O
recoverable,JJ,O
from,NN,O
the,IN,O
dealer,MD,O
itself,VB,O
discussion,VBN,O
31,JJ,O
at,IN,O
the,DT,O
outset,NN,O
it,PRP,O
would,NN,O
be,CD,O
necessary,IN,O
to,DT,O
make,NN,O
reference,PRP,O
to,MD,O
the,VB,O
statement,JJ,O
affidavit,TO,O
filed,VB,O
by,NN,O
the,TO,O
special,DT,O
government,NN,O
pleader,NN,O
taxes,VBN,O
appearing,IN,O
for,DT,O
the,JJ,O
revenue,NN,O
before,NN,O
the,NNS,O
learned,VBG,O
single,IN,O
judge,DT,O
of,NN,O
the,IN,O
high,DT,O
court,VBN,O
in,JJ,O
the,NN,O
said,IN,O
statement,DT,O
affidavit,JJ,O
the,NN,O
revenue,IN,O
has,DT,O
stated,VBD,O
that,NN,O
a,VBD,O
sale,DT,O
by,NN,O
the,VBZ,O
official,VBN,O
liquidator,IN,O
whether,DT,O
by,NN,O
auction,IN,O
or,DT,O
otherwise,JJ,O
is,NN,O
a,IN,O
sale,IN,O
by,NN,O
the,CC,O
central,NN,O
government,VBZ,O
and,DT,O
therefore,NN,O
the,IN,O
official,DT,O
liquidator,JJ,O
becomes,NN,O
a,CC,O
dealer,VB,O
under,DT,O
the,JJ,O
act,NN,O
1963,VBZ,O
it,DT,O
was,NN,O
further,IN,O
stated,DT,O
that,NN,O
although,CD,O
tax,PRP,O
may,VBD,O
be,RBR,O
collected,VBD,O
only,IN,O
by,IN,O
a,NN,O
registered,MD,O
dealer,VB,O
the,VBN,O
central,RB,O
government,IN,O
is,DT,O
empowered,JJ,O
to,NN,O
collect,DT,O
tax,JJ,O
in,NN,O
the,VBZ,O
manner,VBN,O
a,TO,O
registered,VB,O
dealer,NN,O
is,IN,O
entitled,DT,O
to,NN,O
the,DT,O
revenue,JJ,O
in,NN,O
its,VBZ,O
conclusion,VBN,O
therein,TO,O
has,DT,O
stated,NN,O
that,IN,O
the,PRP$,O
official,NN,O
liquidator,NN,O
would,VBZ,O
be,VBN,O
liable,IN,O
to,DT,O
pay,JJ,O
tax,NN,O
at,MD,O
the,VB,O
relevant,JJ,O
rate,TO,O
whether,VB,O
he,NN,O
had,IN,O
collected,DT,O
the,JJ,O
same,NN,O
or,IN,O
not,PRP,O
32,VBD,O
to,VBN,O
appreciate,DT,O
the,JJ,O
stand,CC,O
of,RB,O
the,CD,O
revenue,TO,O
it,VB,O
would,DT,O
be,NN,O
profitable,IN,O
to,DT,O
refer,NN,O
to,PRP,O
section,MD,O
2viii,VB,O
of,JJ,O
the,TO,O
act,VB,O
1963,TO,O
which,VB,O
defines,CD,O
the,IN,O
expression,DT,O
dealer,NN,O
as,CD,O
any,WDT,O
person,VBZ,O
who,DT,O
carries,NN,O
on,NN,O
the,IN,O
business,DT,O
of,NN,O
buying,WP,O
selling,VBZ,O
supplying,IN,O
or,DT,O
distributing,NN,O
goods,IN,O
executing,VBG,O
works,VBG,O
contract,NN,B-LEGAL
transferring,CC,O
right,VBG,O
to,NNS,O
use,VBG,O
any,NNS,O
goods,NN,O
or,VBG,O
supplying,RB,O
by,TO,O
way,VB,O
of,DT,O
or,NNS,O
as,CC,O
part,VBG,O
of,IN,O
any,NN,O
service,IN,O
any,CC,O
goods,IN,O
directly,NN,O
or,IN,O
indirectly,DT,O
the,NN,O
aforementioned,DT,O
activities,NNS,O
are,RB,O
carried,CC,O
out,RB,O
for,DT,O
the,JJ,O
payment,NNS,O
of,VBP,O
consideration,VBN,O
in,IN,O
the,IN,O
form,DT,O
of,NN,O
cash,IN,O
deferred,NN,B-LEGAL
payment,IN,I-LEGAL
commission,DT,O
remuneration,NN,O
etc,IN,O
thus,NN,O
the,VBN,O
emphasis,NN,O
under,NN,O
this,NN,O
clause,FW,O
of,RB,O
carrying,DT,O
on,NN,O
business,IN,O
is,DT,O
to,NN,O
be,IN,O
understood,VBG,O
in,IN,O
a,NN,O
wide,VBZ,O
sense,TO,O
and,VB,O
not,VBN,O
merely,IN,O
restricted,DT,O
to,JJ,O
the,NN,O
activity,CC,O
of,RB,O
buying,RB,O
and,VBN,O
selling,TO,O
33,DT,O
the,NN,O
expression,IN,O
business,VBG,O
has,CC,O
been,VBG,O
given,CD,O
a,DT,O
wide,NN,O
and,NN,O
inclusive,VBZ,O
definition,VBN,O
whereby,VBN,O
any,DT,O
business,JJ,O
trade,CC,O
commerce,JJ,O
or,NN,O
manufacture,WRB,O
or,DT,O
any,NN,O
activity,NN,O
of,NN,O
the,CC,O
said,NN,O
nature,CC,O
whether,DT,O
or,NN,O
not,IN,O
it,DT,O
is,VBD,O
carried,NN,O
on,IN,O
with,CC,O
a,RB,O
motive,PRP,O
for,VBZ,O
profit,VBN,O
has,IN,O
been,IN,O
expressly,DT,O
included,NN,O
it,IN,O
further,NN,O
includes,VBZ,O
any,VBN,O
transaction,RB,O
in,VBN,O
connection,PRP,O
with,RBR,O
such,VBZ,O
trade,DT,O
commerce,NN,O
etc,IN,O
including,NN,O
within,IN,O
its,JJ,O
purview,NN,O
all,NN,O
ancillary,FW,O
or,VBG,O
incidental,IN,O
activities,PRP$,O
in,NN,O
connection,DT,O
with,JJ,O
any,CC,O
trade,JJ,O
commerce,NNS,O
etc,IN,O
34,NN,O
section,IN,O
2viiif,DT,O
further,NN,O
expands,NN,O
the,FW,O
definition,CD,O
of,NN,O
dealer,CD,O
enabling,JJ,O
a,VBZ,O
far,DT,O
wider,NN,O
class,IN,O
of,NN,O
persons,VBG,O
to,DT,O
fall,RB,O
within,JJR,O
its,NN,O
ambit,IN,O
it,NNS,O
includes,TO,O
any,VB,O
person,IN,O
who,PRP$,O
transfers,NN,O
any,PRP,O
goods,VBZ,O
transfers,DT,O
property,NN,O
in,WP,O
goods,VBZ,O
involved,DT,O
in,NNS,O
the,NNS,O
execution,NN,O
of,IN,O
a,NNS,O
works,VBN,O
contract,IN,B-LEGAL
delivers,DT,O
any,NN,O
goods,IN,O
on,DT,O
hire,NNS,B-LEGAL
purchase,NN,I-LEGAL
or,VBZ,O
any,DT,O
system,NNS,O
of,IN,O
payment,NN,O
by,NN,O
installments,CC,O
transfers,DT,O
the,NN,O
right,IN,O
to,NN,O
use,IN,O
any,NNS,O
goods,NNS,O
for,DT,O
any,NN,O
purpose,TO,O
and,VB,O
lastly,DT,O
any,NNS,O
food,IN,O
or,DT,O
beverage,NN,O
supplier,CC,O
or,RB,O
service,DT,O
provider,NN,O
fit,CC,O
for,NN,O
human,NN,O
consumption,CC,O
the,NN,O
explanation,NN,O
1,NN,O
to,IN,O
sub,JJ,O
clause,NN,O
f,DT,O
includes,NN,O
a,CD,O
society,TO,O
club,VB,O
firm,NN,O
or,NN,O
an,VBZ,O
association,DT,B-LEGAL
or,NN,O
body,NN,O
of,NN,O
persons,CC,O
whether,DT,O
incorporated,NN,O
or,CC,O
not,NN,O
explanation,IN,O
2,NNS,O
includes,IN,O
the,VBN,O
central,CC,O
government,RB,O
state,JJ,O
government,CD,O
and,VBZ,O
any,DT,O
of,JJ,O
its,NN,O
apparatus,NN,O
within,NN,O
the,CC,O
scope,DT,O
of,IN,O
this,PRP$,O
section,NN,O
35,IN,O
therefore,DT,O
given,NN,O
the,IN,O
exceptionally,DT,O
wide,NN,O
scope,CD,O
of,RB,O
the,VBN,O
definition,DT,O
prima,RB,O
facie,JJ,O
it,NN,O
can,IN,O
be,DT,O
concluded,NN,O
that,NN,O
any,IN,O
person,PRP,O
or,MD,O
entity,VB,O
that,VBN,O
carries,IN,O
on,DT,O
any,NN,O
activity,CC,O
of,NN,O
selling,WDT,O
goods,VBZ,O
could,IN,O
be,DT,O
categorized,NN,O
as,IN,O
a,VBG,O
dealer,NNS,O
under,MD,O
the,VB,O
act,VBN,O
1963,IN,O
to,DT,O
test,NN,O
the,IN,O
aforesaid,DT,O
conclusion,NN,O
in,CD,O
the,TO,O
context,VB,O
of,DT,O
the,JJ,O
issue,NN,O
at,IN,O
hand,DT,O
we,NN,O
would,IN,O
delve,DT,O
into,NN,O
the,IN,O
interpretation,NN,O
ascribed,PRP,O
by,MD,O
this,VB,O
court,IN,O
to,DT,O
the,NN,O
term,VBN,O
dealer,IN,O
a,DT,O
careful,NN,O
reading,TO,O
of,DT,O
the,NN,O
definition,NN,O
of,DT,O
dealer,JJ,O
under,NN,O
the,IN,O
act,DT,O
1963,NN,O
would,IN,O
make,NN,O
it,IN,O
evident,DT,O
that,NN,O
the,CD,O
legislature,MD,O
intended,VB,O
to,PRP,O
provide,JJ,O
for,IN,O
an,DT,O
inclusive,NN,O
criterion,VBN,O
and,TO,O
broaden,VB,O
the,IN,O
ambit,DT,O
of,JJ,O
the,NN,O
said,CC,O
classification,VB,O
the,DT,O
legislature,NN,O
did,IN,O
not,DT,O
propose,VBD,O
to,NN,O
restrict,DT,O
the,NN,O
scope,VBD,O
of,RB,O
the,VB,O
term,TO,O
as,VB,O
perceived,DT,O
in,NN,O
common,IN,O
parlance,DT,O
36,NN,O
the,IN,O
definition,VBN,O
of,IN,O
a,JJ,O
dealer,NN,O
under,CD,O
various,DT,O
sales,NN,O
tax,IN,O
legislations,DT,O
has,NN,O
been,IN,O
given,JJ,O
a,NNS,O
wide,NN,O
import,NNS,O
by,VBZ,O
several,VBN,O
decisions,VBN,O
of,DT,O
this,JJ,O
court,NN,O
in,IN,O
chowringhee,JJ,O
sales,NNS,O
bureau,IN,O
p,DT,O
ltd,NN,O
v,IN,O
cit,NN,O
manu,NNS,O
sc,VBP,O
0323,JJ,O
1972manu,NN,O
sc,NN,O
0323,NN,O
1972,NN,O
1973,NN,O
1,CD,O
scc,CD,O
46,NN,O
inter,CD,O
alia,CD,O
a,CD,O
challenge,CD,O
was,NN,O
made,CD,O
to,NN,O
the,VBD,O
explanation,DT,O
to,NN,O
the,VBD,O
definition,VBN,O
of,TO,O
dealer,DT,O
under,NN,O
the,TO,O
bengal,DT,O
finance,NN,B-LEGAL
sales,IN,O
tax,NN,O
act,IN,O
1941,DT,O
on,JJ,O
the,NN,O
ground,NNS,O
that,NN,O
is,NN,O
sought,CD,O
to,IN,O
levy,DT,O
a,NN,O
tax,WDT,O
on,VBZ,O
a,VBN,O
person,TO,O
who,VB,O
is,DT,O
neither,NN,O
a,IN,O
seller,DT,O
nor,NN,O
a,WP,O
purchaser,VBZ,O
a,CC,O
three,DT,O
judge,NN,O
bench,CC,O
of,DT,O
this,NN,O
court,DT,O
rejecting,CD,O
the,NN,O
said,NN,O
challenge,IN,O
held,DT,O
that,NN,O
the,VBG,O
term,DT,O
dealer,VBD,O
would,NN,O
include,VBD,O
an,IN,O
auctioneer,DT,O
who,NN,O
carries,NN,O
on,MD,O
the,VB,O
business,DT,O
of,NN,O
selling,WP,O
and,VBZ,O
who,IN,O
has,DT,O
in,NN,O
the,IN,O
customary,NN,O
course,CC,O
of,WP,O
business,VBZ,O
authority,IN,B-LEGAL
to,DT,O
sell,JJ,O
goods,NN,O
belonging,IN,O
to,NN,O
the,NN,O
principal,TO,O
it,VB,O
was,NNS,O
further,VBG,O
observed,TO,O
that,DT,O
the,NN,O
given,PRP,O
explanation,VBD,O
sought,RBR,O
to,VBD,O
tax,IN,O
a,DT,O
transaction,VBN,O
of,NN,O
sale,VBD,O
of,TO,O
goods,NN,O
it,DT,O
was,NN,O
held,IN,O
that,NN,O
a,IN,O
statutory,NNS,O
provision,PRP,O
providing,VBD,O
for,VBN,O
a,IN,O
levy,DT,O
of,JJ,O
sales,NN,O
tax,VBG,O
on,IN,O
a,DT,O
person,NN,O
such,IN,O
as,NNS,O
an,NN,O
auctioneer,IN,O
would,DT,O
be,NN,O
permissible,JJ,O
if,IN,O
there,DT,O
is,NN,O
a,MD,O
close,VB,O
and,JJ,O
direct,IN,O
connection,EX,O
between,VBZ,O
the,DT,O
transaction,JJ,O
of,CC,O
sale,JJ,O
and,NN,O
the,IN,O
person,DT,O
made,NN,O
liable,IN,O
for,NN,O
the,CC,O
payment,DT,O
of,NN,O
sales,VBD,O
tax,JJ,O
37,IN,O
in,DT,O
state,NN,O
of,IN,O
up,NNS,O
v,NN,O
union,CD,O
of,IN,O
india,NN,O
manu,IN,O
sc,IN,O
0073,NNP,O
2003manu,NN,O
sc,IN,O
0073,JJ,O
2003,NN,O
2003,NN,O
3,CD,O
scc,CD,O
239,NN,O
this,CD,O
court,CD,O
held,CD,O
that,CD,O
the,NN,O
central,CD,O
government,DT,O
when,NN,O
involved,VBD,O
in,IN,O
the,DT,O
business,JJ,O
of,NN,O
buying,WRB,O
and,VBN,O
selling,IN,O
could,DT,O
be,NN,O
treated,IN,O
as,VBG,O
a,CC,O
dealer,NN,O
under,MD,O
the,VB,O
up,VBN,O
sales,IN,O
tax,DT,O
act,NN,O
1940,IN,O
the,DT,O
court,JJ,O
observed,NNS,O
as,NN,O
follows,NN,O
11,CD,O
it,DT,O
is,NN,O
thus,VBD,O
clear,IN,O
that,VBZ,O
in,CD,O
regard,PRP,O
to,VBZ,O
a,RB,O
transfer,JJ,O
of,IN,O
the,IN,O
right,NN,O
to,TO,O
use,DT,O
any,NN,O
goods,IN,O
both,DT,O
a,NN,O
person,TO,O
and,VB,O
a,DT,O
government,NNS,O
will,CC,O
be,DT,O
within,NN,O
the,CC,O
ambit,DT,O
of,NN,O
the,MD,O
definition,VB,O
of,IN,O
dealer,DT,O
subject,NN,O
to,IN,O
the,DT,O
following,NN,O
distinction,IN,O
a,NN,O
person,NN,O
to,TO,O
be,DT,O
a,JJ,O
dealer,NN,O
should,DT,O
carry,NN,O
on,TO,O
the,VB,O
business,DT,O
of,NN,O
buying,MD,O
selling,VB,O
etc,IN,O
whether,DT,O
regularly,NN,O
or,IN,O
otherwise,VBG,O
but,VBG,O
a,JJ,O
government,IN,O
which,RB,O
buys,CC,O
sells,RB,O
etc,CC,O
whether,DT,O
in,NN,O
the,WDT,O
course,VBZ,O
of,VBZ,O
business,FW,O
or,IN,O
otherwise,IN,O
will,DT,O
be,NN,O
a,IN,O
dealer,NN,O
for,CC,O
purposes,VB,O
of,MD,O
the,VB,O
up,DT,O
act,NN,O
inasmuch,IN,O
as,NNS,O
the,IN,O
definition,DT,O
of,NNP,O
sale,NN,O
includes,RB,O
any,IN,O
transfer,DT,O
of,NN,O
property,IN,O
in,NN,O
the,VBZ,O
goods,DT,O
and,NN,O
a,IN,O
transfer,NN,O
of,IN,O
the,DT,O
right,NNS,O
to,CC,O
use,DT,O
any,NN,O
goods,IN,O
for,DT,O
any,NN,O
purpose,TO,O
dot,VB,O
which,DT,O
engages,NNS,O
in,IN,O
transfer,DT,O
of,NN,O
right,NN,O
to,WDT,O
use,VBZ,O
any,IN,O
goods,NN,O
will,IN,O
be,NN,O
a,TO,O
dealer,VB,O
within,DT,O
the,NNS,O
meaning,MD,O
of,VB,O
sub,DT,O
clause,NN,O
iv,IN,O
of,DT,O
clause,NN,O
c,IN,O
of,NN,O
section,NN,O
2,NN,O
of,IN,O
the,NN,O
up,NN,O
act,IN,O
38,NN,O
in,CD,O
state,IN,O
of,DT,O
tn,NNP,O
v,NN,O
shakti,CD,O
estates,IN,O
manu,NN,O
sc,IN,O
0562,NN,O
1989manu,NN,O
sc,NN,O
0562,VBZ,O
1989,RB,O
1989,JJ,O
1,CD,O
scc,CD,O
636,NN,O
this,CD,O
court,CD,O
while,CD,O
ascertaining,CD,O
whether,NN,O
the,CD,O
assessee,DT,O
could,NN,O
be,IN,O
treated,VBG,O
as,IN,O
a,DT,O
dealer,NN,O
gave,MD,O
a,VB,O
wide,VBN,O
import,IN,O
to,DT,O
the,NN,O
term,VBD,O
under,DT,O
the,JJ,O
tamil,NN,O
nadu,TO,O
general,DT,O
sales,NN,O
tax,IN,O
act,DT,O
1959,NN,O
the,JJ,O
court,JJ,O
observed,NNS,O
as,NN,O
follows,NN,O
10,CD,O
moreover,DT,O
we,NN,O
have,VBD,O
also,IN,O
to,VBZ,O
give,CD,O
full,NN,O
effect,PRP,O
to,VBP,O
the,RB,O
definitions,TO,O
in,VB,O
the,JJ,O
statute,NN,O
we,TO,O
are,DT,O
concerned,NNS,O
with,IN,O
the,DT,O
definition,NN,O
of,PRP,O
a,VBP,O
business,VBN,O
also,IN,O
includes,DT,O
any,NN,O
transaction,IN,O
in,DT,O
connection,NN,O
with,RB,O
or,VBZ,O
incidental,DT,O
to,NN,O
or,IN,O
ancillary,NN,O
to,IN,O
a,CC,O
trade,JJ,O
and,TO,O
thus,CC,O
even,JJ,O
on,TO,O
the,DT,O
assessees,NN,O
own,CC,O
arguments,RB,O
these,RB,O
activities,IN,O
were,DT,O
incidental,NNS,O
and,JJ,O
ancillary,NNS,O
to,DT,O
the,NNS,O
business,VBD,O
which,JJ,O
the,CC,O
assessee,JJ,O
was,TO,O
carrying,DT,O
on,NN,O
or,WDT,O
definitely,DT,O
intended,NN,O
to,VBD,O
carry,VBG,O
on,IN,O
it,CC,O
is,RB,O
also,VBN,O
immaterial,TO,O
on,VB,O
this,IN,O
definition,PRP,O
that,VBZ,O
the,RB,O
assessees,JJ,O
may,IN,O
not,DT,O
have,NN,O
had,IN,O
a,DT,O
motive,NNS,O
of,MD,O
making,RB,O
a,VB,O
profit,VBD,O
or,DT,O
gain,NN,O
on,IN,O
these,VBG,O
sales,DT,O
though,NN,O
on,CC,O
the,VB,O
facts,IN,O
it,DT,O
is,NNS,O
clear,IN,O
that,IN,O
such,DT,O
motive,NNS,O
must,PRP,O
have,VBZ,O
existed,JJ,O
and,IN,O
in,JJ,O
any,JJ,O
event,MD,O
could,VB,O
not,VBN,O
be,CC,O
ruled,IN,O
out,DT,O
the,NN,O
reference,MD,O
to,RB,O
a,VB,O
casual,VBN,O
dealer,RP,O
in,DT,O
the,NN,O
second,TO,O
definition,DT,O
also,JJ,O
renders,NN,O
it,IN,O
immaterial,DT,O
that,JJ,O
the,NN,O
assessees,RB,O
may,VBZ,O
not,PRP,O
have,JJ,O
intended,IN,O
to,DT,O
be,NNS,O
regular,MD,O
dealers,RB,O
in,VB,O
sleepers,VBN,O
timber,TO,O
firewood,VB,O
or,JJ,O
charcoal,NNS,O
but,IN,O
that,NNS,O
this,VBP,O
was,NN,O
something,CC,O
casual,NN,O
or,CC,O
incidental,IN,O
to,DT,O
the,VBD,O
acquisition,NN,O
and,JJ,O
exploitation,CC,O
of,JJ,O
a,TO,O
forest,DT,O
for,NN,O
running,CC,O
a,NN,O
plantation,IN,O
39,DT,O
in,NN,O
state,IN,O
of,VBG,O
tn,DT,O
v,NN,O
mk,CD,O
kandaswami,IN,O
manu,NN,O
sc,IN,O
0455,NN,O
1975manu,NN,O
sc,NN,O
0455,NN,O
1975,NN,O
1975,NN,O
4,CD,O
scc,CD,O
745,NN,O
this,CD,O
court,CD,O
while,CD,O
determining,CD,O
the,NN,O
interpretation,CD,O
of,DT,O
the,NN,O
term,IN,O
dealer,VBG,O
under,DT,O
the,NN,O
madras,IN,O
general,DT,O
sales,NN,O
tax,NN,O
act,IN,O
1959,DT,O
gave,JJ,O
a,JJ,O
broad,NNS,O
interpretation,NN,O
to,NN,O
include,CD,O
a,VBD,O
person,DT,O
who,JJ,O
not,NN,O
only,TO,O
carries,VB,O
on,DT,O
business,NN,O
of,WP,O
selling,RB,O
supplying,RB,O
or,VBZ,O
distributing,IN,O
goods,NN,O
but,IN,O
also,VBG,O
the,NN,O
one,CC,O
who,VBG,O
carries,NNS,O
on,CC,O
the,RB,O
business,DT,O
of,NN,O
buying,WP,O
only,VBZ,O
40,IN,O
in,DT,O
karya,NN,O
palak,IN,O
engineer,VBG,O
cpwd,RB,O
v,CD,O
rajasthan,IN,O
taxation,NN,O
board,NN,O
manu,NN,O
sc,NN,O
0624,NN,O
2004manu,NN,O
sc,NN,O
0624,NN,O
2004,NN,O
2004,NN,O
7,CD,O
scc,CD,O
195,NN,O
this,CD,O
court,CD,O
held,CD,O
that,CD,O
a,NN,O
contractor,CD,O
despite,DT,O
not,NN,O
being,VBD,O
the,IN,O
owner,DT,O
but,NN,O
merely,IN,O
the,RB,O
custodian,VBG,O
of,DT,O
the,NN,O
goods,CC,O
as,RB,O
a,DT,O
dealer,NN,O
under,IN,O
the,DT,O
rajasthan,NNS,O
sales,IN,O
tax,DT,O
act,NN,O
1994,IN,O
41,DT,O
in,NN,O
state,NNS,O
of,NN,O
orissa,NN,O
v,CD,O
titaghur,CD,O
paper,IN,O
mills,NN,O
co,IN,O
ltd,NN,O
manu,NN,O
sc,JJ,O
0325,NN,O
1985manu,NNS,O
sc,VBP,O
0325,JJ,O
1985,NN,O
1985,NN,O
supp,CD,O
scc,CD,O
280,NN,O
while,CD,O
ascertaining,CD,O
whether,CD,O
the,NN,O
central,VBD,O
government,CD,O
or,IN,O
its,VBG,O
agents,IN,O
could,DT,O
be,JJ,O
treated,NN,O
as,CC,O
be,PRP$,O
dealer,NNS,O
this,MD,O
court,VB,O
observed,VBN,O
as,IN,O
follows,VB,O
26,NN,O
what,DT,O
is,NN,O
pertinent,VBD,O
to,IN,O
note,VBZ,O
about,CD,O
the,WP,O
new,VBZ,O
definition,JJ,O
of,TO,O
dealer,VB,O
is,IN,O
that,DT,O
in,JJ,O
the,NN,O
case,IN,O
of,NN,O
the,VBZ,O
central,IN,O
government,IN,O
a,DT,O
state,NN,O
government,IN,O
or,DT,O
any,JJ,O
of,NN,O
their,DT,O
employees,NN,O
acting,NN,O
in,CC,O
official,DT,O
capacity,IN,O
on,PRP$,O
behalf,NNS,O
of,VBG,O
such,IN,O
government,JJ,O
it,NN,O
is,IN,O
not,NN,O
necessary,IN,O
that,JJ,O
the,NN,O
purchase,PRP,O
sale,VBZ,O
supply,RB,O
or,JJ,O
distribution,IN,O
of,DT,O
goods,NN,O
should,NN,O
be,NN,O
in,CC,O
the,NN,O
course,IN,O
of,NNS,O
business,MD,O
while,VB,O
in,IN,O
all,DT,O
other,NN,O
cases,IN,O
for,NN,O
a,IN,O
person,IN,O
to,DT,O
be,JJ,O
a,NNS,O
dealer,IN,O
he,DT,O
must,NN,O
be,TO,O
carrying,VB,O
on,DT,O
the,NN,O
business,PRP,O
of,MD,O
purchasing,VB,O
selling,VBG,O
supplying,IN,O
or,DT,O
distributing,NN,O
goods,IN,O
42,VBG,O
in,VBG,O
food,NN,O
corporation,CC,O
of,VBG,O
india,NNS,O
v,CD,O
state,IN,O
of,NN,O
kerala,NN,O
manu,IN,O
sc,NN,O
0282,NN,O
1997manu,NN,O
sc,IN,O
0282,NN,O
1997,NN,O
1997,NN,O
3,CD,O
scc,CD,O
410,NN,O
this,CD,O
court,CD,O
was,CD,O
ascertaining,CD,O
whether,NN,O
the,CD,O
procurement,DT,O
of,NN,O
food,VBD,O
grains,VBG,O
by,IN,O
the,DT,O
food,NN,O
corporation,IN,O
of,NN,O
india,NNS,O
pursuant,IN,O
to,DT,O
levy,NN,O
orders,NN,O
could,IN,O
amount,NN,O
to,NN,O
sale,TO,O
or,VB,O
purchase,NNS,O
to,MD,O
incur,VB,O
sales,TO,O
purchase,NN,O
tax,CC,O
liability,NN,O
as,TO,O
levied,VB,O
by,NNS,O
the,VB,O
states,NN,O
this,NN,O
court,IN,O
held,VBN,O
that,IN,O
since,DT,O
there,NNS,O
was,DT,O
no,NN,O
statutory,VBD,O
compulsion,IN,O
in,IN,O
the,EX,O
matter,VBD,O
of,DT,O
sale,JJ,O
or,NN,O
purchase,IN,O
of,DT,O
fertilizers,NN,O
and,IN,O
parties,NN,O
had,CC,O
the,NN,O
discretion,IN,O
to,NNS,O
enter,CC,O
into,NNS,O
consensual,VBD,O
contractual,DT,O
agreements,NN,O
subject,TO,O
minimal,VB,O
restrictions,IN,O
such,JJ,O
as,JJ,O
price,NNS,O
fixation,JJ,O
quota,JJ,O
requirements,NNS,O
etc,JJ,O
there,IN,O
is,NN,O
no,NN,O
hesitation,NN,O
in,NNS,O
holding,VBP,O
that,EX,O
the,VBZ,O
activity,DT,O
of,NN,O
distribution,IN,O
of,VBG,O
fertilizers,IN,O
pursuant,DT,O
to,NN,O
levy,IN,O
orders,NN,O
would,IN,O
amount,NNS,O
to,VBP,O
sale,TO,O
which,VB,O
is,NNS,O
eligible,MD,O
to,VB,O
incur,TO,O
tax,NN,O
liability,WDT,O
this,VBZ,O
court,JJ,O
stated,TO,O
that,VB,O
supply,NN,O
or,NN,O
distribution,DT,O
of,NN,O
goods,VBD,O
need,IN,O
not,NN,O
be,CC,O
in,NN,O
course,IN,O
of,NNS,O
business,MD,O
to,RB,O
be,VB,O
considered,IN,O
a,NN,O
sale,IN,O
43,NN,O
thus,TO,O
on,VB,O
perusal,VBN,O
of,DT,O
the,NN,O
aforesaid,CD,O
decisions,RB,O
of,IN,O
this,NN,O
court,IN,O
we,DT,O
are,JJ,O
of,NNS,O
the,IN,O
view,DT,O
that,NN,O
the,PRP,O
definition,VBP,O
of,IN,O
dealer,DT,O
under,NN,O
various,IN,O
sales,DT,O
tax,NN,O
legislations,IN,O
has,NN,O
been,IN,O
given,JJ,O
a,NNS,O
broad,NN,O
and,NNS,O
inclusive,VBZ,O
interpretation,VBN,O
it,VBN,O
would,DT,O
be,JJ,O
gainsaid,CC,O
to,JJ,O
state,NN,O
that,PRP,O
such,MD,O
a,VB,O
broad,VBN,O
and,TO,O
expansive,NN,O
interpretation,IN,O
is,PDT,O
in,DT,O
consonance,JJ,O
with,CC,O
what,JJ,O
the,NN,O
legislature,VBZ,O
intended,IN,O
with,NN,O
regard,IN,O
to,WP,O
imposing,DT,O
sales,NN,O
tax,VBN,O
liability,IN,O
on,NN,O
all,TO,O
transactions,VBG,O
of,NNS,O
sale,NN,O
of,NN,O
goods,IN,O
therefore,DT,O
it,NNS,O
can,IN,O
be,NN,O
concluded,IN,O
that,NNS,O
the,IN,O
definition,PRP,O
of,MD,O
a,VB,O
dealer,VBN,O
under,IN,O
the,DT,O
act,NN,O
1963,IN,O
would,DT,O
include,NN,O
persons,IN,O
if,DT,O
they,NN,O
are,CD,O
involved,MD,O
in,VB,O
carrying,NNS,O
on,IN,O
any,PRP,O
business,VBP,O
or,VBN,O
trading,IN,O
activity,VBG,O
such,IN,O
as,DT,O
the,NN,O
sale,CC,O
of,NN,O
machinery,NN,O
as,JJ,O
in,IN,O
the,DT,O
present,NN,O
case,IN,O
therefore,NN,O
as,IN,O
a,IN,O
necessary,DT,O
sequitur,JJ,O
the,NN,O
company,RB,B-LEGAL
in,IN,O
liquidation,DT,O
whose,JJ,O
assets,NN,O
are,DT,O
sold,NN,O
by,IN,O
way,NN,O
of,WP$,O
an,NNS,O
auction,VBP,O
would,VBN,O
be,IN,O
a,NN,O
dealer,IN,O
under,DT,O
