rk,NN,O 
of,IN,O
these,DT,O
states,NNS,O
are,NN,O
printed,NN,O
in,CD,O
the,IN,O
stationery,DT,O
of,NNS,O
the,IN,O
sole,DT,O
selling,NNS,O
agent,VBP,O
c,VBN,O
the,IN,O
draws,DT,O
are,NN,O
conducted,IN,O
in,DT,O
such,JJ,O
a,NN,O
manner,NN,O
that,VBD,O
the,DT,O
transparency,NNS,O
and,VBP,O
credibility,VBN,O
of,IN,O
the,JJ,O
draw,DT,O
process,NN,O
is,IN,O
not,DT,O
at,NN,O
all,CC,O
established,NN,O
according,IN,O
to,DT,O
meghalaya,NN,O
rules,NN,O
the,VBZ,O
presence,RB,O
of,IN,O
one,DT,O
judge,VBN,O
shall,VBG,O
form,TO,O
the,NN,O
quorum,NNS,B-LEGAL
d,DT,O
the,NN,O
draws,IN,O
are,CD,O
conducted,NN,O
daily,MD,O
in,VB,O
a,DT,O
severe,NN,O
gambling,VBZ,O
fashion,DT,O
and,NN,O
in,VBP,O
violation,VBN,O
of,RB,O
section,IN,O
4h,DT,O
and,JJ,O
prizes,VBG,O
are,NN,O
offered,CC,O
on,IN,O
the,NN,O
basis,IN,O
of,NN,O
a,CD,O
single,CC,O
digit,NNS,O
violating,VBP,O
section,VBN,O
4a,IN,O
of,DT,O
the,NN,O
act,IN,O
e,DT,O
there,JJ,O
are,NN,O
clear,VBG,O
similarities,NN,O
in,CD,O
the,IN,O
name,DT,O
of,NN,O
different,NN,O
lotteries,EX,O
and,VBP,O
they,JJ,O
follow,NNS,O
the,IN,O
same,DT,O
prize,NN,O
pattern,IN,O
obviously,JJ,O
making,NNS,O
an,CC,O
attempt,PRP,O
to,VBP,O
circumvent,DT,O
section,JJ,O
4h,NN,O
it,NN,O
is,RB,O
then,VBG,O
pleaded,DT,O
that,NN,O
in,TO,O
practice,VB,O
the,NN,O
so,CD,O
called,PRP,O
online,VBZ,O
lotteries,RB,O
mislead,VBD,O
the,IN,O
general,IN,O
public,NN,O
by,DT,O
its,RB,O
mesmeric,JJ,O
gambling,NN,O
instinct,NNS,O
inherent,VBP,O
in,DT,O
it,JJ,O
people,NN,O
are,IN,O
attracted,PRP$,O
to,JJ,O
the,NN,O
modern,JJ,O
technology,NN,O
used,IN,O
in,PRP,O
these,NNS,O
lotteries,VBP,O
and,VBN,O
the,TO,O
instantaneous,DT,O
nature,JJ,O
of,NN,O
it,VBN,O
they,IN,O
spend,DT,O
all,NNS,O
their,CC,O
time,DT,O
in,JJ,O
front,NN,O
of,IN,O
the,PRP,O
online,PRP,O
outlets,VBP,O
and,DT,O
spoil,PRP$,O
all,NN,O
their,IN,O
money,NN,O
they,IN,O
are,DT,O
being,JJ,O
trapped,NNS,O
by,CC,O
the,VB,O
simple,DT,O
prizes,PRP$,O
they,NN,O
get,PRP,O
and,VBP,O
they,VBG,O
invest,VBN,O
the,IN,O
remaining,DT,O
part,JJ,O
of,NNS,O
their,PRP,O
money,VBP,O
in,CC,O
a,PRP,O
hope,VBP,O
to,DT,O
get,VBG,O
more,NN,O
and,IN,O
more,PRP$,O
big,NN,O
prizes,IN,O
this,DT,O
is,NN,O
a,TO,O
continuous,VB,O
process,JJR,O
starting,CC,O
from,JJR,O
early,JJ,O
in,NNS,O
the,DT,O
morning,VBZ,O
and,DT,O
extends,JJ,O
too,NN,O
late,VBG,O
in,IN,O
the,RB,O
night,IN,O
the,DT,O
lotteries,NN,O
conducted,CC,O
by,VBZ,O
these,RB,O
online,JJ,O
companies,IN,O
have,DT,O
draws,NN,O
in,DT,O
every,NNS,O
15,VBN,O
minutes,IN,O
technically,DT,O
they,NN,O
call,NNS,O
it,VBP,O
weekly,VBN,O
lotteries,IN,O
in,DT,O
order,CD,O
to,NNS,O
circumvent,RB,O
the,PRP,O
objectives,VBP,O
of,PRP,O
the,JJ,O
act,NNS,O
but,IN,O
in,NN,O
result,TO,O
they,VB,O
are,DT,O
ridiculously,NNS,O
setting,IN,O
aside,DT,O
the,NN,O
spirit,CC,O
of,IN,O
the,NN,O
act,PRP,O
as,VBP,O
a,RB,O
technical,VBG,O
argument,RP,O
each,DT,O
lottery,NN,O
has,IN,O
only,DT,O
one,NN,O
draw,IN,O
in,DT,O
a,JJ,O
week,NN,O
the,DT,O
draw,NN,O
of,VBZ,O
one,RB,O
lottery,CD,O
repeats,NN,O
only,IN,O
in,DT,O
the,NN,O
next,DT,O
week,NN,O
but,IN,O
the,CD,O
tactics,NN,O
followed,VBZ,O
by,RB,O
these,IN,O
states,DT,O
is,JJ,O
that,NN,O
they,CC,O
are,DT,O
conducting,NNS,O
more,VBN,O
than,IN,O
100,DT,O
lotteries,NNS,O
with,VBZ,O
very,IN,O
strange,PRP,O
names,VBP,O
and,VBG,O
by,JJR,O
assigning,IN,O
pseudonyms,CD,O
the,NNS,O
online,IN,O
lotteries,RB,O
running,JJ,O
in,NNS,O
kerala,CC,O
were,IN,O
in,VBG,O
flagrant,PDT,O
violation,DT,O
of,JJ,O
the,NNS,O
provisions,VBG,O
of,IN,O
the,NN,O
act,VBD,O
and,IN,O
this,JJ,O
fact,NN,O
was,IN,O
detected,DT,O
by,NNS,O
the,IN,O
state,DT,O
of,NN,O
kerala,CC,O
the,DT,O
state,NN,O
of,VBD,O
kerala,VBN,O
has,IN,O
made,DT,O
known,NN,O
this,IN,O
fact,NN,O
to,DT,O
the,NN,O
union,IN,O
government,NN,O
twice,VBZ,O
the,VBN,O
findings,VBN,O
of,DT,O
the,NN,O
government,TO,O
of,DT,O
kerala,NN,O
revealed,NN,O
that,RB,O
the,DT,O
other,NNS,O
states,IN,O
on,DT,O
whose,NN,O
behalf,IN,O
the,NN,O
lotteries,VBD,O
are,IN,O
being,DT,O
conducted,JJ,O
in,NNS,O
kerala,IN,O
have,WP$,O
least,NN,O
control,DT,O
over,NNS,O
them,VBP,O
and,VBG,O
major,VBN,O
source,IN,O
of,NNS,O
income,VBP,O
from,VBN,O
these,NN,O
gambling,IN,O
type,PRP,O
of,CC,O
lotteries,JJ,O
siphoned,NN,O
by,IN,O
the,NN,O
so,IN,O
called,DT,O
middlemen,VBG,O
who,NN,O
acts,IN,O
in,NNS,O
the,VBN,O
name,IN,O
of,DT,O
sole,RB,O
selling,JJ,O
agents,NNS,O
similarly,WP,O
the,VBZ,O
states,IN,O
of,DT,O
karnataka,NN,O
and,IN,O
arunachal,JJ,O
pradesh,NN,O
have,NNS,O
stopped,RB,O
the,DT,O
sale,NNS,O
of,IN,O
online,NN,O
lotteries,CC,O
as,JJ,O
they,NNS,O
have,VBP,O
admitted,VBN,O
the,DT,O
violations,NN,O
pointed,IN,O
out,JJ,O
by,NNS,O
the,IN,O
state,PRP,O
of,VBP,O
kerala,VBN,O
online,DT,O
lotteries,NNS,O
are,VBD,O
being,RP,O
conducted,IN,O
under,DT,O
the,NN,O
name,IN,O
of,NN,O
other,NN,O
state,NNS,O
governments,VBP,O
circumventing,VBG,O
the,VBN,O
provisions,IN,O
of,DT,O
the,NN,O
act,IN,O
and,JJ,O
also,NN,O
the,NNS,O
single,VBG,O
digit,DT,O
lotteries,NNS,O
through,IN,O
dubious,DT,O
methods,NN,O
adopted,CC,O
by,RB,O
their,DT,O
distributors,JJ,O
and,NN,O
agents,NNS,O
in,IN,O
some,JJ,O
cases,NNS,O
some,VBN,O
lotteries,IN,O
except,PRP$,O
one,NNS,O
digit,CC,O
all,NNS,O
other,IN,O
digits,DT,O
will,NNS,O
be,DT,O
pre,NNS,O
fixed,IN,O
and,CD,O
the,NN,O
buyer,DT,O
has,JJ,O
to,NNS,O
choose,MD,O
only,VB,O
a,JJ,O
single,VBN,O
digit,CC,O
in,DT,O
some,NN,O
other,VBZ,O
cases,TO,O
one,VB,O
digit,RB,O
of,DT,O
two,JJ,O
digit,NN,O
number,IN,O
or,DT,O
of,JJ,O
three,NNS,O
digit,CD,O
number,NN,O
will,IN,O
be,CD,O
changing,JJ,O
continuously,NN,O
but,CC,O
in,IN,O
a,CD,O
pre,JJ,O
determined,NN,O
cyclic,MD,O
manner,VB,O
which,VBG,O
shows,RB,O
that,CC,O
the,IN,O
draw,DT,O
is,NN,O
held,VBN,O
only,JJ,O
for,NN,O
one,WDT,O
digit,VBZ,O
it,IN,O
was,DT,O
detected,NN,O
from,VBZ,O
the,VBN,O
lottery,RB,O
terminals,IN,O
that,CD,O
the,NN,O
tickets,PRP,O
of,VBD,O
states,VBN,O
of,IN,O
meghalaya,DT,O
and,NN,O
nagaland,NNS,O
are,IN,O
being,DT,O
printed,NNS,O
one,IN,O
after,NNS,O
another,IN,O
from,NN,O
the,CC,O
same,NN,O
terminal,VBP,O
and,VBG,O
the,VBN,O
same,CD,O
pool,IN,O
in,DT,O
an,IN,O
unbroken,DT,O
manner,JJ,O
several,NN,O
tickets,CC,O
without,DT,O
the,JJ,O
imprint,NN,O
and,IN,O
logo,DT,O
of,JJ,O
other,NN,O
state,JJ,O
governments,NNS,O
and,IN,O
even,DT,O
without,NN,O
signature,CC,O
of,NN,O
the,IN,O
authorized,JJ,O
officer,NN,O
of,NNS,O
those,CC,O
states,RB,O
have,IN,O
been,NN,O
found,IN,O
being,DT,O
sold,JJ,O
in,NN,O
the,IN,O
state,DT,O
of,NNS,O
kerala,VBP,O
standard,VBN,O
set,VBN,O
of,VBG,O
rules,VBN,O
are,IN,O
printed,DT,O
on,NN,O
the,IN,O
reverse,JJ,O
side,NN,O
of,NN,O
the,IN,O
stationery,NNS,O
and,VBP,O
tickets,VBN,O
of,IN,O
more,DT,O
than,JJ,O
one,NN,O
states,IN,O
are,DT,O
being,NN,O
printed,CC,O
on,NNS,O
the,IN,O
same,JJR,O
material,IN,O
by,CD,O
the,NNS,O
same,VBP,O
terminal,VBG,O
in,VBN,O
unbroken,IN,O
strips,DT,O
the,JJ,O
proceeds,NN,O
of,IN,O
the,DT,O
sale,JJ,O
of,NN,O
online,IN,O
lotteries,JJ,O
are,NNS,O
rather,DT,O
shared,NNS,O
by,IN,O
the,DT,O
distributors,NN,O
and,IN,O
agents,JJ,O
without,NNS,O
crediting,VBP,O
in,RB,O
the,VBN,O
public,IN,B-LEGAL
account,DT,I-LEGAL
of,NNS,O
the,CC,O
respective,NNS,O
states,IN,O
in,VBG,O
violation,IN,O
of,DT,O
the,JJ,O
provisions,NN,O
of,IN,O
the,DT,O
act,JJ,O
the,NNS,O
details,IN,O
of,NN,O
unclaimed,IN,O
money,DT,O
are,NNS,O
not,IN,O
brought,DT,O
to,NN,O
the,DT,O
knowledge,NNS,O
of,IN,O
the,JJ,O
other,NN,O
state,VBP,O
governments,RB,O
whereas,VBN,O
the,TO,O
unclaimed,DT,O
prize,NN,O
money,IN,O
is,DT,O
being,JJ,O
appropriated,NN,O
by,NNS,O
the,VBP,O
distributors,DT,O
and,JJ,O
agents,NN,O
the,NN,O
place,VBZ,O
of,VBG,O
draw,VBN,O
is,IN,O
not,DT,O
at,NNS,O
all,CC,O
located,NNS,O
within,DT,O
the,NN,O
other,IN,O
states,NN,O
whereas,VBZ,O
the,RB,O
same,IN,O
is,DT,O
being,VBN,O
conducted,IN,O
according,DT,O
to,JJ,O
the,NNS,O
convenience,IN,O
of,DT,O
the,JJ,O
distributors,VBZ,O
the,VBG,O
lottery,VBN,O
distributors,VBG,O
and,TO,O
agents,DT,O
of,NN,O
other,IN,O
state,DT,O
governments,NNS,O
are,DT,O
resorting,NN,O
to,NNS,O
such,CC,O
unscrupulous,NNS,O
methods,IN,O
and,JJ,O
conducting,NN,O
online,NNS,O
lotteries,VBP,O
in,VBG,O
every,TO,O
15,JJ,O
minutes,JJ,O
from,NNS,O
the,CC,O
lottery,VBG,O
terminals,JJ,O
the,NNS,O
lottery,IN,O
department,DT,O
of,CD,O
the,NNS,O
state,IN,O
had,DT,O
detected,NN,O
the,VBZ,O
draws,DT,O
being,NN,O
conducted,NN,O
in,IN,O
lottery,DT,O
outlets,NN,O
for,VBD,O
more,VBN,O
than,DT,O
49,NN,O
draws,VBG,O
in,VBN,O
a,IN,O
day,JJ,O
22,NNS,O
the,IN,O
provisions,JJR,O
in,IN,O
respect,CD,O
of,NNS,O
sikkim,IN,O
state,DT,O
lotteries,NN,O
was,CD,O
reported,DT,O
to,NNS,O
the,IN,O
ministry,NN,O
of,IN,O
home,JJ,O
affairs,NN,O
government,NNS,O
of,VBD,O
india,VBN,O
on,TO,O
12012004,DT,O
the,NN,O
scheme,IN,O
of,NN,O
lotteries,NNS,O
furnished,NN,O
by,IN,O
the,NN,O
government,IN,O
of,CD,O
sikkim,DT,O
revealed,NN,O
that,IN,O
they,NNS,O
were,VBN,O
not,IN,O
in,DT,O
conformity,NN,O
with,IN,O
the,NN,O
provisions,VBD,O
of,IN,O
section,PRP,O
4,VBD,O
of,RB,O
the,IN,O
act,NN,O
the,IN,O
irregularities,DT,B-LEGAL
violations,NNS,O
in,IN,O
respect,NN,O
of,CD,O
the,IN,O
sikkim,DT,O
lotteries,NN,O
being,DT,O
sold,NNS,O
in,NNS,O
kerala,IN,O
in,NN,O
the,IN,O
year,DT,O
2004,NN,O
were,NNS,O
brought,VBG,O
to,VBN,O
the,IN,O
notice,NN,O
of,IN,O
the,DT,O
state,NN,O
government,CD,O
earlier,VBD,O
with,VBN,O
a,TO,O
request,DT,O
for,NN,O
further,IN,O
documents,DT,O
clarifications,NN,O
some,NN,O
of,RBR,O
these,IN,O
violations,DT,O
irregularities,NN,B-LEGAL
are,IN,O
briefly,JJ,O
mentioned,NNS,O
below,NNS,O
i,DT,O
on,IN,O
a,DT,O
perusal,NNS,O
of,NNS,O
the,VBP,O
agreement,JJ,O
between,VBN,O
the,IN,O
government,NN,O
of,IN,O
sikkim,DT,O
and,NN,O
m,IN,O
s,DT,O
tashi,NN,O
delek,IN,O
gaming,DT,O
solutions,NN,O
pvt,IN,O
ltd,NN,O
the,CC,O
marketing,NN,O
agent,NN,O
it,NN,O
is,NN,O
seen,VBG,O
that,NNS,O
the,VBP,O
agreement,VBZ,O
with,DT,O
the,NN,O
marketing,NN,O
agent,PRP,O
is,VBZ,O
executed,VBN,O
seven,IN,O
days,DT,O
before,NN,O
the,IN,O
sikkim,DT,O
online,NN,O
network,NN,O
lottery,VBZ,O
rules,VBN,O
came,CD,O
into,NNS,O
effect,IN,O
ii,DT,O
the,NN,O
marketing,NN,O
agent,NN,O
is,NN,O
vested,NNS,O
with,VBD,O
powers,IN,O
more,NN,O
than,VBP,O
what,DT,O
the,NN,O
lottery,NN,O
regulation,VBZ,B-LEGAL
act,VBN,O
permits,IN,O
the,NNS,O
state,JJR,O
of,IN,O
sikkim,WP,O
was,DT,O
asked,NN,O
to,NN,O
offer,NN,O
specific,VBZ,O
remarks,DT,O
on,NN,O
this,IN,O
iii,NN,O
since,VBD,O
a,VBN,O
detailed,TO,O
description,VB,O
of,JJ,O
the,NNS,O
method,IN,O
of,DT,O
draw,NN,O
was,IN,O
not,DT,O
furnished,JJ,O
by,NN,O
the,IN,O
state,DT,O
of,NN,O
sikkim,IN,O
the,NN,O
same,VBD,O
was,RB,O
called,VBN,O
for,IN,O
from,DT,O
this,NN,O
office,IN,O
iv,NN,O
as,DT,O
per,JJ,O
rule,VBD,O
12,VBN,O
of,IN,O
the,IN,O
sikkim,DT,O
online,NN,O
network,NN,O
lottery,IN,O
rules,IN,O
2001,NN,O
the,CD,O
tickets,IN,O
will,DT,O
be,NN,O
printed,NN,O
on,NN,O
pre,NN,O
printed,NNS,O
ticket,CD,O
material,DT,O
on,NNS,O
perusal,MD,O
of,VB,O
the,VBN,O
tickets,IN,O
of,NN,O
super,VBN,O
lotto,NN,O
and,NN,O
thunder,IN,O
ball,NN,O
it,IN,O
is,DT,O
seen,NNS,O
that,IN,O
the,JJ,O
specimen,NN,O
play,CC,O
slips,NN,O
furnished,NN,O
by,PRP,O
the,VBZ,O
director,VBN,O
of,IN,O
lotteries,DT,O
sikkim,NNS,O
bear,VBP,O
the,NNS,O
imprint,VBN,O
and,IN,O
logo,DT,O
of,NN,O
playwin,IN,O
this,NNS,O
shows,VBP,O
that,IN,O
the,DT,O
tickets,NN,O
are,CC,O
instantly,NN,O
printed,IN,O
at,NN,O
the,DT,O
retail,VBZ,O
computer,IN,O
terminal,DT,O
violating,NNS,O
section,VBP,O
4b,RB,O
of,VBN,O
the,IN,O
lotteries,DT,O
regulation,JJ,B-LEGAL
act,NN,O
1998,NN,O
v,VBG,O
the,NN,O
contractual,CD,O
agreement,IN,O
between,DT,O
the,NNS,O
play,NN,O
win,NN,O
sub,CD,O
agent,IN,O
and,DT,O
the,JJ,O
distributors,NN,O
was,IN,O
not,DT,O
furnished,NN,O
so,VBP,O
also,JJ,O
the,NN,O
names,CC,O
of,DT,O
distributors,NNS,O
for,VBD,O
certain,RB,O
districts,VBN,O
in,RB,O
kerala,RB,O
were,DT,O
not,NNS,O
furnished,IN,O
vi,NNS,O
the,IN,O
government,JJ,O
has,NNS,O
furnished,IN,O
the,NN,O
details,VBD,O
of,RB,O
926,VBN,O
retail,IN,O
outlets,DT,O
operating,NN,O
in,VBZ,O
the,VBN,O
state,DT,O
but,NNS,O
the,IN,O
contractual,CD,O
agreement,JJ,O
between,NNS,O
the,VBG,O
distributor,IN,O
and,DT,O
these,NN,O
retail,CC,O
outlets,DT,O
were,JJ,O
not,NN,O
submitted,IN,O
vii,DT,O
the,NN,O
marketing,CC,O
agent,DT,O
under,JJ,O
the,NNS,O
sikkim,VBD,O
state,RB,O
lotteries,VBN,O
is,IN,O
empowered,DT,O
to,NN,O
set,NN,O
up,IN,O
the,DT,O
required,NN,O
infrastructure,NN,O
and,NNS,O
use,VBZ,O
of,VBN,O
technology,TO,O
for,VB,O
the,RP,O
draw,DT,O
purpose,JJ,O
it,NN,O
is,CC,O
clearly,NN,O
more,IN,O
than,NN,O
what,IN,O
is,DT,O
statutorily,NN,O
permissible,NN,O
under,PRP,O
section,VBZ,O
4c,RB,O
of,JJR,O
the,IN,O
act,WP,O
viii,VBZ,O
as,RB,O
per,JJ,O
section,IN,O
4e,NN,O
of,CD,O
the,IN,O
central,DT,O
act,NN,O
the,NN,O
state,IN,O
government,IN,O
itself,NN,O
shall,CD,O
conduct,IN,O
the,DT,O
draws,JJ,O
of,NN,O
all,DT,O
the,NN,O
lotteries,NN,O
but,PRP,O
actual,MD,O
conduct,VB,O
of,DT,O
the,NN,O
draws,IN,O
is,PDT,O
done,DT,O
by,NNS,O
the,CC,O
marketing,JJ,O
agent,NN,O
reducing,IN,O
the,DT,O
role,NN,O
of,VBZ,O
the,VBN,O
state,IN,O
government,DT,O
to,NN,O
that,NN,O
of,VBG,O
a,DT,O
mere,NN,O
spectator,IN,O
thereby,DT,O
violating,NN,O
the,NN,O
above,TO,O
provision,DT,O
ix,IN,O
the,DT,O
thunderball,JJ,O
the,NN,O
last,RB,O
prize,VBG,O
amount,DT,O
of,JJ,O
rs,NN,O
20,VBZ,O
is,DT,O
when,NN,O
one,DT,O
main,JJ,O
number,NN,O
and,NN,O
the,IN,O
thunder,NN,O
ball,CD,O
fixed,VBZ,O
are,WRB,O
matched,CD,O
until,JJ,O
clarifications,NN,O
to,CC,O
the,DT,O
contrary,NN,O
are,NN,O
provided,VBN,O
with,VBP,O
evidence,VBN,O
it,IN,O
has,NNS,O
to,TO,O
be,DT,O
presumed,JJ,O
that,VBP,O
this,VBN,O
is,IN,O
a,NN,O
camouflaged,PRP,O
single,VBZ,O
digit,TO,O
lottery,VB,O
specifically,VBN,O
prohibited,IN,O
under,DT,O
section,VBZ,O
4a,DT,O
of,JJ,O
the,JJ,O
central,NN,O
act,NN,O
it,RB,O
was,VBN,O
also,IN,O
pointed,NN,O
out,CD,O
in,IN,O
the,DT,O
letter,JJ,O
to,NN,O
the,PRP,O
government,VBD,O
of,RB,O
india,VBN,O
that,RP,O
sikkim,IN,O
has,DT,O
delegated,NN,O
more,TO,O
rights,DT,O
and,NN,O
responsibilities,IN,O
to,NN,O
the,WDT,O
marketing,NN,O
agents,VBZ,O
than,VBN,O
what,JJR,O
is,NNS,O
statutorily,CC,O
permissible,NNS,O
under,TO,O
the,DT,O
act,NN,O
however,NNS,O
regarding,IN,O
the,WP,O
appointment,VBZ,O
of,RB,O
marketing,JJ,O
agents,IN,O
the,DT,O
state,NN,O
of,RB,O
sikkim,VBG,O
has,DT,O
informed,NN,O
that,IN,O
they,VBG,O
will,NNS,O
discuss,DT,O
the,NN,O
matter,IN,O
with,NN,O
the,VBZ,O
legal,VBN,O
wing,IN,O
the,PRP,O
state,MD,O
of,VB,O
sikkim,DT,O
has,NN,O
admitted,IN,O
that,DT,O
the,JJ,O
tickets,VBG,O
are,DT,O
printed,NN,O
on,IN,O
playwin,NN,O
stationery,VBZ,O
clearly,VBN,O
admitting,IN,O
violation,DT,O
of,NNS,O
section,VBP,O
4b,VBN,O
of,IN,O
the,NN,O
act,NN,O
with,RB,O
regard,VBG,O
to,NN,O
the,IN,O
allegation,NN,O
that,CD,O
thunder,IN,O
ball,DT,O
lottery,NN,O
is,IN,O
being,NN,O
organized,TO,O
on,DT,O
the,NN,O
basis,IN,O
of,NN,O
single,NN,O
digit,NN,O
the,VBZ,O
state,VBG,O
of,VBN,O
sikkim,IN,O
has,DT,O
not,NN,O
offered,IN,O
any,JJ,O
reasonable,NN,O
explanation,DT,O
or,NN,O
furnished,IN,O
any,NN,O
document,VBZ,O
instead,RB,O
the,VBN,O
state,DT,O
has,JJ,O
merely,NN,O
refuted,CC,O
the,VBN,O
same,DT,O
even,NN,O
though,RB,O
the,DT,O
state,NN,O
of,VBZ,O
sikkim,RB,O
was,VBN,O
requested,DT,O
to,JJ,O
furnish,RB,O
details,IN,O
documents,DT,O
clarifications,NN,O
regarding,IN,O
the,NN,O
allegations,VBD,O
raised,VBN,O
no,TO,O
reply,VB,O
was,NNS,O
received,NNS,O
from,NNS,O
it,VBG,O
the,DT,O
government,NNS,O
of,VBD,O
sikkim,DT,O
was,NN,O
reminded,VBD,O
on,VBN,O
11052004,IN,O
and,PRP,O
15062004,DT,O
to,NN,O
furnish,IN,O
the,NN,O
details,VBD,O
called,VBN,O
for,IN,O
earlier,CD,O
and,CC,O
also,CD,O
to,TO,O
provide,VB,O
details,DT,O
of,NNS,O
the,VBD,O
new,IN,O
lotteries,RBR,O
introduced,CC,O
by,RB,O
them,TO,O
in,VB,O
kerala,NNS,O
there,IN,O
has,DT,O
been,JJ,O
no,NNS,O
response,VBN,O
from,IN,O
the,PRP,O
state,IN,O
so,NN,O
far,EX,O
thus,VBZ,O
the,VBN,O
violations,DT,O
and,NN,O
irregularities,IN,B-LEGAL
pointed,DT,O
out,NN,O
in,RB,O
respect,RB,O
of,RB,O
sikkim,DT,O
state,NNS,O
lotteries,CC,O
as,NNS,O
in,VBD,O
january,RP,O
2004,IN,O
continue,NN,O
unabated,IN,O
this,JJ,O
shows,NN,O
that,NNS,O
the,IN,O
government,IN,O
of,JJ,O
sikkim,CD,O
is,NN,O
not,VBD,O
inclined,DT,O
to,VBZ,O
address,IN,O
the,DT,O
serious,NN,O
issues,IN,O
pointed,NN,O
out,VBZ,O
by,RB,O
the,VBN,O
government,TO,O
of,VB,O
kerala,DT,O
with,JJ,O
regard,NNS,O
to,VBN,O
the,RP,O
illegalities,IN,O
and,DT,O
violations,NN,O
connected,IN,O
with,NN,O
sikkim,IN,O
state,NN,O
lottery,TO,O
tickets,DT,O
which,NNS,O
are,CC,O
being,NNS,O
sold,VBN,O
among,IN,O
the,JJ,O
public,NN,O
in,NN,O
kerala,NNS,O
conclusion,WDT,O
23,VBP,O
the,VBG,O
conduct,VBN,O
of,IN,O
certain,DT,O
types,NN,O
of,IN,O
lottery,JJ,O
trade,NN,O
in,CD,O
the,DT,O
country,NN,O
the,IN,O
malpractices,JJ,O
thereof,NNS,O
and,IN,O
their,NN,O
impact,NN,O
on,IN,O
the,DT,O
poorer,NN,O
sections,DT,O
of,NNS,O
the,NN,O
society,CC,O
have,PRP$,O
been,NN,O
under,IN,O
scrutiny,DT,O
of,JJR,O
the,NNS,O
government,IN,O
for,DT,O
quite,NN,O
some,VBP,O
time,VBN,O
the,IN,O
continued,NN,O
prevalence,IN,O
of,DT,O
the,NN,O
popularly,IN,O
known,RB,O
single,DT,O
digit,NN,O
and,DT,O
instant,JJ,O
lotteries,NN,O
and,IN,O
the,DT,O
temptation,JJ,O
offered,VBN,O
by,JJ,O
them,NN,O
proved,CC,O
to,JJ,O
be,NNS,O
the,CC,O
undoing,DT,O
of,NN,O
many,VBN,O
families,IN,O
especially,PRP,O
poor,VBD,O
daily,TO,O
wagers,VB,O
and,DT,O
low,NN,O
income,IN,O
groups,JJ,O
in,NNS,O
spite,RB,O
of,JJ,O
the,JJ,O
guidelines,NNS,O
issued,CC,O
by,JJ,O
the,NN,O
central,NNS,O
government,IN,O
over,NN,O
a,IN,O
period,DT,O
of,NNS,O
time,VBN,O
as,IN,O
also,DT,O
the,JJ,O
guidelines,NN,O
issued,IN,O
in,DT,O
the,NN,O
recent,IN,O
past,NN,O
by,IN,O
this,RB,O
court,DT,O
the,NNS,O
evil,VBN,O
has,IN,O
not,DT,O
been,JJ,O
totally,NN,O
eliminated,IN,O
24,DT,O
the,NN,O
relevant,DT,O
provisions,NN,O
of,VBZ,O
the,RB,O
act,VBN,O
clearly,RB,O
demonstrate,JJ,O
that,CD,O
even,DT,O
though,JJ,O
all,NNS,O
types,IN,O
of,DT,O
lotteries,NN,O
are,RB,O
meant,VBP,O
to,IN,O
be,RB,O
regulated,IN,O
by,DT,O
the,NNS,O
said,IN,O
act,NNS,O
online,VBP,O
lotteries,VBN,O
were,TO,O
not,VB,O
under,VBN,O
the,IN,O
contemplation,DT,O
of,VBD,O
the,JJ,O
central,JJ,O
government,NNS,O
at,VBD,O
the,RB,O
time,IN,O
when,DT,O
the,NN,O
act,IN,O
came,DT,O
into,JJ,O
force,NN,O
it,IN,O
is,DT,O
otherwise,NN,O
also,WRB,O
not,DT,O
a,NN,O
disputed,VBD,B-LEGAL
fact,IN,I-LEGAL
that,NN,O
online,PRP,O
lotteries,VBZ,O
became,RB,O
popular,RB,O
insofar,RB,O
as,DT,O
india,VBN,O
is,NN,O
concerned,IN,O
only,JJ,O
recently,NNS,O
and,VBD,O
in,JJ,O
any,NN,O
case,IN,O
after,NN,O
the,VBZ,O
enforcement,VBN,O
of,RB,O
the,RB,O
act,CC,O
and,IN,O
that,DT,O
is,NN,O
why,IN,O
the,DT,O
government,NN,O
of,IN,O
india,DT,O
while,NN,O
framing,CC,O
the,DT,O
2010,VBZ,O
rules,WRB,O
specifically,DT,O
defined,NN,O
online,IN,O
lotteries,NN,O
having,IN,O
this,VBG,O
background,DT,O
in,CD,O
mind,NNS,O
the,RB,O
scheme,VBD,O
of,JJ,O
the,NNS,O
act,VBG,O
would,DT,O
clearly,NN,O
show,IN,O
that,NN,O
the,DT,O
government,NN,O
at,IN,O
that,DT,O
stage,NN,O
was,MD,O
concerned,RB,O
with,VB,O
paper,IN,O
lotteries,DT,O
of,NN,O
all,IN,O
kinds,DT,O
from,NN,O
the,VBD,O
preamble,VBN,O
of,IN,O
the,NN,O
act,NNS,O
spelled,IN,O
out,DT,O
from,NNS,O
the,IN,O
statement,DT,O
of,NN,O
objects,IN,O
and,DT,O
reasons,NN,O
as,VBD,O
re,RP,O
produced,IN,O
hereinbefore,DT,O
the,NN,O
necessity,IN,O
to,NNS,O
bring,CC,O
about,NNS,O
legislation,IN,B-LEGAL
in,NN,O
the,VBN,O
matter,IN,O
of,DT,O
regulating,NN,O
lotteries,TO,O
was,VB,O
felt,RP,O
on,NN,O
account,IN,O
of,DT,O
continued,NN,O
prevalence,IN,O
of,VBG,O
single,NNS,O
digit,VBD,O
and,VBN,O
instant,IN,O
lotteries,NN,O
