n,JJ,O
by,CC,O
the,VBG,O
collector,VBN,O
and,VBN,O
the,IN,O
tribunal,IN,B-LEGAL
on,DT,O
the,NN,O
basis,CC,O
of,DT,O
the,NN,O
material,IN,O
on,DT,O
record,NN,O
we,IN,O
are,DT,O
not,NN,O
inclined,IN,O
to,NN,O
disturb,PRP,O
this,VBP,O
finding,RB,O
nor,VBN,O
indeed,TO,O
do,VB,O
we,DT,O
find,NN,O
any,CC,O
good,RB,O
ground,VBP,O
to,PRP,O
do,VB,O
so,DT,O
hence,JJ,O
we,NN,O
find,TO,O
no,VB,O
merit,RB,O
in,RB,O
these,PRP,O
appeals,VBP,O
and,DT,O
these,NN,O
appeals,IN,O
fail,DT,O
19,NNS,O
ca,CC,O
no,DT,O
3712,NNS,O
of,VBP,O
2000,CD,O
is,MD,O
filed,DT,O
by,CD,O
the,IN,O
revenue,CD,O
against,VBZ,O
the,VBN,O
order,IN,B-LEGAL
of,DT,O
the,NN,O
tribunal,IN,B-LEGAL
which,DT,O
has,NN,O
allowed,IN,O
the,DT,O
appeal,NN,O
filed,WDT,O
by,VBZ,O
acc,VBN,O
holding,DT,O
that,NN,O
there,VBN,O
was,IN,O
no,NN,O
material,VBG,O
to,IN,O
come,EX,O
to,VBD,O
the,DT,O
conclusion,NN,O
that,TO,O
acc,VB,O
had,TO,O
abetted,DT,O
the,NN,O
illegal,IN,O
import,NN,B-LEGAL
of,VBD,O
steel,VBN,O
by,DT,O
m,JJ,O
s,NN,O
virgo,IN,O
steels,NN,O
this,IN,O
finding,JJ,O
also,NN,O
being,NN,O
a,NNS,O
finding,DT,O
on,NN,O
a,RB,O
question,VBG,O
of,DT,O
fact,NN,O
we,IN,O
are,DT,O
not,NN,O
inclined,IN,O
to,NN,O
interfere,PRP,O
with,VBP,O
this,RB,O
finding,VBN,O
at,TO,O
this,VB,O
stage,IN,O
we,DT,O
must,NN,O
place,IN,O
on,DT,O
record,NN,O
the,PRP,O
fact,MD,O
that,VB,O
learned,IN,O
solicitor,NN,O
general,DT,O
has,NN,O
very,IN,O
fairly,VBD,O
conceded,NN,O
that,NN,O
he,VBZ,O
is,RB,O
not,RB,O
in,VBD,O
a,IN,O
position,PRP,O
to,VBZ,O
persuade,RB,O
us,IN,O
to,DT,O
take,NN,O
a,TO,O
contra,VB,O
view,PRP,O
in,TO,O
this,VB,O
appeal,DT,O
therefore,JJ,O
this,NN,O
appeal,IN,O
also,DT,O
fails,NN,O
20,RB,O
for,DT,O
the,NN,O
reasons,RB,O
stated,VBZ,O
above,CD,O
ca,IN,O
no,DT,O
3711,NNS,O
of,VBN,O
2000,IN,O
is,MD,O
allowed,DT,O
the,CD,O
impugned,IN,O
order,CD,B-LEGAL
of,VBZ,O
the,VBN,O
tribunal,DT,B-LEGAL
is,JJ,O
set,NN,O
aside,IN,O
and,DT,O
that,NN,O
of,VBZ,O
the,VBN,O
collector,RB,O
restored,CC,O
the,IN,O
appellant,IN,O
shall,DT,O
be,NN,O
entitled,VBD,O
to,DT,O
costs,JJ,O
payable,MD,O
by,VB,O
m,VBN,O
s,TO,O
virgo,NNS,O
steels,JJ,O
mumbai,IN,O
21,NN,O
ca,NN,O
no,NN,O
3712,NNS,O
of,VBP,O
2000,CD,O
is,MD,O
dismissed,DT,O
no,CD,O
costs,IN,O
22,CD,O
ca,VBZ,O
nos,VBN,O
48,DT,O
49,NNS,O
of,CD,O
2001,MD,O
are,RB,O
dismissed,CD,O
with,CD,O
costs,IN,O
