bp,NN,O
well,NN,O
remain,CC,O
imprinted,NN,O
in,MD,O
their,RB,O
minds,VB,O
especially,JJ,O
when,IN,O
they,PRP$,O
were,NNS,O
assaulted,RB,O
in,WRB,O
broad,PRP,O
daylight,VBD,O
they,VBN,O
could,IN,O
not,JJ,O
be,NN,O
said,PRP,O
to,MD,O
be,RB,O
interested,VB,O
in,VBD,O
roping,TO,O
in,VB,O
innocent,JJ,O
persons,IN,O
by,VBG,O
shielding,IN,O
the,JJ,O
real,NNS,O
accused,IN,O
who,VBG,O
had,DT,O
assaulted,JJ,O
them,VBN,O
16,WP,O
in,VBD,O
the,VBN,O
light,PRP,O
of,CD,O
the,IN,O
principle,DT,O
laid,NN,O
down,IN,O
by,DT,O
this,NN,O
court,VBD,O
we,RB,O
may,IN,O
now,DT,O
examine,NN,O
the,PRP,O
facts,MD,O
of,RB,O
this,VB,O
case,DT,O
17,NNS,O
it,IN,O
is,DT,O
well,NN,O
settled,CD,O
that,PRP,O
the,VBZ,O
substantive,RB,O
evidence,VBN,O
is,IN,O
the,DT,O
evidence,JJ,O
of,NN,O
identification,VBZ,O
in,DT,O
court,NN,O
and,IN,O
the,NN,O
test,IN,B-LEGAL
identification,NN,I-LEGAL
parade,CC,I-LEGAL
provides,DT,O
corroboration,NN,B-LEGAL
to,NN,O
the,NN,O
identification,VBZ,O
of,NN,O
the,TO,O
witness,DT,O
in,NN,O
court,IN,O
if,DT,O
required,NN,O
however,IN,O
what,NN,O
weight,IN,O
must,VBN,O
be,RB,O
attached,WP,O
to,VBD,O
the,MD,O
evidence,VB,O
of,VBN,O
identification,TO,O
in,DT,O
court,NN,O
which,IN,O
is,NN,O
not,IN,O
preceded,NN,O
by,WDT,O
a,VBZ,O
test,RB,B-LEGAL
identification,VBN,I-LEGAL
parade,IN,I-LEGAL
is,DT,O
a,NN,O
matter,NN,O
for,NN,O
the,VBZ,O
courts,DT,O
of,NN,O
fact,IN,O
to,DT,O
examine,NNS,O
in,IN,O
the,NN,O
instant,TO,O
case,VB,O
the,IN,O
courts,DT,O
below,JJ,O
have,NN,O
concurrently,DT,O
found,NNS,O
the,IN,O
evidence,VBP,O
of,RB,O
the,VBN,O
prosecutrix,DT,B-LEGAL
to,NN,O
be,IN,O
reliable,DT,O
and,NN,O
therefore,TO,O
there,VB,O
was,JJ,O
no,CC,O
need,RB,O
for,EX,O
the,VBD,O
corroboration,DT,B-LEGAL
of,NN,O
her,IN,O
evidence,DT,O
in,NN,O
court,IN,O
as,PRP$,O
she,NN,O
was,IN,O
found,NN,O
to,IN,O
be,PRP,O
implicitly,VBD,O
reliable,VBN,O
we,TO,O
find,VB,O
no,RB,O
error,JJ,O
in,PRP,O
the,VBP,O
reasoning,DT,O
of,NN,O
the,IN,O
courts,DT,O
below,NN,O
from,IN,O
the,DT,O
facts,NNS,O
of,IN,O
the,IN,O
case,DT,O
it,NNS,O
is,IN,O
quite,DT,O
apparent,NN,O
that,PRP,O
the,VBZ,O
prosecutrix,RB,B-LEGAL
did,JJ,O
not,IN,O
even,DT,O
know,NN,O
the,VBD,O
appellants,RB,O
and,RB,O
did,VBP,O
not,DT,O
make,NNS,O
any,CC,O
effort,VBD,O
to,RB,O
falsely,VB,O
implicate,DT,O
them,NN,O
by,TO,O
naming,RB,O
them,VB,O
at,PRP,O
any,IN,O
stage,VBG,O
the,PRP,O
crime,IN,O
was,DT,O
perpetrated,NN,O
in,DT,O
broad,NN,O
daylight,VBD,O
the,VBN,O
prosecutrix,IN,B-LEGAL
had,JJ,O
sufficient,VBD,O
opportunity,DT,O
to,NN,O
observe,VBD,O
the,JJ,O
features,NN,O
of,TO,O
the,VB,O
appellants,DT,O
who,NNS,O
raped,IN,O
her,DT,O
one,NNS,O
after,WP,O
the,VBD,O
other,PRP,O
before,NN,O
the,IN,O
rape,DT,O
was,JJ,O
committed,IN,O
she,DT,O
was,NN,O
threatened,VBD,O
and,VBN,O
intimated,PRP,O
by,VBD,O
the,VBN,O
appellants,CC,O
after,VBN,O
the,IN,O
rape,DT,O
was,NNS,O
committed,IN,O
she,DT,O
was,NN,O
again,VBD,O
threatened,VBN,O
and,PRP,O
intimidated,VBD,O
by,RB,O
them,VBN,O
all,CC,O
this,VBN,O
must,IN,O
have,PRP,O
taken,PDT,O
time,DT,O
this,MD,O
is,VB,O
not,VBN,O
a,NN,O
case,DT,O
where,VBZ,O
the,RB,O
identifying,DT,O
witness,NN,O
had,WRB,O
only,DT,O
a,NN,O
fleeting,NN,O
glimpse,VBD,O
of,RB,O
the,DT,O
appellants,JJ,O
on,NN,O
a,IN,O
dark,DT,O
night,NNS,O
she,IN,O
also,DT,O
had,NN,O
a,NN,O
reason,PRP,O
to,RB,O
remember,VBD,O
their,DT,O
cases,NN,O
as,TO,O
they,VB,O
had,PRP$,O
committed,NNS,O
a,IN,O
heinous,PRP,O
offence,VBD,O
and,VBN,O
put,DT,O
her,JJ,O
to,NN,O
shame,CC,O
she,VBD,O
had,PRP,O
therefore,TO,O
abundant,VB,O
opportunity,PRP,O
to,VBD,O
notice,RB,O
their,JJ,O
features,NN,O
in,TO,O
fact,VB,O
on,PRP$,O
account,NNS,O
of,IN,O
her,NN,O
traumatic,IN,O
and,NN,O
tragic,IN,O
experience,PRP$,O
the,JJ,O
faces,CC,O
of,JJ,O
the,NN,O
appellants,DT,O
must,VBZ,O
be,IN,O
got,DT,O
imprinted,NNS,O
in,MD,O
her,VB,O
memory,VBN,O
and,JJ,O
there,IN,O
was,PRP$,O
no,NN,O
chance,CC,O
of,EX,O
her,VBD,O
making,DT,O
a,NN,O
mistake,IN,O
about,PRP$,O
their,VBG,O
identify,DT,O
the,NN,O
occurrence,IN,O
took,PRP$,O
place,VB,O
on,DT,O
march,NN,O
4,VBD,O
1992,NN,O
and,IN,O
she,NN,O
deposed,CD,O
in,CD,O
court,CC,O
on,PRP,O
august,VBD,O
217,IN,O
1992,NN,O
the,IN,O
prosecutrix,NN,B-LEGAL
appears,CD,O
to,CD,O
be,DT,O
a,NN,O
witness,VBZ,O
on,TO,O
whom,VB,O
implicit,DT,B-LEGAL
reliance,NN,I-LEGAL
can,IN,O
be,WP,O
placed,JJ,O
and,NN,O
there,MD,O
is,VB,O
no,VBN,O
reason,CC,O
why,EX,O
she,VBZ,O
should,DT,O
falsely,NN,O
identify,WRB,O
the,PRP,O
appellants,MD,O
as,RB,O
the,VB,O
perpetrators,DT,O
of,NNS,O
the,IN,O
crime,DT,O
if,NNS,O
they,IN,O
had,DT,O
not,NN,O
actually,IN,O
committed,PRP,O
the,VBD,O
offence,RB,O
in,RB,O
these,VBN,O
circumstances,DT,O
if,NN,O
the,IN,O
courts,DT,O
below,NNS,O
have,IN,O
concurrently,DT,O
held,NNS,O
that,IN,O
the,VBP,O
identification,RB,O
of,VBN,O
the,IN,O
appellants,DT,O
by,NN,O
the,IN,O
prosecutrix,DT,B-LEGAL
in,NNS,O
court,IN,O
does,DT,O
not,NN,O
require,IN,O
further,NN,O
corroboration,VBZ,B-LEGAL
we,RB,O
find,VB,O
no,JJ,O
reason,NN,O
to,PRP,O
interfere,VBP,O
with,DT,O
the,NN,O
finding,TO,O
recorded,VB,O
by,IN,O
the,DT,O
courts,NN,O
below,VBN,O
after,IN,O
an,DT,O
appreciation,NNS,O
of,IN,O
the,IN,O
evidence,DT,O
on,NN,O
record,IN,O
18,DT,O
we,NN,O
therefore,IN,O
find,NN,O
no,CD,O
merit,PRP,O
in,VBP,O
these,JJ,O
appeals,DT,O
and,NN,O
the,IN,O
same,DT,O
are,NNS,O
accordingly,CC,O
dismissed,DT,O
