rp,NN,O
fixtures,VB,O
including,VBN,O
lifts,CC,O
and,DT,O
electric,NNS,O
and,VBG,O
other,NNS,O
fittings,CC,O
which,JJ,O
add,CC,O
to,JJ,O
the,NNS,O
convenience,WDT,O
of,VBP,O
the,TO,O
building,DT,O
shall,NN,O
be,IN,O
valued,DT,O
subject,NN,O
in,MD,O
the,VB,O
case,VBN,O
of,JJ,O
a,IN,O
lift,DT,O
to,NN,O
such,IN,O
deduction,DT,O
from,NN,O
the,TO,O
valuation,JJ,O
as,NN,O
the,IN,O
executive,DT,O
officer,NN,O
may,IN,O
think,DT,O
proper,JJ,O
on,NN,O
account,MD,O
of,VB,O
the,JJR,O
cost,IN,O
of,NN,O
repairs,IN,O
to,DT,O
maintenance,NN,O
of,IN,O
and,NNS,O
attendance,TO,O
on,NN,O
such,IN,O
lift,CC,O
iii,VB,O
if,IN,O
in,JJ,O
the,NN,O
case,NN,O
of,IN,O
building,IN,O
valued,DT,O
under,NN,O
clause,IN,O
b,VBG,O
the,VBN,O
annual,IN,B-LEGAL
value,NN,I-LEGAL
of,IN,O
which,DT,O
does,JJ,O
not,NN,O
exceed,IN,O
five,WDT,O
hundred,VBZ,O
rupees,RB,O
any,VB,O
exceptional,CD,O
circumstances,JJ,O
exist,NNS,O
which,DT,O
render,JJ,O
a,NNS,O
valuation,VBP,O
of,WDT,O
five,VBP,O
per,DT,O
cent,NN,O
on,IN,O
the,CD,O
cost,IN,O
of,NN,O
erecting,IN,O
the,DT,O
building,NN,O
less,IN,O
depreciation,VBG,O
excessive,DT,O
a,NN,O
lower,JJR,O
percentage,NN,O
may,VBP,O
be,DT,O
taken,JJR,O
iv,NN,O
when,MD,O
any,VB,O
building,VBN,O
has,JJ,O
been,WRB,O
valued,DT,O
at,NN,O
a,VBZ,O
special,VBN,O
percentage,VBN,O
taken,IN,O
under,DT,O
proviso,JJ,O
iii,NN,O
it,VBN,O
may,IN,O
be,NN,O
re,NN,O
valued,PRP,O
at,MD,O
any,VB,O
time,JJ,O
after,VBN,O
the,IN,O
exception,DT,O
circumstances,NN,O
referred,IN,O
to,DT,O
in,NN,O
that,NNS,O
proviso,VBD,O
have,TO,O
ceased,IN,O
to,DT,O
exist,NN,O
9,VBP,O
the,VBN,O
words,TO,O
notwithstanding,VB,O
anything,CD,O
contained,DT,O
in,NNS,O
the,VBG,O
west,NN,O
bengal,VBN,O
premises,IN,O
tenancy,DT,O
act,NN,O
1956,NN,O
or,NNS,O
any,NN,O
other,NN,O
law,CD,O
for,CC,O
the,DT,O
time,JJ,O
being,NN,O
in,IN,O
force,DT,O
appearing,NN,O
in,VBG,O
section,IN,O
174,NN,O
of,NN,O
1980,IN,O
act,NN,O
were,CD,O
non,IN,O
existent,CD,O
in,NN,O
section,VBD,O
168,JJ,O
of,NN,O
1951,IN,O
act,NN,O
and,CD,O
section,IN,O
123,CD,O
of,NN,O
1923,CC,O
act,NN,O
10,CD,O
in,IN,O
support,CD,O
of,NN,O
their,CD,O
view,IN,O
points,NN,O
learned,IN,O
counsel,PRP$,O
for,NN,O
the,NNS,O
parties,VBD,O
have,NN,O
relied,IN,O
upon,DT,O
various,NNS,O
judgments,VBP,O
of,VBN,O
this,IN,O
court,JJ,O
reported,NNS,O
in,IN,O
sm,DT,O
padma,NN,O
debi,VBD,O
s,IN,O
case,NN,O
supra,NN,O
lic,NN,O
s,NN,O
case,NN,O
supra,VBZ,O
guntur,JJ,O
municipal,JJ,O
council,NN,O
v,NN,O
guntur,NN,O
town,JJ,O
ratepayers,NN,O
association,JJ,O
manu,NN,O
sc,NN,O
0394,NNS,O
1970manu,VBP,O
sc,RB,O
0394,JJ,O
1970,CD,O
1971,CD,O
2scr423,NN,O
1971,CD,O
2scr423,CD,O
municipal,CD,B-LEGAL
corporation,CD,I-LEGAL
indore,CD,O
and,CD,O
ors,JJ,O
v,NN,O
ratnaprabha,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
sc,NN,O
0339,CC,O
1976manu,NNS,O
sc,VBP,O
0339,JJ,O
1976,CD,O
1977,CD,O
1scr1017,NN,O
diwan,CD,O
daulat,CD,O
rai,CD,O
kapoor,CD,O
and,NN,O
ors,JJ,O
v,NN,O
new,NN,O
delhi,CC,O
municipal,NNS,B-LEGAL
committee,VBP,I-LEGAL
and,JJ,O
ors,NN,O
manu,JJ,O
sc,NN,O
0393,CC,O
1979manu,NNS,O
sc,VBP,O
0393,JJ,O
1979,CD,O
1980,CD,O
122itr700sc,NN,O
1980,CD,O
122itr700sc,CD,O
balbir,CD,O
singh,CD,O
and,CD,O
ors,CD,O
v,NN,O
mcd,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
sc,NN,O
0222,CC,O
1984manu,NNS,O
sc,VBP,O
0222,JJ,O
1984,CD,O
1985,CD,O
152itr388sc,NN,O
srikant,CD,O
kashinath,CD,O
jituri,CD,O
and,CD,O
ors,JJ,O
v,NN,O
corporation,NN,O
of,CC,O
the,NNS,O
city,VBP,O
of,NN,O
belgaum,IN,O
manu,DT,O
sc,NN,O
0059,IN,O
1995manu,JJ,O
sc,NN,O
0059,NN,O
1995,CD,O
air1995sc288,CD,O
indian,NN,O
oil,CD,O
corporation,CD,O
ltd,NN,O
v,JJ,O
municipal,NN,B-LEGAL
corporation,NN,I-LEGAL
and,NN,O
anr,NN,O
manu,JJ,O
sc,NN,O
0744,CC,O
1995manu,NN,O
sc,NN,O
0744,NN,O
1995,CD,O
1995,CD,O
3scr246,NN,O
1995,CD,O
3scr246,CD,O
asstt,CD,O
general,CD,O
manager,CD,O
central,CD,O
bank,JJ,O
of,JJ,O
india,NN,O
and,JJ,O
ors,NN,O
v,IN,O
commissioner,NN,O
municipal,CC,B-LEGAL
corporation,NNS,I-LEGAL
for,VBP,O
the,NN,O
city,JJ,O
of,NN,O
ahmedabad,IN,O
and,DT,O
ors,NN,O
manu,IN,O
sc,NN,O
0742,CC,O
1995manu,NNS,O
sc,VBP,O
0742,JJ,O
1995,CD,O
19954scc696,CD,O
east,NN,O
india,CD,O
commercial,CD,O
co,CD,O
pvt,JJ,O
ltd,JJ,O
vcorporation,JJ,O
of,NN,O
calcutta,NN,O
manu,JJ,O
sc,NN,O
0249,IN,O
1998manu,NN,O
sc,NN,O
0249,NN,O
1998,CD,O
1998,CD,O
2scr543,NN,O
1998,CD,O
2scr543,CD,O
government,CD,O
servant,CD,O
cooperative,CD,O
house,CD,O
building,NN,O
society,JJ,O
ltd,JJ,O
and,NN,O
ors,NN,O
vunion,NN,O
of,NN,O
india,CC,O
and,NNS,O
ors,NN,O
manu,IN,O
sc,NN,O
0482,CC,O
1998manu,NNS,O
sc,VBP,O
0482,JJ,O
1998,CD,O
1998,CD,O
3scr996,NN,O
1998,CD,O
3scr996,CD,O
11,CD,O
in,CD,O
padma,CD,O
debi,CD,O
s,CD,O
case,IN,O
supra,NN,O
this,NN,O
court,NN,O
dealt,NN,O
with,VB,O
the,DT,O
law,NN,O
relating,NN,O
to,IN,O
annual,DT,O
valuation,NN,O
under,VBG,O
section,TO,O
127,JJ,O
of,NN,O
bengal,IN,O
act,NN,O
no,CD,O
3,IN,O
of,JJ,O
1923,NN,O
and,DT,O
held,CD,O
that,IN,O
the,CD,O
words,CC,O
gross,VBD,B-LEGAL
annual,IN,I-LEGAL
rent,DT,I-LEGAL
at,NNS,O
which,JJ,O
the,JJ,O
land,NN,O
or,IN,O
building,WDT,O
might,DT,O
at,NN,O
the,CC,O
time,NN,O
of,MD,O
assessment,IN,B-LEGAL
reasonably,DT,O
be,NN,O
expected,IN,O
to,NN,O
let,RB,O
from,VB,O
year,VBN,O
to,TO,O
year,VB,O
implies,IN,O
that,NN,O
the,TO,O
rent,NN,O
which,NNS,O
the,IN,O
landlord,DT,O
might,NN,O
realise,WDT,O
if,DT,O
the,NN,O
house,MD,O
was,VB,O
let,IN,O
is,DT,O
the,NN,O
basis,VBD,O
for,VBN,O
fixing,VBZ,O
the,DT,O
annual,NN,B-LEGAL
value,IN,I-LEGAL
of,VBG,O
the,DT,O
building,JJ,O
the,NN,O
criterion,IN,O
was,DT,O
the,NN,O
rent,DT,O
realisable,NN,O
by,VBD,O
the,DT,O
landlord,NN,O
and,JJ,O
not,IN,O
the,DT,O
value,NN,O
of,CC,O
the,RB,O
holding,DT,O
in,NN,O
the,IN,O
hands,DT,O
of,VBG,O
the,IN,O
tenant,DT,O
the,NNS,O
value,IN,O
of,DT,O
the,NN,O
property,DT,O
to,NN,O
the,IN,O
owner,DT,O
is,NN,O
the,TO,O
standard,DT,B-LEGAL
rent,NN,I-LEGAL
in,VBZ,O
making,DT,O
the,JJ,O
assessment,NN,B-LEGAL
the,IN,O
word,VBG,O
reasonably,DT,O
appearing,NN,O
in,DT,O
the,NN,O
section,RB,O
was,VBG,O
held,IN,O
to,DT,O
be,NN,O
not,VBD,O
capable,VBN,O
of,TO,O
precise,VB,O
definition,RB,O
as,JJ,O
in,IN,O
ultimate,JJ,O
analysis,NN,O
the,IN,O
same,IN,O
was,JJ,O
the,NN,O
question,DT,O
of,JJ,O
fact,VBD,O
whether,DT,O
a,NN,O
particular,IN,O
act,NN,O
was,IN,O
reasonable,DT,O
or,JJ,O
not,NN,O
depended,VBD,O
upon,JJ,O
the,CC,O
circumstances,RB,O
in,VBN,O
a,IN,O
given,DT,O
case,NNS,O
a,IN,O
bargain,DT,O
between,VBN,O
a,NN,O
willing,DT,O
lessor,NN,O
and,IN,O
willing,DT,O
lessee,JJ,O
uninfluenced,NN,O
by,CC,O
any,JJ,O
extraneous,NN,O
circumstances,VBN,O
can,IN,O
afford,DT,O
a,JJ,O
guiding,NNS,O
test,MD,O
of,VB,O
reasonableness,DT,O
the,JJ,O
phrase,NN,O
at,IN,O
the,NN,O
time,DT,O
of,NN,O
assessment,IN,B-LEGAL
was,DT,O
held,NN,O
to,IN,O
mean,NN,O
the,VBD,O
assessment,VBN,B-LEGAL
commenced,TO,O
with,VB,O
the,DT,O
making,NN,O
of,VBD,O
the,IN,O
valuation,DT,O
under,NN,O
section,IN,O
131,DT,O
of,NN,O
the,IN,O
act,NN,O
and,CD,O
ended,IN,O
with,DT,O
the,NN,O
determination,CC,O
of,VBD,O
the,IN,O
objection,DT,O
under,NN,O
section,IN,O
140,DT,O
thereof,NN,O
as,IN,O
in,NN,O
that,CD,O
case,NN,O
the,IN,O
rent,IN,O
control,DT,O
act,NN,O
of,DT,O
1950,NN,O
was,NN,O
found,NN,O
to,IN,O
be,CD,O
in,VBD,O
existence,VBN,O
before,TO,O
determination,VB,O
of,IN,O
the,NN,O
assessment,IN,B-LEGAL
the,NN,O
corporation,IN,O
was,DT,O
held,NN,O
to,DT,O
have,NN,O
no,VBD,O
power,VBN,O
to,TO,O
fix,VB,O
the,DT,O
annual,NN,B-LEGAL
value,TO,I-LEGAL
of,VB,O
the,DT,O
premises,JJ,O
higher,NN,O
than,IN,O
the,DT,O
standard,NNS,B-LEGAL
rent,JJR,I-LEGAL
12,IN,O
in,DT,O
lic,JJ,O
s,NN,O
case,CD,O
supra,IN,O
this,JJ,O
court,NN,O
dealt,NN,O
with,VB,O
section,DT,O
168,NN,O
of,NN,O
the,IN,O
calcutta,NN,O
municipal,CD,B-LEGAL
corporation,IN,I-LEGAL
act,DT,O
for,NN,O
the,JJ,O
purposes,NN,O
of,NN,O
determination,IN,O
of,DT,O
annual,NNS,B-LEGAL
value,IN,I-LEGAL
of,NN,O
the,IN,O
premises,JJ,O
the,NN,O
facts,IN,O
of,DT,O
that,NNS,O
case,DT,O
were,NNS,O
that,IN,O
m,DT,O
s,NN,O
a,VBD,O
firpo,IN,O
ltd,NN,O
were,VBD,O
the,DT,O
tenants,JJ,O
of,NN,O
the,VBD,O
building,DT,O
belonging,NNS,O
to,IN,O
asiatic,DT,O
assurance,NN,O
company,NN,O
ltd,TO,O
under,JJ,O
a,NN,O
lease,NN,O
at,NN,O
a,IN,O
monthly,DT,O
rent,NN,O
of,IN,O
rs,DT,O
2,JJ,O
000,NN,O
which,IN,O
was,NN,O
increased,CD,O
by,CD,O
mutual,WDT,O
agreement,VBD,O
to,VBN,O
rs,IN,O
2800,JJ,O
per,NN,O
month,TO,O
m,VB,O
s,CD,O
firpo,IN,O
ltd,NN,O
the,NN,O
lessee,NN,O
had,NN,O
sub,VBD,O
let,DT,O
a,NN,O
major,VBD,O
part,VBN,O
of,VB,O
the,DT,O
premises,JJ,O
to,NN,O
five,IN,O
different,DT,O
tenants,NNS,O
and,TO,O
the,CD,O
aggregate,JJ,O
rent,NNS,O
received,CC,O
from,DT,O
the,JJ,O
sub,NN,O
tenants,VBD,O
amounted,IN,O
to,DT,O
rs,NN,O
4520,NNS,O
the,VBD,O
corporation,TO,O
assessed,VB,O
the,CD,O
annual,DT,B-LEGAL
value,NN,I-LEGAL
of,VBD,O
the,DT,O
premises,JJ,O
at,NN,O
rs,IN,O
32076,DT,O
for,NNS,O
six,IN,O
years,NN,O
the,CD,O
objection,IN,O
raised,CD,O
by,NNS,O
the,DT,O
owner,NN,O
against,VBN,O
the,IN,O
determination,DT,O
of,NN,O
the,IN,O
annual,DT,B-LEGAL
value,NN,I-LEGAL
was,IN,O
rejected,DT,O
by,JJ,O
the,NN,O
special,VBD,B-LEGAL
officer,VBN,I-LEGAL
of,IN,O
the,DT,O
corporation,JJ,O
and,NN,O
in,IN,O
appeal,DT,O
filed,NN,O
by,CC,O
the,IN,O
lic,NN,O
which,VBN,O
had,IN,O
statutorily,DT,O
acquired,NN,O
the,WDT,O
right,VBD,O
of,RB,O
the,VBN,O
owner,DT,O
of,NN,O
the,IN,O
building,DT,O
the,NN,O
court,IN,O
of,DT,O
small,NN,O
causes,DT,O
assessed,NN,O
rs,IN,O
30240,JJ,O
as,NNS,O
the,VBD,O
annual,RB,B-LEGAL
value,CD,I-LEGAL
the,IN,O
said,DT,O
order,JJ,O
was,NN,O
confirmed,DT,O
in,VBD,O
appeal,NN,O
to,VBD,O
the,VBN,O
high,IN,O
court,NN,O
under,TO,O
section,DT,O
1833of,JJ,O
the,NN,O
calcutta,IN,O
municipal,NN,B-LEGAL
corporation,CD,I-LEGAL
act,DT,O
1951,NN,O
in,JJ,O
appeal,NN,O
filed,NN,O
in,CD,O
this,IN,O
court,NN,O
the,VBN,O
corporation,IN,O
claimed,DT,O
that,NN,O
in,DT,O
determining,NN,O
the,VBD,O
annual,IN,B-LEGAL
value,IN,I-LEGAL
of,VBG,O
the,DT,O
premises,JJ,O
the,NN,O
assessing,IN,O
authority,DT,O
was,NNS,O
entitled,DT,O
to,VBG,O
take,NN,O
into,VBD,O
consideration,VBN,O
the,TO,O
rental,VB,O
received,IN,O
by,NN,O
m,DT,O
s,JJ,O
a,VBN,O
firpo,IN,O
ltd,NN,O
from,NN,O
its,DT,O
sub,JJ,O
tenant,NN,O
reliance,IN,O
was,PRP$,O
placed,NN,O
upon,NN,O
padma,NN,O
debi,VBD,O
s,VBN,O
case,IN,O
this,JJ,O
court,NN,O
approved,NN,O
the,NN,O
judgment,DT,O
in,NN,O
padma,VBD,O
debi,DT,O
s,NN,O
case,IN,O
but,NN,O
finding,NN,O
that,JJ,O
as,NN,O
the,CC,O
standard,VBG,B-LEGAL
rent,IN,I-LEGAL
stood,IN,O
determined,DT,O
by,JJ,O
the,NN,O
definition,VBD,O
in,VBN,O
section,IN,O
210b,DT,O
of,NN,O
the,IN,O
west,NN,O
bengal,CD,O
premises,IN,O
rent,DT,O
control,JJS,O
temporary,JJ,O
provisions,NNS,O
act,VB,O
1950,NN,O
held,JJ,O
that,NNS,O
the,NN,O
high,CD,O
court,VBD,O
was,IN,O
right,DT,O
in,JJ,O
assessing,NN,O
the,VBD,O
annual,RB,B-LEGAL
value,IN,I-LEGAL
on,VBG,O
the,DT,O
basis,JJ,O
of,NN,O
the,IN,O
standard,DT,B-LEGAL
rent,NN,I-LEGAL
as,IN,O
statutorily,DT,O
determined,JJ,O
it,NN,O
was,IN,O
further,RB,O
held,VBD,O
that,PRP,O
under,VBD,O
the,RBR,O
act,VBD,O
the,IN,O
quantum,IN,O
of,DT,O
consolidated,NN,O
rate,DT,O
depends,NN,O
upon,IN,O
the,JJ,O
value,NN,O
of,VBZ,O
the,IN,O
land,DT,O
or,NN,O
building,IN,O
or,DT,O
the,NN,O
gross,CC,O
rent,NN,O
for,CC,O
which,DT,O
the,JJ,O
land,NN,O
or,IN,O
building,WDT,O
might,DT,O
reasonably,NN,O
be,CC,O
expected,NN,O
to,MD,O
let,RB,O
and,VB,O
not,VBN,O
the,TO,O
gross,VB,O
rent,CC,O
at,RB,O
which,DT,O
the,JJ,O
subordinate,NN,O
interest,IN,O
of,WDT,O
a,DT,O
tenant,NN,O
may,NN,O
be,IN,O
expected,DT,O
to,NN,O
sub,MD,O
let,VB,O
in,VBN,O
determining,TO,O
the,VB,O
assessment,NN,B-LEGAL
of,IN,O
annual,VBG,B-LEGAL
value,DT,I-LEGAL
the,NN,O
assessing,IN,O
authority,JJ,O
is,NN,O
not,DT,O
concerned,VBG,O
with,NN,O
the,VBZ,O
rent,RB,O
which,VBN,O
the,IN,O
tenant,DT,O
may,NN,O
receive,WDT,O
from,DT,O
his,NN,O
sub,MD,O
tenant,VB,O
it,IN,O
is,PRP$,O
the,NN,O
gross,NN,O
rent,PRP,O
which,VBZ,O
the,DT,O
owner,JJ,O
may,NN,O
realise,WDT,O
by,DT,O
letting,NN,O
the,MD,O
land,VB,O
or,IN,O
building,VBG,O
under,DT,O
a,NN,O
bargain,CC,O
uninfluenced,NN,O
by,IN,O
extraneous,DT,O
considerations,NN,O
which,JJ,O
determines,IN,O
the,JJ,O
annual,NNS,B-LEGAL
value,WDT,I-LEGAL
13,VBP,O
in,DT,O
guntur,JJ,O
town,NN,O
rate,CD,O
payers,IN,O
association,JJ,O
s,NN,O
case,NN,O
suprait,NNS,O
was,VBP,O
held,JJ,O
that,NN,O
the,NN,O
test,VBD,O
for,VBN,O
determining,IN,O
the,DT,O
rent,NN,O
at,IN,O
which,VBG,O
the,DT,O
building,NN,O
may,IN,O
reasonably,WDT,O
be,DT,O
expected,NN,O
to,MD,O
be,RB,O
let,VB,O
is,VBN,O
essentially,TO,O
what,VB,O
rent,VBN,O
premises,VBZ,O
can,RB,O
lawfully,WP,O
fetch,NN,O
if,NNS,O
let,MD,O
out,RB,O
to,VB,O
a,IN,O
hypothetical,VBN,B-LEGAL
tenant,RP,I-LEGAL
the,TO,O
municipality,DT,O
is,JJ,O
not,NN,O
free,DT,O
to,NN,O
assess,VBZ,O
any,RB,O
arbitrary,JJ,O
annual,TO,B-LEGAL
value,VB,I-LEGAL
and,DT,O
has,JJ,O
to,JJ,O
look,NN,O
to,CC,O
and,VBZ,O
is,TO,O
bound,VB,O
by,TO,O
the,CC,O
fair,VBZ,O
or,VBN,O
the,IN,O
standard,DT,B-LEGAL
rent,NN,I-LEGAL
which,CC,O
would,DT,O
be,JJ,O
payable,NN,O
for,WDT,O
a,MD,O
particular,VB,O
premises,JJ,O
under,IN,O
the,DT,O
rent,JJ,O
control,NNS,O
act,IN,O
in,DT,O
force,NN,O
during,NN,O
the,NN,O
year,IN,O
of,NN,O
assessment,IN,B-LEGAL
such,DT,O
findings,NN,O
were,IN,O
returned,NN,O
on,JJ,O
the,NNS,O
basis,VBD,O
of,VBN,O
the,IN,O
judgment,DT,O
of,NN,O
this,IN,O
court,DT,O
in,NN,O
padma,IN,O
debi,DT,O
s,NN,O
case,IN,O
14,NN,O
in,NN,O
smt,VBD,O
ratnaprabha,NN,O
s,CD,O
case,IN,O
supra,NN,O
this,NN,O
court,NN,O
for,NN,O
the,VB,O
first,DT,O
time,NN,O
considered,IN,O
the,DT,O
effect,JJ,O
of,NN,O
non,VBN,O
obstante,DT,O
clause,NN,O
appearing,IN,O
in,NN,O
madhya,NN,O
pradesh,NN,O
municipal,VBG,B-LEGAL
corporation,IN,I-LEGAL
act,NN,O
1956,NN,O
for,JJ,O
determining,NN,O
the,NN,O
gross,CD,B-LEGAL
annual,IN,I-LEGAL
rent,VBG,I-LEGAL
for,DT,O
which,JJ,O
the,JJ,O
building,NN,O
might,IN,O
reasonably,WDT,O
be,DT,O
expected,NN,O
to,MD,O
be,RB,O
let,VB,O
clause,VBN,O
b,TO,O
of,VB,O
section,VBN,O
138,NN,O
of,NN,O
the,IN,O
said,NN,O
act,CD,O
provided,IN,O
b,DT,O
the,VBD,O
annual,NN,B-LEGAL
value,VBD,I-LEGAL
of,PDT,O
any,DT,O
building,JJ,O
shall,NN,O
notwithstanding,IN,O
anything,DT,O
contained,NN,O
in,MD,O
any,VBG,O
other,NN,O
law,VBN,O
for,IN,O
the,DT,O
time,JJ,O
being,NN,O
in,IN,O
force,DT,O
be,NN,O
deemed,VBG,O
to,IN,O
be,NN,O
the,VB,O
gross,VBN,B-LEGAL
annual,TO,I-LEGAL
rent,VB,I-LEGAL
at,DT,O
which,JJ,O
such,JJ,O
building,NN,O
together,IN,O
with,WDT,O
its,JJ,O
appurtenances,NN,O
and,RB,O
any,IN,O
furniture,PRP$,O
that,NNS,O
may,CC,O
be,DT,O
let,NN,O
for,WDT,O
use,MD,O
or,VB,O
enjoyment,VB,O
therewith,IN,O
might,NN,O
reasonably,CC,O
at,NN,O
the,NN,O
time,MD,O
of,RB,O
assessment,IN,B-LEGAL
be,DT,O
expected,NN,O
to,IN,O
be,NN,O
let,VB,O
from,VBN,O
year,TO,O
to,VB,O
year,VBN,O
less,IN,O
an,NN,O
allowance,TO,O
of,NN,O
ten,RBR,O
per,DT,O
cent,NN,O
for,IN,O
the,JJ,O
cost,IN,O
of,NN,O
repairs,IN,O
and,DT,O
for,NN,O
all,IN,O
other,NNS,O
expenses,CC,O
necessary,IN,O
to,DT,O
maintain,JJ,O
the,NNS,O
building,JJ,O
in,TO,O
a,VB,O
state,DT,O
to,NN,O
command,IN,O
such,DT,O
gross,NN,B-LEGAL
annual,TO,I-LEGAL
rent,VB,I-LEGAL
15,JJ,O
interpreting,JJ,O
the,JJ,O
section,NN,O
the,CD,O
court,VBG,O
held,DT,O
as,NN,O
has,DT,O
been,NN,O
stated,VBD,O
clause,RB,O
b,VBZ,O
of,VBN,O
section,VBN,O
133,NN,O
of,NN,O
the,IN,O
act,NN,O
provides,CD,O
that,IN,O
the,DT,O
annual,NN,B-LEGAL
value,VBZ,I-LEGAL
of,IN,O
any,DT,O
building,JJ,O
shall,NN,O
notwithstanding,IN,O
anything,DT,O
contained,NN,O
in,MD,O
any,VBG,O
other,NN,O
law,VBN,O
for,IN,O
the,DT,O
time,JJ,O
being,NN,O
in,IN,O
force,DT,O
be,NN,O
deemed,VBG,O
to,IN,O
be,NN,O
the,VB,O
gross,VBN,B-LEGAL
annual,TO,I-LEGAL
rent,VB,I-LEGAL
for,DT,O
which,JJ,O
the,JJ,O
building,NN,O
might,IN,O
reasonably,WDT,O
at,DT,O
the,NN,O
time,MD,O
of,RB,O
the,IN,O
assessment,DT,B-LEGAL
be,NN,O
expected,IN,O
to,DT,O
be,NN,O
let,VB,O
from,VBN,O
year,TO,O
to,VB,O
year,VBN,O
while,IN,O
therefore,NN,O
the,TO,O
requirement,NN,O
of,IN,O
the,IN,O
law,DT,O
is,NN,O
that,IN,O
the,DT,O
reasonable,NN,O
letting,VBZ,B-LEGAL
value,IN,I-LEGAL
should,DT,O
determine,JJ,O
the,VBG,O
annual,NN,B-LEGAL
value,MD,I-LEGAL
of,VB,O
the,DT,O
building,JJ,O
it,NN,O
has,IN,O
also,DT,O
been,NN,O
specifically,PRP,O
provided,VBZ,O
that,RB,O
this,VBN,O
would,RB,O
be,VBN,O
so,IN,O
notwithstanding,DT,O
anything,MD,O
contained,VB,O
in,RB,O
any,JJ,O
other,NN,O
law,VBN,O
for,IN,O
the,DT,O
time,JJ,O
being,NN,O
in,IN,O
force,DT,O
it,NN,O
appears,VBG,O
to,IN,O
us,NN,O
that,PRP,O
it,VBZ,O
would,TO,O
be,PRP,O
a,IN,O
proper,PRP,O
interpretation,MD,O
of,VB,O
the,DT,O
provisions,JJ,O
of,NN,O
clause,IN,O
b,DT,O
of,NNS,O
section,IN,O
138,NN,O
of,NN,O
the,IN,O
act,NN,O
to,CD,O
hold,IN,O
that,DT,O
in,NN,O
a,TO,O
case,VB,O
where,IN,O
the,IN,O
standard,DT,B-LEGAL
rent,NN,I-LEGAL
of,WRB,O
a,DT,O
building,JJ,O
has,NN,O
been,IN,O
fixed,DT,O
under,NN,O
section,VBZ,O
7,VBN,O
of,VBN,O
the,IN,O
madhya,NN,O
pradesh,CD,O
accommodation,IN,O
contract,DT,O
act,NN,O
and,JJ,O
there,NN,O
is,NN,O
nothing,NN,O
to,CC,O
show,EX,O
that,VBZ,O
there,NN,O
has,TO,O
been,VB,O
fraud,IN,O
or,EX,O
collusion,VBZ,O
that,VBN,O
would,NN,O
be,CC,O
its,NN,O
reasonable,WDT,O
letting,MD,B-LEGAL
value,VB,I-LEGAL
but,PRP$,O
where,JJ,O
this,NN,O
is,NN,O
not,CC,O
so,WRB,O
and,DT,O
the,VBZ,O
building,RB,O
has,RB,O
never,CC,O
been,DT,O
let,NN,O
out,VBZ,O
and,RB,O
is,VBN,O
being,VBN,O
used,RP,O
in,CC,O
a,VBZ,O
manner,VBG,O
where,VBN,O
the,IN,O
question,DT,O
of,NN,O
fixing,WRB,O
its,DT,O
standard,NN,B-LEGAL
rent,IN,I-LEGAL
does,VBG,O
not,PRP$,O
arise,JJ,O
it,NN,O
would,VBZ,O
be,RB,O
permissible,VB,O
to,PRP,O
fix,MD,O
its,VB,O
reasonable,JJ,O
rent,TO,O
without,VB,O
regard,PRP$,O
to,JJ,O
the,NN,O
provisions,IN,O
of,NN,O
the,TO,O
madhya,DT,O
pradesh,NNS,O
accommodation,IN,O
control,DT,O
act,NN,O
1961,JJ,O
this,NN,O
view,NN,O
will,NN,O
in,CD,O
our,DT,O
opinion,NN,O
give,MD,O
proper,IN,O
effect,PRP$,O
to,NN,O
the,VB,O
non,JJ,O
obstante,NN,O
clause,TO,O
in,DT,O
clause,NN,O
bwith,NN,O
due,NN,O
regard,IN,O
to,NN,O
its,NN,O
other,JJ,O
provision,NN,O
that,TO,O
the,PRP$,O
letting,JJ,B-LEGAL
value,NN,I-LEGAL
should,IN,O
be,DT,O
reasonable,VBG,O
16,NN,O
after,MD,O
referring,VB,O
to,JJ,O
padma,CD,O
devi,IN,O
s,VBG,O
case,TO,O
lic,VB,O
s,NN,O
case,JJ,O
and,NN,O
guntur,JJ,O
town,NN,O
rate,NN,O
payer,CC,O
s,JJ,O
case,NN,O
supra,NN,O
it,NN,O
was,NN,O
held,NN,O
in,VBD,O
that,PRP,O
case,VBD,O
that,VBN,O
the,IN,O
high,DT,O
court,NN,O
had,IN,O
not,DT,O
properly,JJ,O
appreciated,NN,O
the,VBD,O
difference,RB,O
between,RB,O
the,VBD,O
wording,DT,O
of,NN,O
section,IN,O
127,DT,O
of,NN,O
the,IN,O
calcutta,NN,O
municipal,CD,B-LEGAL
corporation,IN,I-LEGAL
act,DT,O
1923,NN,O
and,JJ,O
section,NN,O
138c,NN,O
of,CD,O
the,CC,O
madhya,NN,O
pradesh,CD,O
municipal,IN,B-LEGAL
corporation,DT,I-LEGAL
act,NN,O
1956,NN,O
and,JJ,O
thus,NN,O
committed,NN,O
an,CD,O
error,CC,O
in,RB,O
thinking,VBD,O
that,DT,O
the,NN,O
case,IN,O
was,VBG,O
virtually,IN,O
similar,DT,O
to,NN,O
padma,VBD,O
debi,RB,O
s,JJ,O
case,TO,O
17,VB,O
in,NN,O
diwan,NN,O
daulat,NN,O
rai,CD,O
s,IN,O
case,NN,O
supra,JJ,O
this,NN,O
court,NN,O
held,NN,O
that,VB,O
