shivaraj,NN,O
proviso,IN,O
to,JJ,O
section,NN,O
332b,VBN,O
it,TO,O
is,PRP,O
not,IN,O
correct,DT,O
to,NN,O
say,TO,O
that,NN,O
where,CD,O
the,PRP,O
order,VBZ,O
of,RB,O
discharge,JJ,B-LEGAL
or,TO,I-LEGAL
dismissal,VB,I-LEGAL
becomes,IN,O
inoperative,WRB,O
because,DT,O
of,NN,O
contravention,IN,B-LEGAL
of,NN,O
proviso,CC,O
to,NN,O
section,RB,O
332b,JJ,O
section,IN,O
33a,IN,O
would,NN,O
be,IN,O
meaningless,NN,O
and,TO,O
futile,NN,O
the,CD,O
said,NN,O
section,CD,O
has,MD,O
a,VB,O
definite,JJ,O
purpose,CC,O
to,JJ,O
serve,DT,O
as,VBD,O
already,NN,O
stated,VBZ,O
above,DT,O
enabling,JJ,O
an,NN,O
employee,TO,O
to,VB,O
make,IN,O
a,RB,O
complaint,VBN,O
if,IN,O
aggrieved,VBG,O
by,DT,O
the,NN,O
order,TO,O
of,VB,O
the,DT,O
approval,NN,O
granted,IN,O
15,VBN,O
the,IN,O
view,DT,O
that,NN,O
when,IN,O
no,DT,O
application,NN,O
is,VBD,O
made,CD,O
or,DT,O
the,NN,O
one,IN,O
made,WRB,O
is,DT,O
withdrawn,NN,O
there,VBZ,O
is,VBN,O
no,CC,O
order,DT,O
of,CD,O
refusal,NN,O
of,VBZ,O
such,VBN,O
application,EX,O
on,VBZ,O
merit,DT,O
and,NN,O
as,IN,O
such,NN,O
the,IN,O
order,JJ,O
of,NN,O
dismissal,IN,B-LEGAL
or,NN,O
discharge,CC,B-LEGAL
does,IN,O
not,JJ,O
become,DT,O
void,NN,O
or,IN,O
inoperative,NN,O
unless,CC,O
such,NN,O
an,VBZ,O
order,RB,O
is,VB,O
set,NN,O
aside,CC,O
under,JJ,O
section,IN,O
33a,PDT,O
cannot,DT,O
be,NN,O
accepted,VBZ,O
in,VBN,O
our,RB,O
view,IN,O
not,NN,O
making,CD,O
an,MD,O
application,RB,B-LEGAL
under,VB,I-LEGAL
section,VBN,O
332b,IN,O
seeking,PRP$,O
approval,NN,O
or,RB,O
withdrawing,VBG,O
an,DT,O
application,NN,O
once,IN,O
made,NN,O
before,CD,O
any,VBG,O
order,NN,O
is,CC,O
made,VBG,O
thereon,DT,O
is,NN,O
a,RB,O
clear,VBD,O
case,IN,O
of,DT,O
contravention,NN,B-LEGAL
of,VBZ,O
the,VBN,O
proviso,NN,O
to,VBZ,O
section,DT,O
332b,JJ,O
an,NN,O
employer,IN,O
who,NN,O
does,IN,O
not,DT,O
make,NN,O
an,TO,O
application,NN,B-LEGAL
under,CD,I-LEGAL
section,DT,O
332b,NN,O
or,WP,O
withdraws,VBZ,O
the,RB,O
one,VB,O
made,DT,O
cannot,NN,O
be,IN,O
rewarded,NN,O
by,CD,O
relieving,CC,O
him,VB,O
of,DT,O
the,CD,O
statutory,VBD,O
obligation,MD,O
created,RB,O
on,VB,O
him,VBN,O
to,IN,O
make,VBG,O
such,PRP,O
an,IN,O
application,DT,O
if,JJ,O
it,NN,O
is,VBN,O
so,IN,O
done,PRP,O
he,TO,O
will,VB,O
be,JJ,O
happier,DT,O
or,NN,O
more,IN,O
comfortable,PRP,O
than,VBZ,O
an,RB,O
employer,VBN,O
who,PRP,O
obeys,MD,O
the,VB,O
command,JJR,O
of,CC,O
law,RBR,O
and,JJ,O
makes,IN,O
an,DT,O
application,NN,O
inviting,WP,O
scrutiny,VBZ,O
of,DT,O
the,NN,O
authority,IN,O
in,NN,O
the,CC,O
matter,VBZ,O
of,DT,O
granting,NN,O
approval,VBG,O
of,NN,O
the,IN,O
action,DT,O
taken,NN,O
by,IN,O
him,DT,O
adherence,NN,O
to,IN,O
and,VBG,O
obedience,NN,O
of,IN,O
law,DT,O
should,NN,O
be,VBN,O
obvious,IN,O
and,PRP,O
necessary,NN,O
in,TO,O
a,CC,O
system,NN,O
governed,IN,O
by,NN,O
rule,MD,O
of,VB,O
law,JJ,O
an,CC,O
employer,JJ,O
by,IN,O
design,DT,O
can,NN,O
avoid,VBN,O
to,IN,O
make,NN,O
an,IN,O
application,NN,O
after,DT,O
dismissing,NN,O
or,IN,O
discharging,NN,O
an,MD,O
employee,VB,O
or,TO,O
file,VB,O
it,DT,O
and,NN,O
withdraw,IN,O
before,VBG,O
any,CC,O
order,VBG,O
is,DT,O
passed,NN,O
on,CC,O
it,NN,O
on,PRP,O
its,CC,O
merits,VB,O
to,IN,O
take,DT,O
a,NN,O
position,VBZ,O
that,VBN,O
such,IN,O
order,PRP,O
is,IN,O
not,PRP$,O
inoperative,NNS,O
or,TO,O
void,VB,O
till,DT,O
it,NN,O
is,IN,O
set,JJ,O
aside,NN,O
under,VBZ,O
section,RB,O
33a,JJ,O
notwithstanding,CC,O
the,JJ,O
contravention,NN,B-LEGAL
of,PRP,O
section,VBZ,O
332b,VBN,O
proviso,RB,O
driving,IN,O
the,NN,O
employee,CD,O
to,VBG,O
have,DT,O
recourse,NN,O
to,IN,O
one,NN,O
or,CD,O
more,NN,O
proceeding,VBG,O
by,DT,O
making,NN,O
a,TO,O
complaint,VB,B-LEGAL
under,NN,I-LEGAL
section,TO,O
33a,CD,O
or,CC,O
to,JJR,O
raise,NN,O
another,IN,O
industrial,VBG,B-LEGAL
dispute,DT,I-LEGAL
or,NN,O
to,IN,O
make,NN,O
a,CD,O
complaint,CC,B-LEGAL
under,TO,I-LEGAL
section,VB,O
311,DT,O
such,JJ,O
an,NN,O
approach,CC,O
destroys,TO,O
the,VB,O
protection,DT,O
specifically,NN,O
and,IN,O
expressly,NN,O
given,CD,O
to,PDT,O
an,DT,O
employee,NN,O
under,VBZ,O
the,DT,O
said,NN,O
proviso,RB,O
as,CC,O
against,RB,O
possible,VBN,O
victimization,TO,O
unfair,DT,B-LEGAL
labour,NN,I-LEGAL
practice,IN,I-LEGAL
or,DT,O
harassment,VBD,O
because,NN,O
of,IN,O
pendency,IN,B-LEGAL
of,JJ,I-LEGAL
industrial,NN,I-LEGAL
dispute,JJ,I-LEGAL
so,JJ,O
that,NN,O
an,CC,O
employee,NN,O
can,IN,O
be,IN,O
saved,NN,O
from,IN,O
hardship,JJ,O
of,NN,O
unemployment,RB,O
16,IN,O
section,DT,O
31,NN,O
speaks,MD,O
of,VB,O
penalty,VBN,O
in,IN,O
respect,NN,O
of,IN,O
the,NN,O
offences,CD,O
stated,NN,O
therein,CD,O
this,NNS,O
provision,IN,O
is,NN,O
not,IN,O
intended,NN,O
to,IN,O
give,DT,O
any,NNS,O
remedy,VBD,O
to,RB,O
an,DT,O
aggrieved,NN,O
employee,VBZ,O
it,RB,O
is,VBN,O
only,TO,O
to,VB,O
punish,DT,O
the,NN,O
offender,TO,O
the,DT,O
argument,VBN,O
that,NN,O
section,PRP,O
31,VBZ,O
provides,RB,O
a,TO,O
remedy,VB,O
to,DT,O
an,NN,O
employee,DT,O
for,NN,O
contravention,IN,B-LEGAL
of,NN,O
section,CD,O
33,VBZ,O
is,DT,O
unacceptable,NN,O
merely,TO,O
because,DT,O
penal,NN,O
provision,IN,O
is,NN,O
available,IN,O
or,NN,O
a,CD,O
workman,VBZ,O
has,JJ,O
a,RB,O
further,IN,O
remedy,JJ,B-LEGAL
under,NN,I-LEGAL
section,VBZ,O
33a,JJ,O
to,CC,O
challenge,DT,O
the,NN,O
approval,VBZ,O
granted,DT,O
it,JJ,O
cannot,NN,O
be,IN,O
said,NN,O
that,CD,O
the,TO,O
order,VB,O
of,DT,O
discharge,NN,B-LEGAL
or,VBD,I-LEGAL
dismissal,PRP,I-LEGAL
not,MD,O
become,RB,O
inoperative,VB,O
or,VBD,O
invalid,IN,O
unless,DT,O
set,NN,O
aside,IN,O
under,NN,O
section,CC,O
33a,NN,O
there,RB,O
is,VB,O
nothing,JJ,O
in,CC,O
section,JJ,O
31,IN,O
33,VBN,O
and,RP,O
33a,IN,O
to,NN,O
suggest,CD,O
otherwise,EX,O
even,VBZ,O
reading,NN,O
them,IN,O
together,NN,O
in,CD,O
the,CD,O
context,CC,O
these,CD,O
sections,TO,O
are,VB,O
intended,RB,O
to,RB,O
serve,VBG,O
different,PRP,O
purposes,RB,O
17,IN,O
as,DT,O
already,NN,O
noticed,DT,O
above,NNS,O
the,VBP,O
constitution,VBN,O
bench,TO,O
of,VB,O
this,JJ,O
court,NNS,O
in,CD,O
ph,IN,O
kalyani,RB,O
v,VBN,O
air,IN,O
france,DT,O
calcutta,NN,O
has,NN,O
referred,IN,O
to,DT,O
strawboard,NN,O
manufacturing,IN,O
co,NN,O
v,NN,O
gobind,NNP,O
and,NN,O
approved,NN,O
the,NN,O
view,VBZ,O
taken,VBN,O
in,TO,O
the,VB,O
said,NN,O
decision,NN,O
as,NN,O
regards,NN,O
the,CC,O
requirements,VBD,O
of,DT,O
the,NN,O
proviso,VBN,O
to,IN,O
section,DT,O
332b,VBD,O
unfortunately,NN,O
in,IN,O
punjab,NNS,O
beverages,DT,O
pvt,NNS,O
ltd,IN,O
v,DT,O
suresh,NN,O
chand,TO,O
the,NN,O
earlier,CD,O
two,RB,O
cases,IN,O
of,NN,O
strawboard,NNS,O
and,VBP,O
tata,JJ,O
iron,NN,O
steel,JJ,O
co,NN,O
were,DT,O
not,JJR,O
noticed,CD,O
touching,NNS,O
the,IN,O
question,NN,O
it,CC,O
is,NN,O
true,NN,O
that,NN,O
in,NNS,O
s,VBD,O
ganapathi,RB,O
and,VBN,O
ors,VBG,O
v,DT,O
air,NN,O
india,PRP,O
and,VBZ,O
anr,JJ,O
there,IN,O
is,IN,O
no,JJ,O
reference,NN,O
to,CC,O
punjab,NNS,O
beverages,VBP,O
but,NN,O
the,NN,O
view,CC,O
taken,NN,O
in,EX,O
two,VBZ,O
earlier,DT,O
decisions,NN,O
of,TO,O
strawboard,VB,O
and,NNS,O
tata,CC,O
iron,DT,O
steel,NN,O
co,VBN,O
is,IN,O
followed,CD,O
on,JJR,O
the,NNS,O
question,IN,O
and,NN,O
rightly,CC,O
so,NN,O
in,NN,O
our,NN,O
opinion,NN,O
18,VBZ,O
in,VBN,O
view,IN,O
of,DT,O
what,NN,O
is,CC,O
stated,RB,O
above,RB,O
we,IN,O
respectfully,PRP$,O
agree,NN,O
with,CD,O
and,IN,O
endorse,NN,O
the,IN,O
view,WP,O
taken,VBZ,O
in,VBN,O
the,IN,O
case,PRP,O
of,RB,O
strawboard,VBP,O
and,IN,O
tata,CC,O
iron,VB,O
steel,DT,O
co,NN,O
and,VBN,O
further,IN,O
state,DT,O
that,NN,O
the,IN,O
view,NN,O
expressed,CC,O
in,NN,O
punjab,NN,O
beverages,NN,O
on,NNS,O
the,CC,O
question,JJ,O
is,NN,O
not,IN,O
the,DT,O
correct,NN,O
view,VBN,O
the,IN,O
question,NN,O
raised,NNS,O
in,IN,O
the,DT,O
beginning,NN,O
of,VBZ,O
this,RB,O
judgment,DT,O
is,JJ,O
answered,NN,O
accordingly,DT,O
19,NN,O
in,VBN,O
these,IN,O
appeals,DT,O
respondent,NN,O
no,IN,O
1,DT,O
was,NN,O
employed,VBZ,O
as,VBN,O
clerk,RB,O
cum,CD,O
cashier,IN,O
with,DT,O
the,NNS,O
appellant,VBD,O
he,DT,O
was,CD,O
dismissed,VBD,O
from,VBN,O
service,IN,O
as,NN,O
certain,NN,O
proceedings,NN,O
were,IN,O
pending,DT,O
before,NN,O
the,PRP,O
industrial,VBD,B-LEGAL
tribunal,VBN,I-LEGAL
jaipur,IN,O
an,NN,O
application,IN,O
seeking,JJ,O
approval,NNS,O
of,VBD,O
the,VBG,O
tribunal,IN,O
for,DT,O
the,JJ,O
said,JJ,O
dismissal,NN,B-LEGAL
was,DT,O
submitted,NN,O
by,VBG,O
the,NN,O
appellant,IN,O
before,DT,O
the,NN,O
tribunal,IN,O
under,DT,O
section,VBD,O
332b,NN,O
the,VBD,O
said,VBN,O
application,IN,O
was,DT,O
contested,NN,O
on,IN,O
various,DT,O
grounds,JJ,O
by,IN,O
the,NN,O
respondent,CD,O
including,DT,O
that,VBD,O
the,NN,O
appellant,VBD,O
bank,VBN,O
had,IN,O
failed,JJ,O
to,NNS,O
comply,IN,O
with,DT,O
the,NN,O
provisions,VBG,O
of,IN,O
section,DT,O
332b,JJ,O
as,NN,O
salary,VBD,O
for,VBN,O
one,TO,O
month,VB,O
was,IN,O
not,DT,O
paid,NNS,O
the,IN,O
tribunal,NN,O
on,CD,O
facts,IN,O
found,NN,O
that,IN,O
the,CD,O
appellant,NN,O
failed,VBD,O
to,RB,O
comply,VBN,O
with,DT,O
the,NN,O
provisions,IN,O
of,NNS,O
section,VBN,O
332b,IN,O
and,DT,O
in,NN,O
that,VBD,O
view,TO,O
dismissed,VB,O
the,IN,O
application,DT,O
the,NNS,O
appellant,IN,O
challenged,NN,O
the,CD,O
order,CC,O
of,IN,O
the,DT,O
tribunal,NN,O
before,VBD,O
the,DT,O
high,NN,O
court,DT,O
in,NN,O
writ,VBD,O
petition,DT,O
no,NN,O
666,IN,O
of,DT,O
1980,JJ,O
the,IN,O
same,DT,O
was,JJ,O
dismissed,NN,O
concurring,IN,O
with,NN,O
the,NN,O
order,DT,O
passed,CD,O
by,IN,O
the,CD,O
tribunal,DT,O
20,JJ,O
in,VBD,O
the,VBN,O
view,VBG,O
we,IN,O
have,DT,O
taken,NN,O
the,VBN,O
contentions,IN,O
raised,DT,O
in,JJ,O
these,CD,O
appeals,IN,O
do,DT,O
not,NN,O
help,PRP,O
the,VBP,O
appellant,VBN,O
we,DT,O
find,NNS,O
no,VBN,O
merit,IN,O
in,DT,O
these,NNS,O
appeals,VBP,O
consequently,RB,O
these,VB,O
are,DT,O
dismissed,NN,O
no,PRP,O
costs,VBP,O
