js,NN,O
1461992,CD,O
were,VBD,O
assailed,VBN,O
by,IN,O
the,DT,O
former,JJ,O
through,IN,O
a,DT,O
bunch,NN,O
of,IN,O
original,JJ,O
applications,NNS,O
filed,VBN,O
before,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
the,DT,O
afore,NN,O
stated,VBD,O
batch,NN,O
of,IN,O
original,JJ,O
applications,NNS,O
came,VBD,O
to,TO,O
be,VB,O
dismissed,VBN,O
by,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,JJ,O
vide,NN,O
order,NN,O
dated,VBD,O
2492004,CD,O
the,DT,O
applicants,NNS,O
before,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
therefore,NN,O
approached,VBD,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
judicature,NN,O
andhra,NN,O
pradesh,NN,O
at,IN,O
hyderabad,NN,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
high,JJ,O
court,NN,O
by,IN,O
filing,VBG,O
a,DT,O
series,NN,O
of,IN,O
writ,JJ,O
petitions,NNS,O
the,DT,O
writ,NN,O
petitions,NNS,O
came,VBD,O
to,TO,O
be,VB,O
dismissed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
by,IN,O
a,DT,O
common,JJ,O
order,NN,O
dated,VBD,O
822005,CD,O
the,DT,O
determination,NN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
upholding,VBG,O
the,DT,O
orders,NNS,O
passed,VBN,O
by,IN,O
the,DT,O
state,NN,O
government,NN,O
as,IN,O
also,RB,O
the,DT,O
orders,NNS,O
passed,VBN,O
by,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
are,VBP,O
subject,JJ,O
matter,NN,O
of,IN,O
challenge,NN,O
in,IN,O
the,DT,O
instant,JJ,O
batch,NN,O
of,IN,O
appeals,NNS,O
since,IN,O
the,DT,O
issue,NN,O
which,WDT,O
is,VBZ,O
subject,JJ,O
matter,NN,O
of,IN,O
challenge,NN,O
is,VBZ,O
common,JJ,O
we,PRP,O
propose,VBP,O
to,TO,O
dispose,VB,O
of,IN,O
the,DT,O
same,JJ,O
by,IN,O
a,DT,O
common,JJ,O
order,NN,O
in,IN,O
the,DT,O
same,JJ,O
fashion,NN,O
as,IN,O
the,DT,O
controversy,NN,O
was,VBD,O
determined,VBN,O
originally,RB,O
by,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
and,CC,O
subsequently,RB,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
14,CD,O
the,DT,O
solitary,JJ,O
issue,NN,O
that,WDT,O
arises,VBZ,O
for,IN,O
consideration,NN,O
at,IN,O
our,PRP$,O
hands,NNS,O
is,VBZ,O
whether,IN,O
the,DT,O
candidates,NNS,O
selected,VBN,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
issued,VBN,O
by,IN,O
the,DT,O
recruitment,NN,O
board,NN,O
constitute,VB,O
one,CD,O
batch,NN,O
or,CC,O
whether,IN,O
they,PRP,O
constitute,VBP,O
two,CD,O
batches,NNS,O
of,IN,O
candidates,NNS,O
based,VBN,O
on,IN,O
the,DT,O
separate,JJ,O
dates,NNS,O
when,WRB,O
they,PRP,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,VBG,O
the,DT,O
contention,NN,O
advanced,VBD,O
at,IN,O
the,DT,O
hands,NNS,O
of,IN,O
the,DT,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
appellants,NNS,O
before,IN,O
this,DT,O
court,NN,O
was,VBD,O
that,IN,O
the,DT,O
selected,VBN,O
candidates,NNS,O
are,VBP,O
liable,JJ,O
to,TO,O
be,VB,O
treated,VBN,O
as,IN,O
two,CD,O
batches,NNS,O
of,IN,O
candidates,NNS,O
the,DT,O
first,JJ,O
batch,NN,O
according,VBG,O
to,TO,O
the,DT,O
appellants,NNS,O
was,VBD,O
the,DT,O
batch,NN,O
of,IN,O
candidates,NNS,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
1571991,CD,O
and,CC,O
the,DT,O
second,JJ,O
batch,NN,O
according,VBG,O
to,TO,O
the,DT,O
appellants,NNS,O
would,MD,O
comprise,VB,O
of,IN,O
candidates,NNS,O
who,WP,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
1461992,CD,O
15,CD,O
as,IN,O
against,IN,O
the,DT,O
challenge,NN,O
raised,VBN,O
at,IN,O
the,DT,O
hands,NNS,O
of,IN,O
the,DT,O
appellants,NNS,O
through,IN,O
their,PRP$,O
learned,JJ,O
counsel,NN,O
it,PRP,O
was,VBD,O
the,DT,O
submission,NN,O
of,IN,O
the,DT,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
respondents,NNS,O
that,IN,O
only,RB,O
one,CD,O
selection,NN,O
process,NN,O
was,VBD,O
conducted,VBN,O
in,IN,O
furtherance,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
by,IN,O
the,DT,O
recruitment,NN,O
board,NN,O
out,IN,O
of,IN,O
the,DT,O
same,JJ,O
selection,NN,O
list,NN,O
candidates,NNS,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,VBG,O
firstly,RB,O
on,IN,O
1571991,CD,O
and,CC,O
thereafter,RB,O
on,IN,O
1461992,CD,O
it,PRP,O
was,VBD,O
the,DT,O
submission,NN,O
of,IN,O
the,DT,O
learned,JJ,O
counsel,NN,O
representing,VBG,O
the,DT,O
private,JJ,O
respondents,NNS,O
and,CC,O
supported,VBN,O
by,IN,O
the,DT,O
learned,JJ,O
counsel,NN,O
representing,VBG,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
that,IN,O
bifurcation,NN,O
of,IN,O
candidates,NNS,O
into,IN,O
two,CD,O
different,JJ,O
trainee,NN,O
groups,NNS,O
would,MD,O
not,RB,O
result,VB,O
in,IN,O
their,PRP$,O
being,VBG,O
described,VBN,O
as,IN,O
two,CD,O
batches,NNS,O
of,IN,O
candidates,NNS,O
the,DT,O
submission,NN,O
was,VBD,O
that,IN,O
all,PDT,O
these,DT,O
candidates,NNS,O
having,VBG,O
been,VBN,O
selected,VBN,O
for,IN,O
appointment,NN,B-LEGAL
in,IN,O
furtherance,NN,O
of,IN,O
a,DT,O
common,JJ,O
selection,NN,O
process,NN,O
conducted,VBN,O
by,IN,O
the,DT,O
recruitment,NN,O
board,NN,O
they,PRP,O
were,VBD,O
liable,JJ,O
to,TO,O
be,VB,O
treated,VBN,O
as,IN,O
a,DT,O
single,JJ,O
batch,NN,O
of,IN,O
candidates,NNS,O
16,CD,O
we,PRP,O
will,MD,O
venture,NN,O
to,TO,O
determine,VB,O
the,DT,O
controversy,NN,O
in,IN,O
hand,NN,O
by,IN,O
adopting,VBG,O
a,DT,O
three,CD,O
step,NN,O
consideration,NN,O
process,NN,O
we,PRP,O
shall,MD,O
thereupon,VB,O
record,VB,O
our,PRP$,O
conclusion,NN,O
consideration,NN,O
one,CD,O
we,PRP,O
shall,MD,O
in,IN,O
the,DT,O
first,JJ,O
instance,NN,O
examine,VB,O
the,DT,O
seniority,NN,B-LEGAL
position,NN,O
only,RB,O
with,IN,O
respect,NN,O
to,TO,O
munuswamy,VB,O
the,DT,O
name,NN,O
of,IN,O
munuswamy,NN,O
was,VBD,O
included,VBN,O
in,IN,O
the,DT,O
list,NN,O
of,IN,O
selected,VBN,O
candidates,NNS,O
issued,VBN,O
by,IN,O
the,DT,O
director,NN,O
general,JJ,O
inspector,NN,O
general,NN,O
of,IN,O
police,NN,O
andhra,NN,O
pradesh,NN,O
hyderabad,NN,O
vide,IN,O
letter,NN,O
dated,VBD,O
1141991,CD,O
751991,CD,O
it,PRP,O
is,VBZ,O
not,RB,O
a,DT,O
matter,NN,O
of,IN,O
dispute,NN,O
that,IN,O
the,DT,O
aforesaid,NN,O
munuswamy,NN,O
was,VBD,O
originally,RB,O
deputed,VBN,O
for,IN,O
training,NN,O
at,IN,O
the,DT,O
police,NN,O
training,VBG,O
college,NN,O
on,IN,O
1571991,CD,O
munuswamy,NNS,O
however,RB,O
could,MD,O
not,RB,O
complete,VB,O
his,PRP$,O
training,NN,O
on,IN,O
account,NN,O
of,IN,O
the,DT,O
fact,NN,O
that,IN,O
he,PRP,O
did,VBD,O
not,RB,O
participate,VB,O
in,IN,O
the,DT,O
examination,NN,O
conducted,VBN,O
at,IN,O
the,DT,O
end,NN,O
of,IN,O
the,DT,O
training,NN,O
due,JJ,O
to,TO,O
personal,JJ,O
reasons,NNS,O
the,DT,O
aforesaid,NN,O
munuswamy,NN,O
was,VBD,O
allowed,VBN,O
to,TO,O
complete,VB,O
his,PRP$,O
training,NN,O
along,IN,O
with,IN,O
the,DT,O
batch,NN,O
of,IN,O
candidates,NNS,O
deputed,VBN,O
for,IN,O
training,NN,O
in,IN,O
the,DT,O
succeeding,VBG,O
batch,NN,O
on,IN,O
1461992,CD,O
the,DT,O
above,JJ,O
factual,JJ,O
position,NN,O
which,WDT,O
was,VBD,O
duly,RB,O
taken,VBN,O
into,IN,O
consideration,NN,O
by,IN,O
the,DT,O
administrative,JJ,B-LEGAL
tribunal,NN,O
and,CC,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
was,VBD,O
not,RB,O
disputed,VBN,O
during,IN,O
the,DT,O
course,NN,O
of,IN,O
hearing,VBG,O
before,IN,O
us,PRP,O
the,DT,O
question,NN,O
which,WDT,O
arises,VBZ,O
for,IN,O
our,PRP$,O
consideration,NN,O
is,VBZ,O
whether,IN,O
munuswamy,NN,O
would,MD,O
be,VB,O
entitled,VBN,O
to,TO,O
be,VB,O
included,VBN,O
in,IN,O
the,DT,O
seniority,NN,B-LEGAL
list,NN,O
along,IN,O
with,IN,O
the,DT,O
batch,NN,O
of,IN,O
candidates,NNS,O
with,IN,O
whom,WP,O
he,PRP,O
was,VBD,O
originally,RB,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
1571991,CD,O
or,CC,O
with,IN,O
the,DT,O
batch,NN,O
of,IN,O
candidates,NNS,O
who,WP,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,VBG,O
thereafter,RB,O
on,IN,O
1461992,CD,O
having,VBG,O
given,VBN,O
our,PRP$,O
thoughtful,JJ,O
consideration,NN,O
and,CC,O
keeping,VBG,O
in,IN,O
mind,NN,O
the,DT,O
basic,JJ,O
principle,NN,O
underlying,VBG,O
the,DT,O
relevant,JJ,O
proviso,NN,O
to,TO,O
rule,VB,O
15,CD,O
extracted,VBN,O
at,IN,O
the,DT,O
beginning,NN,O
of,IN,O
this,DT,O
judgment,NN,O
we,PRP,O
are,VBP,O
of,IN,O
the,DT,O
considered,VBN,O
view,NN,O
that,IN,O
the,DT,O
mandate,NN,O
for,IN,O
the,DT,O
determination,NN,O
of,IN,O
seniority,NN,B-LEGAL
under,IN,O
the,DT,O
aforesaid,NN,O
proviso,NN,O
is,VBZ,O
to,TO,O
the,DT,O
following,JJ,O
effect,NN,O
firstly,RB,O
inter,RB,O
se,JJ,O
seniority,NN,B-LEGAL
of,IN,O
sub,JJ,O
inspectors,NNS,O
of,IN,O
police,NN,O
is,VBZ,O
not,RB,O
to,TO,O
be,VB,O
determined,VBN,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
merit,NN,O
list,NN,O
drawn,VBN,O
up,RP,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
their,PRP$,O
selection,NN,O
and,CC,O
secondly,RB,O
inter,JJ,O
se,JJ,O
seniority,NN,B-LEGAL
of,IN,O
sub,JJ,O
inspectors,NNS,O
of,IN,O
police,NN,O
has,VBZ,O
to,TO,O
be,VB,O
determined,VBN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
aggregate,NN,O
of,IN,O
marks,NNS,O
obtained,VBN,O
by,IN,O
each,DT,O
probationer,NN,B-LEGAL
at,IN,O
the,DT,O
final,JJ,O
examination,NN,O
on,IN,O
the,DT,O
conclusion,NN,O
of,IN,O
their,PRP$,O
training,NN,O
at,IN,O
the,DT,O
police,NN,O
training,NN,O
colleges,NNS,O
insofar,RB,O
as,IN,O
the,DT,O
aforesaid,NN,O
munuswamy,NN,O
is,VBZ,O
concerned,VBN,O
it,PRP,O
is,VBZ,O
not,RB,O
open,JJ,O
to,TO,O
the,DT,O
candidates,NNS,O
deputed,VBD,O
for,IN,O
training,NN,O
in,IN,O
the,DT,O
first,JJ,O
instance,NN,O
to,TO,O
contend,VB,O
that,DT,O
though,IN,O
munuswamy,JJ,O
s,NN,O
name,NN,O
was,VBD,O
included,VBN,O
in,IN,O
the,DT,O
list,NN,O
of,IN,O
provisionally,RB,O
selected,VBN,O
candidates,NNS,O
issued,VBN,O
on,IN,O
1141991,CD,O
751991,CD,O
his,PRP$,O
seniority,NN,B-LEGAL
ought,MD,O
to,TO,O
be,VB,O
determined,VBN,O
along,IN,O
with,IN,O
the,DT,O
candidates,NNS,O
deputed,VBD,O
for,IN,O
training,NN,O
later,NN,O
it,PRP,O
is,VBZ,O
apparent,JJ,O
that,WDT,O
insofar,VBZ,O
as,IN,O
the,DT,O
munuswamy,NN,O
is,VBZ,O
concerned,VBN,O
since,IN,O
his,PRP$,O
name,NN,O
was,VBD,O
included,VBN,O
amongst,IN,O
the,DT,O
names,NNS,O
of,IN,O
candidates,NNS,O
provisionally,RB,O
selected,VBN,O
as,IN,O
sub,JJ,O
inspectors,NNS,O
of,IN,O
police,NNS,O
vide,IN,O
letter,NN,O
dated,VBD,O
1141991,CD,O
751991,CD,O
those,DT,O
deputed,VBN,O
for,IN,O
training,VBG,O
vide,IN,O
the,DT,O
same,JJ,O
letter,NN,O
dated,VBD,O
1141991,CD,O
751991,CD,O
can,MD,O
not,RB,O
be,VB,O
permitted,VBN,O
to,TO,O
contend,VB,O
that,IN,O
his,PRP$,O
seniority,NN,B-LEGAL
cannot,MD,O
be,RB,O
determined,VB,O
alongwith,VBN,O
them,IN,O
the,PRP,O
above,DT,O
mentioned,NN,O
course,VBD,O
suggested,NN,O
by,VBN,O
the,IN,O
learned,DT,O
counsel,JJ,O
for,NN,O
the,IN,O
appellants,DT,O
is,NNS,O
not,VBZ,O
open,RB,O
because,JJ,O
the,IN,O
same,DT,O
would,JJ,O
give,MD,O
primacy,VB,O
to,NN,O
something,TO,O
beyond,NN,O
the,IN,O
purview,DT,O
of,NN,O
the,IN,O
proviso,DT,O
to,NN,O
the,TO,O
rule,DT,O
in,NN,O
question,IN,O
we,NN,O
have,PRP,O
no,VBP,O
doubt,DT,O
in,NN,O
our,IN,O
mind,PRP$,O
that,NN,O
munuswamy,IN,O
must,JJ,O
figure,MD,O
in,VB,O
the,IN,O
seniority,DT,B-LEGAL
list,NN,O
along,NN,O
with,IN,O
those,IN,O
deputed,DT,O
for,VBN,O
training,IN,O
on,VBG,O
1571991,IN,O
for,CD,O
the,IN,O
simple,DT,O
reason,JJ,O
that,NN,O
his,IN,O
name,PRP$,O
existed,NN,O
in,VBD,O
the,IN,O
list,DT,O
of,NN,O
names,IN,O
including,NNS,O
the,VBG,O
appellants,DT,O
deputed,NNS,O
for,VBN,O
training,IN,O
vide,VBG,O
letter,JJ,O
dated,NN,O
1141991,VBD,O
751991,CD,O
there,CD,O
can,EX,O
therefore,MD,O
be,RB,O
no,VB,O
doubt,DT,O
whatsoever,NN,O
that,IN,O
insofar,DT,O
as,NN,O
munuswamy,IN,O
is,NN,O
concerned,VBZ,O
even,VBN,O
though,RB,O
he,IN,O
completed,PRP,O
his,VBD,O
training,PRP$,O
in,NN,O
the,IN,O
course,DT,O
which,NN,O
commenced,WDT,O
from,VBD,O
1461992,IN,O
his,CD,O
position,PRP$,O
in,NN,O
the,IN,O
inter,DT,O
se,NN,O
seniority,NN,B-LEGAL
list,NN,O
was,NN,O
bound,VBD,O
to,VBN,O
be,TO,O
reflected,VB,O
alongwith,VBN,O
those,IN,O
with,DT,O
whom,IN,O
he,WP,O
was,PRP,O
deputed,VBD,O
for,VBN,O
training,IN,O
according,VBG,O
to,VBG,O
the,TO,O
aggregate,DT,O
of,NN,O
marks,IN,O
obtained,NNS,O
by,VBN,O
him,IN,O
on,PRP,O
the,IN,O
completion,DT,O
of,NN,O
his,IN,O
training,PRP$,O
at,NN,O
the,IN,O
police,DT,O
training,NN,O
college,VBG,O
in,NN,O
terms,IN,O
of,NNS,O
rule,IN,O
15,NN,O
consideration,CD,O
two,NN,O
insofar,CD,O
as,NN,O
this,IN,O
step,DT,O
is,NN,O
concerned,VBZ,O
we,VBN,O
shall,PRP,O
exclusively,MD,O
take,RB,O
into,VB,O
consideration,IN,O
the,NN,O
manner,DT,O
of,NN,O
determination,IN,O
of,NN,O
seniority,IN,B-LEGAL
of,NN,O
candidates,IN,O
appointed,NNS,O
as,VBN,O
sub,IN,O
inspectors,JJ,O
of,NNS,O
police,IN,O
against,NN,O
the,IN,O
vacancies,DT,O
belonging,NNS,O
to,VBG,O
the,TO,O
pe,DT,O
pm,NN,O
and,NN,O
sp,CC,O
quotas,NN,O
consequent,NNS,O
upon,JJ,O
the,IN,O
directions,DT,O
issued,NNS,O
by,VBN,O
the,IN,O
administrative,DT,B-LEGAL
tribunal,JJ,O
dated,NN,O
3071991,VBD,O
while,CD,O
disposing,IN,O
of,VBG,O
original,IN,O
application,JJ,O
no,NN,O
29957,DT,O
of,CD,O
1991,IN,O
in,CD,O
this,IN,O
behalf,DT,O
it,NN,O
is,PRP,O
relevant,VBZ,O
to,JJ,O
mention,TO,O
that,VB,O
the,IN,O
vacancies,DT,O
falling,NNS,O
to,VBG,O
each,TO,O
of,DT,O
the,IN,O
aforesaid,DT,O
quotas,NN,O
was,NN,O
found,VBD,O
to,VBN,O
have,TO,O
been,VB,O
incorrectly,VBN,O
determined,RB,O
by,VBN,O
the,IN,O
state,DT,O
government,NN,O
while,NN,O
making,IN,O
appointments,VBG,O
in,NNS,O
furtherance,IN,O
of,NN,O
the,IN,O
notification,DT,O
dated,NN,O
2211991,VBD,O
the,CD,O
administrative,DT,B-LEGAL
tribunal,JJ,O
accordingly,JJ,O
directed,RB,O
the,VBD,O
state,DT,O
government,NN,O
to,NN,O
re,TO,O
calculate,VB,O
the,VB,O
strength,DT,O
of,NN,O
the,IN,O
said,DT,O
quotas,VBD,O
and,NNS,O
to,CC,O
make,TO,O
appointments,VB,O
it,NNS,O
is,PRP,O
not,VBZ,O
a,RB,O
matter,DT,O
of,NN,O
dispute,IN,O
that,NN,O
consequent,WDT,O
upon,JJ,O
the,IN,O
determination,DT,O
of,NN,O
the,IN,O
administrative,DT,B-LEGAL
tribunal,JJ,O
the,NN,O
quotas,DT,O
with,NNS,O
reference,IN,O
to,NN,O
the,TO,O
aforesaid,DT,O
cadres,NN,O
which,VBZ,O
had,WDT,O
wrongly,VBD,O
been,RB,O
determined,VBN,O
for,VBN,O
each,IN,O
of,DT,O
the,IN,O
zones,DT,O
were,NNS,O
re,VBD,O
calculated,RB,O
the,VBN,O
state,DT,O
government,NN,O
on,NN,O
re,IN,O
calculation,JJ,O
of,NN,O
the,IN,O
vacancy,DT,O
position,NN,O
with,NN,O
reference,IN,O
to,NN,O
the,TO,O
pe,DT,O
pm,NN,O
and,NN,O
sp,CC,O
quotas,NN,O
appointed,NNS,O
candidates,VBN,O
from,NNS,O
the,IN,O
aforesaid,DT,O
quotas,NN,O
out,NNS,O
of,IN,O
the,IN,O
selection,DT,O
process,NN,O
conducted,NN,O
by,VBN,O
the,IN,O
recruitment,DT,O
board,NN,O
in,NN,O
furtherance,IN,O
of,NN,O
the,IN,O
notification,DT,O
dated,NN,O
2211991,VBD,O
thereupon,CD,O
they,IN,O
were,PRP,O
deputed,VBD,O
for,VBN,O
training,IN,O
on,VBG,O
1461992,IN,O
it,CD,O
is,PRP,O
therefore,VBZ,O
apparent,RB,O
that,JJ,O
had,WDT,O
the,VBD,O
quotas,DT,O
been,NNS,O
correctly,VBN,O
determined,RB,O
by,VBN,O
the,IN,O
state,DT,O
government,NN,O
these,NN,O
candidates,DT,O
would,NNS,O
have,MD,O
been,VB,O
originally,VBN,O
appointed,RB,O
along,VBN,O
with,IN,O
others,IN,O
when,NNS,O
the,WRB,O
letter,DT,O
dated,NN,O
1141991,VBD,O
751991,CD,O
was,CD,O
issued,VBD,O
by,VBN,O
the,IN,O
director,DT,O
general,NN,O
inspector,JJ,O
general,NN,O
of,NN,O
police,IN,O
andhra,NN,O
pradesh,NN,O
hyderabad,NN,O
in,NN,O
the,IN,O
above,DT,O
eventuality,JJ,O
they,NN,O
would,PRP,O
have,MD,O
been,VB,O
deputed,VBN,O
for,VBN,O
training,IN,O
in,NN,O
the,IN,O
very,DT,O
first,RB,O
instance,JJ,O
on,NN,O
1571991,IN,O
for,CD,O
no,IN,O
fault,DT,O
of,NN,O
theirs,IN,O
despite,JJ,O
their,IN,O
selection,PRP$,O
in,NN,O
the,IN,O
same,DT,O
recruitment,JJ,O
process,NN,O
which,NN,O
was,WDT,O
conducted,VBD,O
in,VBN,O
furtherance,IN,O
of,NN,O
the,IN,O
notification,DT,O
dated,NN,O
2211991,VBD,O
they,CD,O
were,PRP,O
deputed,VBD,O
for,VBN,O
training,IN,O
on,VBG,O
1461992,IN,O
the,CD,O
delay,DT,O
in,NN,O
deputing,IN,O
the,VBG,O
candidates,DT,O
belonging,NNS,O
to,VBG,O
pe,TO,O
pm,VB,O
and,NN,O
sp,CC,O
quotas,NN,O
squarely,NNS,O
falls,RB,O
on,VBZ,O
the,IN,O
appointing,DT,B-LEGAL
authority,VBG,I-LEGAL
and,NN,O
not,CC,O
on,RB,O
the,IN,O
candidates,DT,O
who,NNS,O
were,WP,O
subsequently,VBD,O
deputed,RB,O
for,VBN,O
training,IN,O
from,NN,O
the,IN,O
pe,DT,O
pm,NN,O
and,NN,O
sp,CC,O
quotas,NN,O
for,NNS,O
exactly,IN,O
the,RB,O
same,DT,O
reason,JJ,O
as,NN,O
had,IN,O
been,VBD,O
depicted,VBN,O
under,VBN,O
consideration,IN,O
one,NN,O
above,CD,O
we,IN,O
are,PRP,O
of,VBP,O
the,IN,O
view,DT,O
that,NN,O
those,IN,O
deputed,DT,O
for,VBN,O
training,IN,O
against,NN,O
the,IN,O
pe,DT,O
pm,NN,O
and,NN,O
sp,CC,O
quotas,NN,O
on,NNS,O
1461992,IN,O
being,CD,O
not,VBG,O
in,RB,O
any,IN,O
manner,DT,O
responsible,NN,O
for,JJ,O
their,IN,O
not,PRP$,O
having,RB,O
been,VBG,O
deputed,VBN,O
along,VBN,O
with,IN,O
the,IN,O
originally,DT,O
selected,RB,O
candidates,VBN,O
on,NNS,O
1571991,IN,O
are,CD,O
liable,VBP,O
to,JJ,O
a,TO,O
fixation,DT,O
in,NN,O
the,IN,O
seniority,DT,B-LEGAL
list,NN,O
in,NN,O
exactly,IN,O
the,RB,O
same,DT,O
manner,JJ,O
as,NN,O
munuswamy,IN,O
this,NN,O
is,DT,O
liable,VBZ,O
to,JJ,O
be,TO,O
done,VB,O
in,VBN,O
terms,IN,O
of,NNS,O
the,IN,O
mandate,DT,O
of,NN,O
the,IN,O
relevant,DT,O
proviso,JJ,O
to,NN,O
rule,TO,O
15,VB,O
aforementioned,CD,O
by,VBN,O
interspersing,IN,O
them,VBG,O
along,PRP,O
with,IN,O
those,IN,O
included,DT,O
in,VBN,O
the,IN,O
original,DT,O
seniority,JJ,B-LEGAL
list,NN,O
by,NN,O
determining,IN,O
their,VBG,O
position,PRP$,O
on,NN,O
the,IN,O
basis,DT,O
of,NN,O
the,IN,O
aggregate,DT,O
marks,NN,O
obtained,NNS,O
by,VBN,O
them,IN,O
in,PRP,O
the,IN,O
final,DT,O
examination,JJ,O
at,NN,O
the,IN,O
conclusion,DT,O
of,NN,O
their,IN,O
training,PRP$,O
at,NN,O
the,IN,O
police,DT,O
training,NN,O
colleges,NN,O
consideration,NNS,O
three,VBP,O
in,CD,O
consideration,IN,O
one,NN,O
and,CD,O
consideration,CC,O
two,NN,O
above,CD,O
we,IN,O
have,PRP,O
concluded,VBP,O
that,VBN,O
even,IN,O
though,RB,O
the,IN,O
appointees,DT,O
in,NNS,O
question,IN,O
were,NN,O
deputed,VBD,O
for,VBN,O
training,IN,O
on,VBG,O
1461992,IN,O
their,CD,O
seniority,PRP$,B-LEGAL
had,NN,O
to,VBD,O
be,TO,O
determined,VB,O
alongwith,VBN,O
the,IN,O
candidates,DT,O
who,NNS,O
had,WP,O
been,VBD,O
deputed,VBN,O
for,VBN,O
training,IN,O
on,VBG,O
1571991,IN,O
we,CD,O
shall,PRP,O
now,MD,O
endeavour,RB,O
to,VB,O
consider,TO,O
the,VB,O
manner,DT,O
of,NN,O
fixing,IN,O
inter,VBG,O
se,NN,O
seniority,JJ,B-LEGAL
of,NN,O
the,IN,O
candidates,DT,O
who,NNS,O
were,WP,O
selected,VBD,O
in,VBN,O
the,IN,O
process,DT,O
of,NN,O
selection,IN,O
conducted,NN,O
in,VBN,O
furtherance,IN,O
of,NN,O
the,IN,O
notification,DT,O
dated,NN,O
2211991,VBD,O
by,CD,O
the,IN,O
recruitment,DT,O
board,NN,O
but,NN,O
had,CC,O
not,VBD,O
been,RB,O
appointed,VBN,O
on,VBN,O
account,IN,O
of,NN,O
the,IN,O
fact,DT,O
that,NN,O
they,IN,O
did,PRP,O
not,VBD,O
fall,RB,O
within,VB,O
the,IN,O
number,DT,O
of,NN,O
vacancies,IN,O
advertised,NNS,O
it,VBD,O
is,PRP,O
however,VBZ,O
relevant,RB,O
to,JJ,O
notice,TO,O
that,VB,O
after,IN,O
the,IN,O
issuance,DT,O
of,NN,O
the,IN,O
letter,DT,O
dated,NN,O
1141991,VBD,O
751991,CD,O
whereby,CD,O
provisionally,NN,O
selected,RB,O
candidates,VBN,O
were,NNS,O
deputed,VBD,O
for,VBN,O
training,IN,O
to,VBG,O
fill,TO,O
up,VB,O
the,RP,O
advertised,DT,O
vacancies,JJ,O
for,NNS,O
the,IN,O
posts,DT,O
of,NNS,O
sub,IN,O
inspector,JJ,O
of,NN,O
police,IN,O
in,NN,O
all,IN,O
the,PDT,O
7,DT,O
zones,CD,O
it,NNS,O
came,PRP,O
to,VBD,O
be,TO,O
realized,VB,O
that,VBN,O
all,IN,O
the,PDT,O
provisionally,DT,O
selected,RB,O
candidates,VBN,O
did,NNS,O
not,VBD,O
join,RB,O
the,VB,O
police,DT,O
training,NN,O
colleges,NN,O
for,NNS,O
the,IN,O
said,DT,O
training,VBD,O
so,NN,O
far,RB,O
as,RB,O
zone,IN,O
v,NN,O
warangal,NN,O
range,JJ,O
is,NN,O
concerned,VBZ,O
only,VBN,O
58,RB,O
candidates,CD,O
joined,NNS,O
training,VBD,O
at,NN,O
that,IN,O
very,DT,O
moment,RB,O
it,NN,O
was,PRP,O
open,VBD,O
to,JJ,O
the,TO,O
appointing,DT,B-LEGAL
authority,VBG,I-LEGAL
to,NN,O
depute,TO,O
further,VB,O
candidates,JJ,O
for,NNS,O
training,IN,O
out,VBG,O
of,IN,O
those,IN,O
whose,DT,O
names,WP$,O
fell,NNS,O
immediately,VBD,O
below,RB,O
the,IN,O
names,DT,O
of,NNS,O
candidates,IN,O
deputed,NNS,O
for,VBN,O
training,IN,O
vide,VBG,O
letter,JJ,O
dated,NN,O
1141991,VBD,O
751991,CD,O
against,CD,O
the,IN,O
balance,DT,O
vacancies,NN,O
the,VBZ,O
competent,DT,B-LEGAL
authority,NN,I-LEGAL
however,NN,O
delayed,RB,O
in,VBN,O
deputing,IN,O
the,VBG,O
names,DT,O
