ruma,NN,O 
state,VBD,O
of,RB,O
orissa,VBN,O
v,TO,O
m,VB,O
a,JJ,O
tullock,DT,O
co,JJ,O
manu,JJ,O
sc,NN,O
0021,IN,O
1963manu,NN,O
sc,TO,O
0021,DT,O
1963,NN,O
1964,IN,O
4scr461,NN,O
and,VBG,O
baij,PRP$,O
nath,NN,O
kedia,IN,O
v,DT,O
state,JJ,O
of,NN,O
bihar,VBD,O
and,VBN,O
ors,TO,O
manu,VB,O
sc,VBN,O
0352,IN,O
1969manu,DT,O
sc,NN,O
0352,IN,O
1969,VBG,O
1970,RB,O
2scr100,NN,O
mr,VBD,O
justice,VBN,O
mukherjee,IN,O
however,DT,O
took,NNS,O
a,IN,O
different,DT,O
view,NN,O
holding,VBD,O
that,IN,O
both,NN,O
acts,IN,O
namely,NN,O
the,FW,O
tobacco,FW,O
board,DT,O
act,NN,O
1975,NN,O
and,NN,O
the,NN,O
karnataka,CD,O
agricultural,CD,O
produce,NN,O
market,CD,O
act,CD,O
could,CD,O
operate,CD,O
together,CC,O
without,VB,O
offending,JJ,O
each,NN,O
other,NN,O
therefore,NN,O
the,IN,O
other,NN,O
question,CC,O
for,NNS,O
consideration,VBP,O
before,JJ,O
this,CD,O
bench,CD,O
has,NN,O
been,CD,O
as,CD,O
to,CD,O
whether,CD,O
provisions,JJ,O
of,NN,O
the,NN,O
two,RB,O
acts,VBD,O
viz,DT,O
tobacco,JJ,O
board,NN,O
act,VBG,O
and,IN,O
state,DT,O
act,NNS,O
could,RB,O
operate,DT,O
together,NN,O
or,NN,O
not,NN,O
160,CD,O
different,CC,O
states,DT,O
namely,JJ,O
bihar,JJ,O
up,NN,O
tamil,NN,O
nadu,NN,O
and,MD,O
others,VB,O
have,RB,O
similar,IN,O
state,VBG,O
legislations,DT,O
levying,JJ,O
market,RB,O
fee,DT,O
on,JJ,O
sale,NN,O
of,IN,O
agricultural,NN,O
produce,IN,O
including,DT,O
tobacco,NN,O
the,VBZ,O
same,VBN,O
question,IN,O
arose,TO,O
for,IN,O
consideration,NNS,O
in,IN,O
respect,DT,O
of,CD,O
these,NNS,O
states,VBP,O
as,NNP,O
well,NN,O
in,NN,O
one,CC,O
way,NN,O
or,NN,O
the,MD,O
other,VB,O
161,RB,O
brother,CC,O
pattanaik,RB,O
in,CD,O
his,JJ,O
judgment,NNS,O
has,RB,O
found,VBP,O
that,RP,O
the,JJ,O
itc,NNS,O
case,CC,O
supra,NNS,O
has,VBP,O
been,JJ,O
correctly,NN,O
decided,NNS,O
though,VBG,O
reasons,NN,O
for,NN,O
holding,IN,O
so,NN,O
were,IN,O
slightly,JJ,O
different,NNS,O
than,VBG,O
the,NN,O
reasons,DT,O
on,JJ,O
the,NN,O
basis,VBD,O
of,IN,O
which,NN,O
the,IN,O
judgment,NN,O
was,IN,O
rendered,DT,O
in,NNS,O
the,RB,O
itc,RB,O
case,IN,O
it,CD,O
has,NN,O
been,CC,O
further,DT,O
held,JJ,O
that,CD,O
once,NN,O
parliament,NN,B-LEGAL
takes,IN,O
over,PRP$,O
the,NN,O
control,VBZ,O
of,VBN,O
a,IN,O
particular,DT,O
industry,NN,O
in,NN,O
the,NN,O
interest,VBZ,O
of,VBN,O
the,RB,O
said,VBN,O
industry,IN,O
as,NNS,O
well,IN,O
as,VBG,O
in,RB,O
the,VBD,O
national,RB,B-LEGAL
interest,JJ,I-LEGAL
the,IN,O
control,DT,O
should,NNS,O
be,IN,O
effective,DT,O
and,NN,O
should,IN,O
be,WDT,O
in,DT,O
such,NN,O
a,VBD,O
manner,VBN,O
that,IN,O
the,DT,O
desired,NN,O
object,NN,O
can,PRP,O
be,VBZ,O
achieved,VBN,O
therefore,RB,O
whole,VBN,O
legislative,IN,O
field,RB,O
was,JJ,O
open,VBZ,O
to,IN,O
the,DT,O
parliament,NN,B-LEGAL
to,IN,I-LEGAL
legislate,DT,I-LEGAL
on,JJ,O
the,NN,O
subject,IN,O
of,DT,O
tobacco,NN,O
industry,IN,O
including,DT,O
growing,VBD,O
of,NN,O
tobacco,RB,O
as,RB,O
well,IN,O
as,IN,O
its,DT,O
sale,JJ,O
and,NN,O
purchase,DT,O
it,NN,O
has,MD,O
also,VB,O
been,JJ,O
held,CC,O
that,MD,O
in,VB,O
any,IN,O
case,JJ,O
entrenching,DT,O
into,NN,O
the,IN,O
legislative,DT,O
field,JJ,O
of,NN,O
an,MD,O
entry,VB,O
in,VBN,O
the,RB,O
other,JJ,O
list,JJ,O
on,NN,O
a,VBD,O
matter,JJ,O
which,TO,O
may,DT,O
be,NN,O
ancillary,TO,O
or,VB,O
incidental,IN,O
thereto,DT,O
would,NN,O
not,IN,O
invalidate,NN,O
the,NN,O
legislation,VBG,B-LEGAL
on,VBG,O
the,IN,O
other,NN,O
question,RB,O
it,RB,O
has,IN,O
been,PRP$,O
found,NN,O
that,CC,O
the,NN,O
two,PRP,O
acts,VBZ,O
namely,RB,O
tobacco,VBN,O
board,VBN,O
act,IN,O
1975,IN,O
and,DT,O
the,NN,O
state,VBG,O
agricultural,IN,O
produce,DT,O
marketing,JJ,O
act,NN,O
cannot,IN,O
operate,DT,O
simultaneously,NN,O
162,IN,O
brother,DT,O
sabharwal,JJ,O
j,NN,O
has,IN,O
broadly,DT,O
held,NN,O
that,WDT,O
the,MD,O
decision,VB,O
in,JJ,O
tika,CC,O
ramju,JJ,O
v,NN,O
state,MD,O
of,RB,O
up,VB,O
manu,DT,O
sc,NN,O
0008,IN,O
1956manu,DT,O
sc,JJ,O
0008,NN,O
1956,PRP,O
1956,VBZ,O
1scr393,VBN,O
holds,VBN,O
good,IN,O
for,DT,O
the,CD,O
purposes,NNS,O
of,RB,O
meaning,VBP,O
to,NN,O
be,NN,O
assigned,CD,O
to,CC,O
the,DT,O
expression,NN,O
industry,JJ,O
occurring,NN,O
in,NN,O
entry,NN,O
52,MD,O
of,RB,O
list,VB,O
i,RB,O
the,CD,O
pre,NN,O
manufacture,NN,O
activity,NN,O
relating,VBZ,O
to,RB,O
growing,VBN,O
and,IN,O
sale,DT,O
of,NN,O
tobacco,IN,O
cannot,JJ,O
be,NN,O
subject,NN,O
matter,NN,O
of,IN,O
legislation,IN,B-LEGAL
by,NN,O
the,NN,O
parliament,CD,B-LEGAL
by,CD,O
virtue,NN,O
of,CD,O
declaration,CD,O
of,CD,O
tobacco,CD,O
industry,VBZ,O
under,JJ,O
entry,IN,O
52,DT,O
of,NNS,O
list,IN,O
i,NN,O
of,TO,O
the,VB,O
viith,VBN,O
schedule,TO,O
the,DT,O
power,NN,O
of,NN,O
state,VBG,O
legislation,IN,B-LEGAL
to,NN,O
legislate,CD,O
on,IN,O
the,NN,O
subject,VBP,O
in,DT,O
the,JJ,O
list,NN,O
ii,NN,O
of,VBG,O
the,TO,O
viith,VBG,O
schedule,CC,O
eg,NN,O
entry,IN,O
14,NN,O
28,MD,O
etc,RB,O
remains,VB,O
unaffected,JJ,O
it,NN,O
has,IN,O
also,NN,O
been,IN,O
held,DT,O
that,NN,O
the,IN,O
state,NN,O
act,IN,O
and,NN,O
the,IN,O
central,NN,O
act,NN,O
cannot,IN,O
operate,NN,O
simultaneously,CD,O
whereas,IN,O
hon,NN,O
ble,NN,O
ruma,IN,O
pal,DT,O
j,NN,O
has,NN,O
also,DT,O
found,NN,O
that,IN,O
power,NN,B-LEGAL
of,NN,I-LEGAL
the,TO,I-LEGAL
state,VB,I-LEGAL
legislature,IN,O
to,DT,O
make,NN,O
laws,IN,O
relating,DT,O
to,NN,O
tobacco,NN,O
as,IN,O
agricultural,DT,O
produce,NN,O
its,NN,O
sale,VBD,O
and,NN,O
levy,CD,O
of,CD,O
market,NN,O
fee,VBZ,O
was,JJ,O
not,PRP,O
affected,VBZ,O
since,RB,O
it,VBN,O
cannot,VBN,O
be,IN,O
said,DT,O
to,NN,O
be,NN,O
covered,CC,O
by,DT,O
the,JJ,O
expression,NN,O
industry,MD,O
in,RB,O
entry,VB,O
52,RB,O
of,JJ,O
list,NN,O
i,JJ,O
of,NN,O
the,NN,O
viith,NN,O
schedule,VBZ,O
the,RB,O
itc,VBN,O
case,IN,O
supra,NN,O
has,IN,O
been,DT,O
held,NN,O
to,NN,O
be,TO,O
wrongly,VB,O
decided,NNS,O
it,VBG,O
has,TO,O
however,VB,O
been,IN,O
held,JJ,O
that,VBP,O
the,PRP$,O
tobacco,NN,O
board,CC,O
act,NN,O
1975,IN,O
and,NN,O
the,NN,O
state,VBD,O
act,RB,O
can,VBN,O
simultaneously,IN,O
operate,PRP,O
without,MD,O
offending,RB,O
each,VB,O
other,VBD,O
in,TO,O
case,VB,O
it,VBN,O
may,IN,O
not,DT,O
be,NN,O
possible,NN,O
the,IN,O
provisions,NN,O
of,CD,O
markets,IN,O
act,NN,O
and,NN,O
not,IN,O
the,DT,O
tobacco,NN,O
act,NN,O
would,DT,O
prevail,NN,O
163,NN,O
as,NN,O
noticed,VBZ,O
earlier,VBN,O
the,VBN,O
majority,TO,O
view,VB,O
in,RB,O
the,VBN,O
itc,PRP,O
case,VBZ,O
supra,RB,O
has,VBN,O
been,VBN,O
upheld,IN,O
in,DT,O
the,NNP,O
judgment,NN,O
of,NN,O
brother,CD,O
pattanaik,CC,O
on,DT,O
slightly,NN,O
different,NN,O
reasoning,MD,O
and,RB,O
the,VB,O
decisions,IN,O
of,VBG,O
this,DT,O
court,JJ,O
in,IN,O
ma,NN,O
tullock,PRP,O
and,MD,O
baij,RB,O
nath,VB,O
kedia,JJ,O
supra,DT,O
dealing,NNS,O
with,IN,O
legislation,NNS,B-LEGAL
on,JJ,O
mining,CC,O
and,RB,O
relied,DT,O
upon,NN,O
in,NN,O
the,MD,O
majority,VB,B-LEGAL
judgment,CD,I-LEGAL
of,IN,O
itc,VBN,O
case,IN,O
supra,DT,O
have,NN,O
been,NN,O
found,IN,O
to,DT,O
be,NN,O
not,NN,O
relevant,NN,O
for,VBZ,O
the,VBN,O
decision,VBN,O
it,IN,O
is,DT,O
true,NN,O
while,IN,O
legislating,NN,O
on,NN,O
any,IN,O
subject,RB,O
covered,JJ,O
under,NN,O
an,CC,O
entry,DT,O
of,NNS,O
any,IN,O
list,DT,O
there,NN,O
can,IN,O
always,NN,O
be,NN,O
a,CC,O
possibility,JJ,O
of,NN,O
entrenching,NN,O
upon,NN,O
or,VBG,O
touching,IN,O
the,NN,O
field,IN,O
of,NN,O
legislation,CC,B-LEGAL
of,VBN,O
another,IN,O
entry,IN,O
of,DT,O
the,NN,O
same,NN,O
list,IN,O
or,JJ,O
another,NN,O
list,NN,O
for,VBP,O
matters,VBN,O
which,VBN,O
may,TO,O
be,VB,O
incidental,RB,O
or,JJ,O
ancillary,IN,O
thereto,DT,O
in,NN,O
such,PRP,O
eventually,VBZ,O
inter,JJ,O
alia,IN,O
broad,VBG,O
and,IN,O
liberal,DT,O
interpretation,NN,B-LEGAL
of,VBN,O
an,IN,O
entry,DT,O
in,NN,O
the,IN,O
list,DT,O
may,NN,O
certainly,EX,O
be,MD,O
required,RB,O
an,VB,O
obsolete,DT,O
or,NN,O
watertight,IN,O
compartmentalization,VBG,O
of,NN,O
heads,CC,O
of,VBG,O
subject,DT,O
for,NN,O
legislation,IN,B-LEGAL
may,NN,O
not,IN,O
be,DT,O
possible,NN,O
but,IN,O
at,DT,O
the,JJ,O
same,NN,O
time,CC,O
entrenching,DT,O
into,NN,O
the,IN,O
field,NNS,O
of,WDT,O
another,MD,O
entry,VB,O
cannot,JJ,O
mean,CC,O
its,JJ,O
total,NN,O
sweeping,IN,O
off,JJ,O
even,RB,O
though,VBP,O
it,JJ,O
may,JJ,O
be,CC,O
in,JJ,O
the,NN,O
exclusive,IN,O
list,DT,O
of,NN,O
heads,IN,O
of,DT,O
subjects,NN,O
for,MD,O
legislation,RB,B-LEGAL
by,VB,O
the,VBN,O
other,DT,O
legislature,JJ,O
as,CC,O
in,JJ,O
the,NN,O
present,IN,O
case,NNS,O
the,IN,O
relevant,NN,O
heads,IN,O
of,NN,O
subject,MD,O
in,RB,O
list,VB,O
ii,JJ,O
other,CC,O
than,IN,O
entry,DT,O
24,JJ,O
cannot,NN,O
be,VBG,O
made,IN,O
to,DT,O
practically,NN,O
disappear,IN,O
from,DT,O
list,NN,O
ii,MD,O
and,RB,O
assumed,VB,O
to,PRP$,O
have,JJ,O
crossed,JJ,O
over,RP,O
in,RB,O
totality,IN,O
to,PRP,O
list,MD,O
i,VB,O
by,IN,O
virtue,DT,O
of,JJ,O
declaration,NN,O
of,IN,O
tobacco,NNS,O
industry,IN,O
under,NNS,O
entry,IN,O
52,NN,O
of,IN,O
list,DT,O
i,JJ,O
in,NN,O
the,IN,O
guise,IN,O
of,DT,O
touching,JJ,O
or,NN,O
entrenching,DT,O
upon,JJ,O
the,NNS,O
subjects,IN,O
of,JJ,O
the,IN,O
list,NN,O
ii,NN,O
164,JJ,O
i,IN,O
therefore,$,O
append,CD,O
my,MD,O
full,RB,O
agreement,VB,O
with,VBN,O
the,TO,O
conclusions,RB,O
and,VB,O
judgment,IN,O
of,NN,O
brother,NN,O
sabharwal,CC,O
j,VBN,O
on,TO,O
all,VB,O
points,VBN,O
the,RP,O
court,IN,O
in,NN,O
keeping,TO,O
with,VB,O
the,NN,O
conclusions,IN,O
of,NN,O
the,IN,O
majority,NN,O
expressed,IN,O
in,NN,O
the,NN,O
judgments,IN,O
of,NN,O
sabharwal,CD,O
ruma,IN,O
pal,NN,O
and,NN,O
brijesh,IN,O
kumar,DT,O
jj,NN,O
it,IN,O
is,VBG,O
held,CC,O
that,VBG,O
1,IN,O
itc,DT,O
s,NNS,O
case,IN,O
1985,DT,O
supp,NN,O
1,NN,O
scc,CD,O
476,NN,O
was,RB,O
not,JJ,O
correctly,PRP$,O
decided,JJ,O
2,NN,O
the,IN,O
state,DT,O
legislatures,NNS,O
are,CC,O
competent,NN,O
to,IN,O
enact,NN,O
legislation,NN,B-LEGAL
providing,NN,O
for,IN,O
the,DT,O
levy,NNS,O
and,DT,O
collection,NN,O
of,IN,O
a,VBG,O
market,IN,O
fee,DT,O
on,NNS,O
the,IN,O
sale,DT,O
of,NN,O
tobacco,VBN,O
in,IN,O
a,DT,O
market,NNS,O
area,IN,O
consequently,NN,O
the,NN,O
market,NN,O
acts,CC,O
enacted,JJ,O
by,NN,O
the,NN,O
states,PRP,O
are,VBZ,O
valid,VBN,O
3,IN,O
the,CD,O
state,NN,O
legislations,NN,O
and,NN,O
the,CD,O
tobacco,NN,O
board,CD,O
act,NN,O
1975,CD,O
to,VBD,O
the,RB,O
extent,RB,O
that,VBD,O
they,CD,O
relate,DT,O
to,NN,O
the,NNS,O
sale,VBP,O
of,JJ,O
tobacco,TO,O
in,VB,O
market,NN,O
areas,VBG,O
cannot,IN,O
co,DT,O
exist,NN,O
and,CC,O
the,NN,O
former,IN,O
prevail,DT,O
over,NN,O
the,NN,O
latter,IN,O
the,DT,O
appeals,NN,O
and,IN,O
the,NN,O
writ,IN,O
petition,DT,O
are,NN,O
disposed,NN,O
of,RB,O
accordingly,DT,O
no,NN,O
order,VBZ,O
as,VBN,O
to,IN,O
costs,DT,O
gb,NNS,O
pattanaik,VBP,O
j,JJ,O
165,CD,O
leave,DT,O
granted,NN,O
in,NNS,O
all,CC,O
the,DT,O
special,NNP,O
leave,NN,O
petitions,NN,O
166,CD,O
itc,TO,O
limited,DT,O
filed,NN,O
a,IN,O
writ,PRP,O
petition,VBP,O
under,TO,O
article,DT,O
226,NN,O
and,IN,O
227,NN,O
of,IN,O
the,NN,O
constitution,NNS,B-LEGAL
of,MD,I-LEGAL
india,RB,I-LEGAL
before,VB,O
the,NN,O
patna,CC,O
high,DT,O
court,JJ,O
against,NN,O
an,IN,O
order,DT,O
of,JJ,O
assessment,DT,O
passed,NNS,O
by,CC,O
the,DT,O
agricultural,NN,O
produce,NN,O
market,VBP,O
committee,VBN,O
monghyr,IN,O
demanding,RB,O
a,DT,O
sum,NN,O
of,IN,O
rs,TO,O
25,NNS,O
87,JJ,O
072,JJ,O
inter,NN,O
alia,CD,O
on,NN,O
the,VBN,O
ground,IN,O
that,PDT,O
the,DT,O
purchase,JJ,O
of,JJ,O
unprocessed,NNS,O
tobacco,CD,O
leaves,NN,O
from,VBD,O
the,VBD,O
growers,DT,O
being,NN,O
the,NN,O
subject,IN,O
matter,NN,O
of,CD,O
the,CC,O
levy,CD,O
the,IN,O
market,DT,O
committee,NN,O
has,IN,O
no,NN,O
power,IN,O
to,DT,O
levy,NN,O
and,JJ,O
collect,NN,O
fee,IN,O
the,DT,O
stand,NN,O
taken,IN,O
before,NN,O
the,VBN,O
high,IN,O
court,DT,O
was,JJ,O
that,NN,O
tobacco,NN,O
leaves,NN,O
neither,VBP,O
having,VBG,O
been,DT,O
bought,NN,O
or,IN,O
sold,NN,O
within,CD,O
the,CD,O
market,CD,O
area,NN,O
and,NN,O
the,IN,O
power,DT,O
to,NN,O
levy,IN,O
and,DT,O
collect,NN,O
market,IN,O
fee,JJ,O
under,NN,O
section,VBZ,O
27,IN,O
of,DT,O
the,NNS,O
bihar,VBG,O
agricultural,DT,O
produce,JJ,O
markets,NN,O
act,IN,O
being,DT,O
on,NN,O
the,DT,O
agricultural,NN,O
produce,NN,O
bought,VBZ,O
or,DT,O
sold,NN,O
in,TO,O
the,VB,O
market,CC,O
area,VB,O
the,NN,O
market,DT,O
committee,NN,O
was,VBN,O
not,IN,O
entitled,DT,O
to,JJ,O
levy,NN,O
market,VBD,O
fee,IN,O
the,NN,O
division,VBZ,O
bench,CC,O
however,VBG,O
without,VBN,O
entering,VBN,O
into,CC,O
the,VBN,O
aforesaid,IN,O
controversy,DT,O
came,NN,O
to,NN,O
the,CC,O
conclusion,DT,O
that,NN,O
no,TO,O
clear,VB,O
notice,CC,O
appears,VB,O
to,NN,O
have,NN,O
been,IN,O
given,NN,O
to,CD,O
the,IN,O
company,DT,O
to,JJ,O
produce,JJ,O
the,NN,O
records,NNS,O
for,VBP,O
the,VBG,O
purpose,IN,O
of,DT,O
satisfying,JJ,O
the,NN,O
market,VBD,O
committee,CC,O
that,VBN,O
the,IN,O
tobacco,DT,O
leaves,NN,O
in,NN,O
question,DT,O
were,NN,O
either,NN,O
not,VBD,O
processed,RB,O
or,VBN,O
exported,TO,O
from,VB,O
the,NN,O
market,NN,O
area,DT,O
and,NN,O
therefore,NN,O
the,RB,O
company,IN,O
must,VBG,O
be,IN,O
given,DT,O
afresh,NN,O
opportunity,NN,O
of,VBD,O
adducing,TO,O
all,DT,O
the,NN,O
relevant,IN,O
documents,DT,O
before,JJ,O
the,NN,O
market,VBZ,O
committee,TO,O
to,VB,O
escape,VBN,O
the,VBN,O
presumption,TO,O
arising,DT,O
out,NN,O
of,TO,O
proviso,VB,O
to,DT,O
section,NNS,O
27,IN,O
of,DT,O
the,NN,O
act,IN,O
the,VBG,O
high,DT,O
court,NN,O
having,NN,O
remitted,IN,O
the,DT,O
matter,NN,O
to,VBZ,O
the,IN,O
market,NN,O
committee,VBD,O
for,RB,O
passing,RB,O
a,VBN,O
fresh,CC,O
assessment,VBN,O
order,IN,O
the,DT,O
company,NN,O
has,NN,O
approached,CC,O
this,IN,O
court,DT,O
which,NN,O
is,MD,O
the,VB,O
subject,VBN,O
matter,JJ,O
in,NN,O
civil,IN,O
appeal,VBG,O
no,PDT,O
6453,DT,O
of,JJ,O
2001,NNS,O
arising,IN,O
out,DT,O
of,NN,O
slp,NN,O
civil,TO,O
no,VB,O
12374,DT,O
84,NN,O
when,VBG,O
the,IN,O
special,IN,B-LEGAL
leave,NN,I-LEGAL
petition,TO,I-LEGAL
was,NN,O
listed,CD,O
before,IN,O
a,DT,O
bench,NN,O
of,DT,O
this,JJ,O
court,NN,O
in,VBG,O
february,VBN,O
1987,DT,O
the,NN,O
judgment,TO,O
of,DT,O
this,NN,O
court,NN,O
in,IN,O
itc,VBG,O
ltd,DT,O
etc,JJ,O
v,NN,O
state,NN,O
of,DT,O
karnataka,NN,O
reported,VBZ,O
in,VBN,O
manu,DT,O
sc,NN,O
0007,WDT,O
1985manu,VBZ,O
sc,DT,O
0007,JJ,O
1985,NN,O
1985,IN,O
supp,JJ,O
1,NN,O
scr,DT,O
145,CD,O
had,IN,O
been,CD,O
placed,VBG,O
the,IN,O
bench,IN,O
tentatively,JJ,O
being,JJ,O
of,DT,O
the,CD,O
view,CD,O
that,WRB,O
the,DT,O
decision,JJ,O
of,JJ,O
this,NN,O
court,VBD,O
requires,VBN,O
reconsideration,IN,O
directed,DT,O
that,NN,O
the,IN,O
matter,DT,O
be,NN,O
placed,IN,O
before,JJ,O
a,CD,O
constitution,DT,O
bench,NN,O
of,IN,O
five,DT,O
judges,NN,O
and,IN,O
that,NN,O
is,NN,O
how,FW,O
the,JJ,O
matter,NN,O
has,IN,O
been,NN,O
placed,VBN,O
before,IN,O
the,NN,O
constitution,NN,O
bench,CD,O
subsequent,CD,O
to,NN,O
the,CD,O
bihar,CD,O
case,CD,O
similar,NN,O
cases,CD,O
arising,NN,O
out,CD,O
of,VBD,O
judgment,VBN,O
of,VBN,O
other,DT,O
high,NN,O
courts,RB,O
on,VBG,O
being,IN,O
assailed,DT,O
before,NN,O
this,IN,O
court,DT,O
those,NN,O
cases,IN,O
also,DT,O
have,NN,O
been,VBZ,O
tagged,NN,O
on,VBD,O
to,IN,O
this,DT,O
case,NN,O
when,VB,O
this,VBN,O
batch,IN,O
of,DT,O
cases,NN,O
had,NN,O
been,IN,O
earlier,CD,O
listed,NNS,O
before,CC,O
a,DT,O
constitution,VBZ,O
bench,WRB,O
and,DT,O
arguments,NN,O
had,VBZ,O
been,VBN,O
advanced,VBN,O
on,IN,O
behalf,DT,O
of,NN,O
company,NN,O
the,NN,O
court,TO,O
felt,DT,O
that,NN,O
it,NN,O
would,JJ,O
be,NNS,O
appropriate,VBG,O
to,IN,O
issue,IN,O
notice,NN,O
to,IN,O
the,JJ,O
attorney,JJ,B-LEGAL
general,NNS,I-LEGAL
and,IN,O
the,VBG,O
advocate,VBN,O
generals,IN,O
of,DT,O
all,NN,O
the,DT,O
states,NNS,O
as,RB,O
most,VBP,O
of,VBN,O
the,VBN,O
states,IN,O
have,TO,O
their,DT,O
state,NN,O
act,WRB,O
called,DT,O
the,NN,O
agricultural,IN,O
produce,NNS,O
market,VBD,O
act,VBN,O
and,RB,O
pursuant,VBN,O
to,IN,O
the,DT,O
order,NN,O
of,NN,O
this,CC,O
court,NNS,O
dated,VBD,O
10th,VBN,O
of,VBN,O
april,IN,O
2001,NN,O
notices,IN,O
were,NN,O
issued,DT,O
to,NN,O
advocate,VBD,O
generals,IN,O
of,PRP,O
all,MD,O
the,VB,O
states,JJ,O
as,TO,O
well,VB,O
as,RB,O
to,TO,O
the,DT,O
ld,NN,O
attorney,NN,B-LEGAL
general,CC,I-LEGAL
whereafter,DT,O
this,JJ,O
case,NNS,O
has,IN,O
been,PDT,O
heard,DT,O
by,NNS,O
this,IN,O
bench,JJS,O
167,IN,O
different,DT,O
state,NNS,O
legislatures,VBP,O
have,PRP$,O
enacted,NN,O
agricultural,NN,O
produce,VBD,O
and,DT,O
markets,JJ,O
act,NN,O
for,NN,O
regulating,NN,O
sale,CC,O
and,NN,O
purchase,TO,O
of,DT,O
the,NN,O
agricultural,IN,O
produce,DT,O
within,NN,O
the,VBD,O
market,CD,O
area,IN,O
and,NN,O
for,CD,O
levy,NNS,O
and,VBD,O
collection,VBN,O
of,TO,O
market,VB,O
fee,NNS,O
parliament,IN,B-LEGAL
having,PDT,O
declared,DT,O
that,NNS,O
it,RB,O
is,RB,O
expedient,IN,O
in,TO,O
the,DT,O
public,NN,O
interest,NN,O
that,JJ,O
union,NN,O
should,DT,O
take,NN,O
under,VBZ,O
its,VBN,O
control,VBN,O
the,IN,O
tobacco,DT,O
industry,NN,O
enacted,CD,O
the,JJ,O
tobacco,NN,O
board,NNS,O
act,VBP,O
1975,VBN,O
which,JJ,O
is,NN,O
an,CC,O
act,NNS,O
to,VBP,O
provide,IN,O
for,VBG,O
the,NN,O
development,CC,O
of,NN,O
tobacco,IN,O
industry,DT,O
under,JJ,O
the,NN,O
control,IN,B-LEGAL
of,DT,I-LEGAL
the,NN,I-LEGAL
union,NN,I-LEGAL
government,CC,O
under,IN,O
the,NN,O
agricultural,CC,O
produce,NN,O
markets,IN,O
act,NN,O
the,NN,O
state,NN,O
government,VBG,O
having,VBN,O
notified,IN,O
tobacco,PRP,O
as,VBZ,O
an,JJ,O
agricultural,IN,O
produce,DT,O
the,JJ,O
purchase,NN,O
and,IN,O
sale,NN,O
of,MD,O
tobacco,VB,O
is,IN,O
to,PRP$,O
be,NN,O
regulated,DT,O
under,NN,O
the,NN,O
provisions,VBD,O
of,DT,O
the,NN,O
state,NN,O
act,NN,O
and,CD,O
the,WDT,O
market,VBZ,O
committee,DT,O
has,NN,O
the,TO,O
right,VB,O
to,IN,O
levy,DT,O
and,NN,O
collect,IN,O
market,NN,O
fee,NN,O
on,IN,O
such,DT,O
sale,NN,O
and,IN,O
purchase,DT,O
of,NN,O
the,NN,O
notified,IN,O
agricultural,DT,O
produce,JJ,O
viz,NN,O
the,NNS,O
tobacco,VBP,O
in,DT,O
a,NN,O
case,NN,O
arising,VBG,O
from,VBN,O
the,NN,O
state,IN,O
of,DT,O
karnataka,JJ,O
this,NN,O
court,DT,O
by,NN,O
a,CC,O
majority,NN,O
of,IN,O
2,NN,O
1,VBZ,O
came,TO,O
to,VB,O
hold,VBN,O
that,IN,O
the,DT,O
tobacco,NNS,O
industry,IN,O
having,DT,O
been,NN,O
taken,NN,O
over,CC,O
by,DT,O
the,NN,O
central,NN,O
government,VBZ,O
under,DT,O
entry,NN,O
52,TO,O
of,VB,O
list,CC,O
i,VB,O
and,NN,O
having,NN,O
passed,IN,O
the,JJ,O
tobacco,NN,O
board,CC,O
act,NN,O
the,IN,O
state,DT,B-LEGAL
legislature,JJ,I-LEGAL
ceases,JJ,O
to,NN,O
have,IN,O
any,DT,O
jurisdiction,NN,B-LEGAL
to,IN,O
legislate,DT,O
in,NN,O
that,VBG,O
field,IN,O
and,DT,O
therefore,NN,O
the,IN,O
provisions,NN,O
contained,DT,O
in,NN,O
the,IN,O
karnataka,DT,O
act,NN,O
entitling,IN,O
the,CD,O
market,CD,O
committee,VBD,O
to,TO,O
levy,VB,O
market,IN,O
fee,DT,O
in,NN,O
respect,NN,O
of,VBG,O
sale,VBN,O
and,VBN,O
purchase,RP,O
of,IN,O
tobacco,DT,O
within,JJ,O
the,NN,O
market,IN,O
area,NN,O
directly,CD,O
collides,IN,O
with,NN,O
the,NN,O
tobacco,CC,O
board,VBG,O
act,VBN,O
1975,DT,O
and,NNP,O
as,NN,O
such,NN,O
the,DT,O
state,NN,O
act,NN,O
so,NNS,O
far,TO,O
as,VB,O
it,DT,O
relates,NN,O
to,TO,O
tobacco,VB,O
was,IN,O
struck,DT,O
down,NN,O
the,CC,O
minority,RB,O
view,DT,O
expressed,NNS,O
by,VBN,O
justice,IN,O
mukherjee,DT,O
was,NNP,O
however,NN,O
to,VBG,O
the,DT,O
effect,NN,O
that,NN,O
both,TO,O
acts,VB,O
can,NN,O
operate,NN,O
in,IN,O
their,NN,O
respective,IN,O
fields,NN,O
and,CC,O
there,NN,O
is,IN,O
no,NN,O
repugnancy,IN,B-LEGAL
if,DT,O
both,NN,O
the,NN,O
acts,RB,O
are,VBZ,O
considered,IN,O
in,DT,O
the,NN,O
light,NN,O
of,NN,O
their,CD,O
respective,CC,O
true,IN,O
nature,JJ,O
and,DT,O
character,NN,O
the,NN,O
majority,RB,O
view,RB,O
relied,IN,O
upon,PRP,O
the,VBZ,O
decisions,TO,O
of,VB,O
this,VBD,O
court,VBN,O
in,RP,O
