sb,NN,O
purpose,NNS,O
of,IN,O
appointment,DT,B-LEGAL
to,NN,O
the,IN,O
selection,NN,B-LEGAL
grade,TO,I-LEGAL
the,DT,O
two,NN,O
judges,VBD,O
committee,DT,O
could,CD,O
not,NNS,O
be,NN,O
made,MD,O
without,RB,O
consulting,VB,O
all,VBN,O
the,IN,O
judges,VBG,O
is,PDT,O
stated,DT,O
to,NNS,O
be,VBZ,O
rejected,VBN,O
the,TO,O
said,VB,O
submission,VBN,O
is,DT,O
based,VBD,O
on,NN,O
a,VBZ,O
total,VBN,O
misconception,IN,O
laving,DT,O
down,JJ,O
the,NN,O
merit,VBG,O
criteria,RP,O
for,DT,O
appointment,NN,B-LEGAL
to,NNS,O
the,IN,O
selection,NN,B-LEGAL
grade,TO,I-LEGAL
also,DT,O
was,NN,O
within,NN,O
the,RB,O
domain,VBD,O
of,IN,O
the,DT,O
high,NN,O
court,IN,O
it,DT,O
could,JJ,O
not,NN,O
only,PRP,O
lay,MD,O
down,RB,O
such,RB,O
criteria,VB,O
but,RP,O
also,JJ,O
amend,NNS,O
or,CC,O
modify,RB,O
the,VBP,O
same,CC,O
from,VBP,O
time,DT,O
to,JJ,O
time,IN,O
for,NN,O
the,TO,O
said,NN,O
purpose,IN,O
also,DT,O
the,VBD,O
chief,NN,O
justice,RB,O
could,DT,O
appoint,JJ,O
a,NN,O
committee,MD,O
the,VB,O
recommendation,DT,B-LEGAL
whereof,NN,O
was,DT,O
to,NN,O
be,NN,O
subject,VBD,O
to,TO,O
the,VB,O
approval,JJ,O
of,TO,O
the,DT,O
full,NN,O
court,IN,O
rule,DT,O
15,JJ,O
of,NN,O
the,NN,O
rules,CD,O
does,IN,O
not,DT,O
say,NNS,O
that,VBZ,O
before,RB,O
an,VB,O
action,IN,O
can,IN,O
be,DT,O
initiated,NN,O
in,MD,O
that,VB,O
behalf,VBN,O
by,IN,O
the,DT,O
chief,NN,O
justice,IN,O
all,DT,O
the,JJ,O
judges,NN,O
are,PDT,O
to,DT,O
be,NNS,O
consulted,VBP,O
rule,TO,O
15,VB,O
of,VBN,O
the,JJ,O
rules,CD,O
postulates,IN,O
a,DT,O
final,NNS,O
decision,VBZ,O
in,DT,O
the,JJ,O
matter,NN,O
specified,IN,O
therein,DT,O
and,NN,O
not,VBD,O
initiation,NNS,O
of,CC,O
process,RB,O
therefore,NN,O
24,IN,O
it,NN,O
is,RB,O
also,CD,O
incorrect,PRP,O
to,VBZ,O
contend,RB,O
that,JJ,O
all,TO,O
the,VB,O
judges,IN,O
of,PDT,O
the,DT,O
high,NNS,O
court,IN,O
are,DT,O
required,JJ,O
to,NN,O
be,VBP,O
consulted,VBN,O
at,TO,O
a,VB,O
time,VBN,O
25,IN,O
the,DT,O
learned,NN,O
counsel,CD,O
appearing,DT,O
on,JJ,O
behalf,NN,O
of,VBG,O
the,IN,O
respondents,NN,O
is,IN,O
again,DT,O
not,NNS,O
correct,VBZ,O
in,RB,O
contending,RB,O
that,VB,O
the,IN,O
two,VBG,O
judges,IN,O
committee,DT,O
was,CD,O
not,NNS,O
justified,NN,O
in,VBD,O
evolving,RB,O
a,VBN,O
merit,IN,O
criteria,VBG,O
different,DT,O
from,NN,O
the,NNS,O
one,JJ,O
approved,IN,O
by,DT,O
the,CD,O
full,VBN,O
court,IN,O
the,DT,O
two,JJ,O
judges,NN,O
committee,DT,O
did,CD,O
not,NNS,O
take,NN,O
any,VBD,O
final,RB,O
decision,VB,O
in,DT,O
that,JJ,O
behalf,NN,O
it,IN,O
having,DT,O
regard,NN,O
to,PRP,O
the,VBG,O
facts,VBN,O
and,TO,O
circumstances,DT,O
of,NNS,O
the,CC,O
case,NNS,O
and,IN,O
upon,DT,O
consideration,NN,O
of,CC,O
the,IN,O
extant,NN,O
rules,IN,O
as,DT,O
well,NN,O
as,NNS,O
the,RB,O
earlier,RB,O
decisions,IN,O
of,DT,O
the,JJR,O
full,NNS,O
court,IN,O
applied,DT,O
certain,JJ,O
principles,NN,O
and,VBD,O
criteria,JJ,O
which,NNS,O
inevitably,CC,O
was,NNS,O
subjected,WDT,O
to,RB,O
approval,VBD,O
of,VBN,O
the,TO,O
full,NN,O
court,IN,O
26,DT,O
the,JJ,O
procedure,NN,O
for,CD,O
holding,DT,O
a,NN,O
full,IN,O
court,VBG,O
meeting,DT,O
as,JJ,O
quoted,NN,O
supra,NN,O
would,IN,O
clearly,VBN,O
show,NN,O
that,MD,O
the,RB,O
meeting,VB,O
which,IN,O
had,DT,O
requisite,NN,O
quorum,WDT,B-LEGAL
as,VBD,O
contemplated,JJ,O
under,NN,O
rule,IN,O
29,VBN,O
would,IN,O
amount,NN,O
to,CD,O
compliance,MD,O
of,VB,O
the,TO,O
rules,NN,O
27,IN,O
although,DT,O
rule,NNS,O
15,CD,O
provides,IN,O
that,NN,O
all,CD,O
the,VBZ,O
judges,IN,O
shall,PDT,O
be,DT,O
consulted,NNS,O
in,MD,O
the,VB,O
matters,VBN,O
enumerated,IN,O
therein,DT,O
but,NNS,O
rule,VBD,O
18,RB,O
provides,CC,O
for,JJ,O
the,CD,O
mode,VBZ,O
and,IN,O
manner,DT,O
thereof,NN,O
28,CC,O
if,NN,O
such,VBP,O
consultation,CD,O
is,IN,O
to,JJ,O
be,NN,O
made,VBZ,O
by,TO,O
circulation,VB,O
undoubtedly,VBN,O
the,IN,O
relevant,NN,O
documents,RB,O
are,DT,O
required,JJ,O
to,NNS,O
be,VBP,O
circulated,VBN,O
to,TO,O
all,VB,O
the,VBN,O
judges,TO,O
in,PDT,O
the,DT,O
event,NNS,O
however,IN,O
such,DT,O
consultation,NN,O
is,RB,O
to,JJ,O
be,NN,O
effected,VBZ,O
by,TO,O
placing,VB,O
the,VBN,O
matter,IN,O
before,VBG,O
a,DT,O
full,NN,O
court,IN,O
all,DT,O
the,JJ,O
judges,NN,O
are,PDT,O
therefore,DT,O
invited,NNS,O
but,VBP,O
the,RB,O
same,VBN,O
would,CC,O
not,DT,O
mean,JJ,O
that,MD,O
in,RB,O
the,VB,O
event,IN,O
one,IN,O
or,DT,O
more,NN,O
judges,CD,O
does,CC,O
do,JJR,O
not,NNS,O
attend,VBZ,O
the,VB,O
full,RB,O
court,VB,O
the,DT,O
resolution,JJ,O
passed,NN,O
by,DT,O
it,NN,O
shall,VBN,O
be,IN,O
invalid,PRP,O
rule,MD,O
29,VB,O
provides,JJ,O
for,NN,O
a,CD,O
quorum,VBZ,B-LEGAL
in,IN,O
the,DT,O
case,NN,O
of,IN,O
a,DT,O
meeting,NN,O
of,IN,O
the,DT,O
judges,NN,O
of,IN,O
the,DT,O
court,NNS,O
the,IN,O
quorum,DT,B-LEGAL
will,NN,O
be,DT,O
complete,NN,O
if,MD,O
one,VB,O
half,JJ,O
or,IN,O
more,CD,O
of,NN,O
the,CC,O
judges,JJR,O
attend,IN,O
the,DT,O
same,NNS,O
consultation,VBP,O
with,DT,O
all,JJ,O
the,NN,O
judges,IN,O
would,PDT,O
thus,DT,O
not,NNS,O
mean,MD,O
that,RB,O
even,RB,O
if,VB,O
some,IN,O
of,RB,O
the,IN,O
judges,DT,O
do,IN,O
not,DT,O
choose,NNS,O
to,VBP,O
make,RB,O
themselves,VB,O
available,TO,O
in,VB,O
a,PRP,O
full,JJ,O
court,IN,O
meeting,DT,O
consultation,JJ,O
with,NN,O
all,NN,O
the,NN,O
judges,IN,O
shall,PDT,O
not,DT,O
be,NNS,O
complete,MD,O
29,RB,O
we,VB,O
may,JJ,O
notice,CD,O
that,PRP,O
even,MD,O
in,VB,O
the,DT,O
full,RB,O
court,IN,O
meeting,DT,O
held,JJ,O
on,NN,O
26th,NN,O
november,VBD,O
1966,IN,O
all,CD,O
the,JJ,O
hon,CD,O
ble,PDT,O
judges,DT,O
of,NN,O
the,JJ,O
high,NNS,O
court,IN,O
were,DT,O
not,JJ,O
present,NN,O
30,VBD,O
the,RB,O
committee,JJ,O
was,CD,O
constituted,DT,O
for,NN,O
the,VBD,O
purpose,VBN,O
of,IN,O
considering,DT,O
the,NN,O
cases,IN,O
of,VBG,O
concerned,DT,O
officers,NNS,O
it,IN,O
is,JJ,O
not,NNS,O
and,PRP,O
cannot,VBZ,O
be,RB,O
the,CC,O
case,MD,O
or,RB,O
the,VB,O
contention,DT,O
of,NN,O
the,CC,O
writ,DT,O
petitions,NN,O
that,IN,O
even,DT,O
for,NN,O
the,NNS,O
purpose,WDT,O
of,RB,O
considering,IN,O
the,DT,O
case,NN,O
of,IN,O
the,VBG,O
eligible,DT,O
judicial,NN,O
officers,IN,O
at,DT,O
the,JJ,O
threshold,JJ,O
it,NNS,O
was,IN,O
absolutely,DT,O
necessary,NN,O
to,PRP,O
place,VBD,O
the,RB,O
matter,JJ,O
before,TO,O
the,VB,O
full,DT,O
court,NN,O
the,IN,O
acting,DT,B-LEGAL
chief,JJ,I-LEGAL
justice,NN,I-LEGAL
constituted,DT,O
the,NN,O
committee,NN,O
for,NN,O
a,VBD,O
specific,DT,O
purpose,NN,O
the,IN,O
committee,DT,O
merely,JJ,O
submitted,NN,O
its,DT,O
opinion,NN,O
which,RB,O
was,VBD,O
subject,PRP$,O
to,NN,O
approval,WDT,O
by,VBD,O
the,JJ,O
full,TO,O
court,NN,O
once,IN,O
the,DT,O
opinion,JJ,O
of,NN,O
the,IN,O
matter,DT,O
is,NN,O
approved,IN,O
by,DT,O
the,NN,O
full,VBZ,O
court,VBN,O
in,IN,O
our,DT,O
opinion,JJ,O
it,NN,O
must,IN,O
be,PRP$,O
held,NN,O
that,PRP,O
there,MD,O
had,VB,O
been,VBN,O
a,IN,O
compliance,EX,O
of,VBD,O
rule,VBN,O
15,DT,O
of,NN,O
the,IN,O
rules,NN,O
31,CD,O
interpretation,IN,B-LEGAL
of,DT,O
a,NNS,O
statute,CD,O
depends,NN,O
upon,IN,O
the,DT,O
text,NN,O
and,VBZ,O
context,IN,O
thereof,DT,O
a,NN,O
statute,CC,O
should,NN,O
be,NN,O
interpreted,DT,O
having,NN,O
regard,MD,O
to,VB,O
the,VBN,O
purpose,VBG,O
and,NN,O
object,TO,O
for,DT,O
which,NN,O
the,CC,O
same,NN,O
was,IN,O
made,WDT,O
the,DT,O
chief,JJ,O
justice,VBD,O
of,VBN,O
a,DT,O
high,JJ,O
court,NN,O
although,IN,O
first,DT,O
amongst,JJ,O
the,NN,O
judges,IN,O
by,JJ,O
the,VBP,O
nature,DT,O
of,NNS,O
office,IN,O
he,DT,O
holds,NN,O
he,IN,O
is,NN,O
the,PRP,O
head,VBZ,O
of,PRP,O
the,VBZ,O
state,DT,O
judiciary,NN,O
authorisation,IN,O
by,DT,O
the,NN,O
full,JJ,O
court,NN,O
in,IN,O
favour,DT,O
of,JJ,O
the,NN,O
chief,IN,O
justice,NN,O
to,IN,O
constitute,DT,O
a,JJ,O
committee,NN,O
and,TO,O
or,VB,O
take,DT,O
actions,NN,O
for,CC,O
the,CC,O
subordinate,VB,B-LEGAL
judiciary,NNS,I-LEGAL
must,IN,O
be,DT,O
viewed,JJ,O
from,NN,O
that,MD,O
context,VB,O
rule,VBN,O
15,IN,O
of,DT,O
the,NN,O
rules,NN,O
provides,CD,O
for,IN,O
such,DT,O
matters,NNS,O
which,VBZ,O
require,IN,O
consultations,JJ,O
with,NNS,O
the,WDT,O
other,VBP,O
judges,NNS,O
of,IN,O
the,DT,O
high,JJ,O
court,NNS,O
32,IN,O
question,DT,O
of,JJ,O
consultation,NN,O
with,CD,O
the,NN,O
judges,IN,O
would,NN,O
not,IN,O
arise,DT,O
unless,NNS,O
the,MD,O
subject,RB,O
matter,VB,O
therefore,IN,O
is,DT,O
identified,JJ,O
it,NN,O
is,NN,O
for,VBZ,O
hon,VBN,O
ble,PRP,O
the,VBZ,O
chief,IN,O
justice,NN,O
of,JJ,O
the,DT,O
high,JJ,O
court,NN,O
to,IN,O
identify,DT,O
such,JJ,O
matters,NN,O
and,TO,O
place,VB,O
the,JJ,O
same,NNS,O
before,CC,O
the,NN,O
full,DT,O
court,JJ,O
with,IN,O
relevant,DT,O
papers,JJ,O
and,NN,O
documents,IN,O
33,JJ,O
it,NNS,O
is,CC,O
therefore,NNS,O
axiomatic,CD,O
that,PRP,O
not,VBZ,O
only,RB,O
the,JJ,O
chief,IN,B-LEGAL
justice,RB,I-LEGAL
of,RB,I-LEGAL
high,DT,I-LEGAL
court,JJ,I-LEGAL
was,NN,O
tree,IN,O
to,JJ,O
initiate,NN,O
any,VBD,O
proceedings,JJ,O
and,TO,O
obtain,VB,O
the,DT,O
opinion,NNS,O
of,CC,O
a,VB,O
committee,DT,O
of,NN,O
judges,IN,O
on,DT,O
such,NN,O
matters,IN,O
and,NNS,O
the,IN,O
only,JJ,O
legal,NNS,O
requirement,CC,O
therefore,DT,O
is,JJ,O
to,JJ,O
place,NN,O
such,NN,O
proposals,VBZ,O
together,TO,O
with,VB,O
the,JJ,O
opinion,NNS,O
of,RB,O
the,IN,O
committee,DT,O
before,NN,O
the,IN,O
judges,DT,O
of,NN,O
the,IN,O
high,DT,O
court,NNS,O
so,IN,O
that,DT,O
the,JJ,O
matter,NN,O
can,IN,O
be,IN,O
fully,DT,O
thrashed,NN,O
out,MD,O
once,VB,O
the,RB,O
full,VBN,O
court,RP,O
approves,RB,O
the,DT,O
recommendations,JJ,O
made,NN,O
by,VBZ,O
the,DT,O
committee,NNS,O
of,VBN,O
judges,IN,O
it,DT,O
becomes,NN,O
decision,IN,O
of,NNS,O
the,PRP,O
court,VBZ,O
which,NN,O
could,IN,O
be,DT,O
sent,NN,O
to,WDT,O
the,MD,O
governor,VB,O
for,VBN,O
acting,TO,O
thereupon,DT,O
34,NN,O
an,IN,O
almost,VBG,O
identical,NN,O
question,CD,O
came,DT,O
up,RB,O
for,JJ,O
consideration,NN,O
whether,VBD,O
the,RP,O
high,IN,O
court,NN,O
can,IN,O
delegate,DT,B-LEGAL
its,JJ,O
power,NN,O
to,MD,O
a,VB,O
judge,PRP$,O
or,NN,O
a,TO,O
shall,DT,O
committee,NN,O
of,CC,O
the,DT,O
judges,MD,O
of,NN,O
the,IN,O
court,DT,O
so,NNS,O
as,IN,O
to,DT,O
authorise,NN,O
it,RB,O
to,IN,O
act,TO,O
on,VB,O
this,PRP,O
behalf,TO,O
in,VB,O
state,IN,O
of,DT,O
uttar,NN,O
pradesh,IN,O
v,NN,O
batuk,IN,O
deo,JJ,O
pati,JJ,O
tripathi,NN,O
and,NN,O
anr,NN,O
supra,NN,O
in,NN,O
no,CC,O
uncertain,NN,O
terms,NN,O
it,IN,O
would,DT,O
held,JJ,O
the,NNS,O
control,PRP,O
vested,MD,O
in,VB,O
the,DT,O
high,NN,O
courts,VBN,O
by,IN,O
that,DT,O
article,JJ,O
comprehends,NNS,O
according,IN,O
to,DT,O
our,NN,O
decisions,VBZ,O
a,VBG,O
large,TO,O
variety,PRP$,O
of,NNS,O
matters,DT,O
like,JJ,O
transfers,NN,O
subsequent,IN,O
postings,NNS,O
leave,IN,O
promotions,NNS,O
other,JJ,O
than,NNS,O
initial,VBP,O
promotions,NNS,O
imposition,JJ,O
of,IN,O
minor,JJ,O
penalties,NNS,O
which,NN,O
do,IN,O
not,JJ,O
fall,NNS,O
within,WDT,O
article,VBP,O
311,RB,O
decisions,VB,O
regarding,IN,O
compulsory,NN,O
retirements,CD,O
recommendations,NNS,O
for,VBG,O
imposition,NN,O
of,NNS,O
major,NNS,O
penalties,IN,O
which,NN,O
fall,IN,O
within,JJ,O
article,NNS,O
311,WDT,O
entries,VBP,O
in,IN,O
character,NN,O
rolls,CD,O
and,NNS,O
so,IN,O
forth,NN,O
if,NNS,O
every,CC,O
judge,RB,O
is,JJ,O
to,IN,O
be,DT,O
associated,NN,O
personally,VBZ,O
and,TO,O
directly,VB,O
with,VBN,O
the,RB,O
decision,CC,O
on,RB,O
every,IN,O
one,DT,O
of,NN,O
these,IN,O
mattes,DT,O
several,CD,O
important,IN,O
matters,DT,O
pertaining,NNS,O
to,JJ,O
the,JJ,O
high,NNS,O
court,VBG,O
s,TO,O
administrative,DT,B-LEGAL
affairs,JJ,O
will,NN,O
pile,VBD,O
into,JJ,O
arrears,NNS,O
like,MD,O
court,VB,O
arrears,IN,O
in,NNS,O
fact,IN,O
it,NN,O
is,NNS,O
no,IN,O
exaggeration,NN,O
to,PRP,O
say,VBZ,O
that,DT,O
the,NN,O
control,TO,O
will,VB,O
be,IN,O
better,DT,O
and,NN,O
more,MD,O
effectively,VB,O
exercised,JJR,O
if,CC,O
a,RBR,O
smaller,RB,O
committee,VBN,O
of,IN,O
judges,DT,O
has,JJR,O
the,NN,O
authority,IN,O
of,NNS,O
the,VBZ,O
court,DT,O
to,NN,O
consider,IN,O
the,DT,O
manifold,NN,O
matters,TO,O
falling,VB,O
within,DT,O
the,NN,O
purview,NNS,O
of,VBG,O
article,IN,O
235,DT,O
bearing,NN,O
in,IN,O
mind,NN,O
therefore,CD,O
the,NN,O
nature,IN,O
of,NN,O
the,IN,O
power,DT,O
which,NN,O
that,IN,O
article,DT,O
confers,NN,O
on,WDT,O
the,IN,O
high,NN,O
court,NNS,O
we,IN,O
are,DT,O
of,JJ,O
the,NN,O
opinion,PRP,O
that,VBP,O
it,IN,O
is,DT,O
wrong,NN,O
to,IN,O
characterize,PRP,O
as,VBZ,O
delegation,JJ,O
the,TO,O
process,VB,O
whereby,IN,O
the,NN,O
entire,DT,O
high,NN,O
court,VBD,O
authorises,DT,O
a,JJ,O
judge,JJ,O
or,NN,O
some,VBZ,O
of,DT,O
the,NN,O
judges,CC,O
of,DT,O
the,IN,O
court,DT,O
to,NNS,O
act,IN,O
on,DT,O
behalf,NN,O
of,TO,O
the,VB,O
whole,IN,O
court,NN,O
such,IN,O
an,DT,O
authorization,JJ,O
effectuates,NN,O
the,PDT,O
purpose,DT,B-LEGAL
of,NN,I-LEGAL
article,VBZ,I-LEGAL
235,DT,O
and,NN,O
indeed,IN,O
without,NN,O
it,CD,O
the,CC,O
control,RB,O
vested,IN,O
in,PRP,O
the,DT,O
high,NN,O
court,VBN,O
over,IN,O
the,DT,O
subordinate,JJ,O
courts,NN,O
will,IN,O
tend,DT,O
gradually,NN,O
to,NNS,O
become,MD,O
lax,VB,O
and,RB,O
ineffective,TO,O
administrative,VB,B-LEGAL
functions,JJ,O
are,CC,O
only,JJ,O
a,JJ,O
part,NNS,O
though,VBP,O
an,RB,O
important,DT,O
part,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
s,IN,O
constitutional,DT,O
functions,JJ,O
judicial,NN,O
functions,VBD,O
ought,JJ,O
to,NNS,O
occupy,JJ,O
and,NNS,O
do,MD,O
in,TO,O
fact,VB,O
consume,CC,O
the,VB,O
best,IN,O
part,NN,O
of,VBP,O
a,DT,O
judge,JJS,O
s,NN,O
time,IN,O
for,DT,O
balancing,NN,O
these,NN,O
two,NN,O
fold,IN,O
functions,VBG,O
it,DT,O
is,CD,O
inevitable,VBP,O
that,NNS,O
the,PRP,O
administrative,VBZ,B-LEGAL
duties,JJ,O
should,IN,O
be,DT,O
left,JJ,O
to,NNS,O
be,MD,O
discharged,VB,O
by,VBN,O
some,TO,O
on,VB,O
behalf,VBN,O
of,IN,O
all,DT,O
the,IN,O
judges,NN,O
judicial,IN,O
functions,PDT,O
brook,DT,O
no,NNS,O
such,JJ,O
sharing,NNS,O
of,VBP,O
responsibilities,DT,O
by,JJ,O
any,NN,O
instrumentality,IN,O
35,NNS,O
in,IN,O
registrar,DT,O
high,NN,O
court,CD,O
of,IN,O
madras,JJ,O
v,JJ,O
r,NN,O
rajiah,IN,O
supra,NNS,O
it,JJ,O
was,NN,O
observed,NN,O
23,VBD,O
in,PRP,O
rajiah,VBD,O
s,VBN,O
case,CD,O
a,IN,O
review,NN,O
committee,NN,O
consisting,NN,O
of,DT,O
three,NN,O
judges,NN,O
was,VBG,O
appointed,IN,O
by,CD,O
a,NNS,O
resolution,VBD,O
of,VBN,O
the,IN,O
high,DT,O
court,NN,O
in,IN,O
the,DT,O
meeting,JJ,O
of,NN,O
the,IN,O
review,DT,O
committee,NN,O
held,IN,O
on,DT,O
june,NN,O
25,NN,O
1979,VBN,O
to,IN,O
consider,NN,O
the,CD,O
case,CD,O
of,TO,O
the,VB,O
respondent,DT,O
rajiah,NN,O
only,IN,O
two,DT,O
judges,NN,O
of,VBZ,O
the,RB,O
high,CD,O
court,NNS,O
were,IN,O
present,DT,O
the,JJ,O
two,NN,O
judges,VBD,O
came,JJ,O
to,DT,O
the,CD,O
conclusion,NNS,O
that,VBD,O
the,TO,O
respondent,DT,O
rajiah,NN,O
should,IN,O
be,DT,O
compulsorily,NN,O
retired,NN,O
with,MD,O
effect,VB,O
from,RB,O
april,VBN,O
2,IN,O
1980,NN,O
the,IN,O
division,NN,O
bench,CD,O
found,CD,O
that,DT,O
the,NN,O
third,NN,O
judge,VBD,O
had,IN,O
no,DT,O
notice,JJ,O
of,NN,O
the,VBD,O
meeting,DT,O
held,NN,O
on,IN,O
june,DT,O
25,NN,O
1979,VBN,O
but,IN,O
he,NN,O
agreed,CD,O
with,CD,O
the,CC,O
view,PRP,O
expressed,VBD,O
by,IN,O
the,DT,O
two,NN,O
judges,VBN,O
with,IN,O
a,DT,O
slight,CD,O
modification,NNS,O
that,IN,O
the,DT,O
respondent,JJ,O
would,NN,O
retire,IN,O
with,DT,O
effect,NN,O
from,MD,O
march,VB,O
3,IN,O
1980,NN,O
under,IN,O
rule,NN,O
56d,CD,O
of,CD,O
the,IN,O
fundamental,NN,O
rules,CD,O
the,IN,O
division,DT,O
bench,JJ,O
of,NNS,O
the,DT,O
high,NN,O
court,NN,O
took,IN,O
the,DT,O
view,JJ,O
that,NN,O
as,VBD,O
all,DT,O
the,NN,O
three,IN,O
judges,IN,O
had,PDT,O
not,DT,O
sat,CD,O
together,NNS,O
and,VBD,O
considered,RB,O
the,VBN,O
question,RB,O
of,CC,O
compulsory,VBD,B-LEGAL
retirement,DT,I-LEGAL
of,NN,O
respondent,IN,O
rajiah,JJ,O
and,NN,O
that,IN,O
further,NN,O
the,NN,O
third,CC,O
judge,IN,O
having,RB,O
also,DT,O
modified,JJ,O
the,NN,O
decision,VBG,O
of,RB,O
the,VBD,O
two,DT,O
judges,NN,O
namely,IN,O
that,DT,O
the,CD,O
respondent,NNS,O
would,RB,O
be,IN,O
compulsorily,DT,O
retired,NN,O
with,MD,O
effect,VB,O
from,RB,O
march,VBN,O
3,IN,O
1980,NN,O
the,IN,O
impugned,NN,O
order,CD,O
of,CD,O
compulsory,DT,B-LEGAL
retirement,JJ,I-LEGAL
of,NN,O
the,IN,O
respondent,JJ,O
rajiah,NN,O
was,IN,O
vitiated,DT,O
it,NN,O
is,NN,O
true,VBD,O
that,VBN,O
the,PRP,O
members,VBZ,O
of,JJ,O
the,IN,O
review,DT,O
committee,NNS,O
should,IN,O
sit,DT,O
together,NN,O
and,NN,O
consider,MD,O
the,VB,O
question,RB,O
of,CC,O
compulsory,VB,B-LEGAL
retirement,DT,I-LEGAL
but,NN,O
simply,IN,O
because,JJ,O
one,NN,O
of,CC,O
them,RB,O
did,IN,O
not,CD,O
participate,IN,O
in,PRP,O
the,VBD,O
meeting,RB,O
and,VB,O
subsequently,IN,O
agreed,DT,O
with,NN,O
the,CC,O
view,RB,O
expressed,VBN,O
by,IN,O
the,DT,O
other,NN,O
two,VBN,O
judges,IN,O
it,DT,O
would,JJ,O
not,CD,O
vitiate,NNS,O
the,PRP,O
decision,MD,O
of,RB,O
the,VB,O
committee,DT,O
to,NN,O
compulsorily,IN,O
retire,DT,O
the,NN,O
respondent,TO,O
the,RB,O
third,VB,O
judge,DT,O
might,NN,O
sic,DT,O
not,JJ,O
be,NN,O
justified,MD,O
in,VB,O
correcting,RB,O
the,VB,O
date,VBN,O
with,IN,O
effect,VBG,O
from,DT,O
which,NN,O
the,IN,O
respondent,NN,O
would,IN,O
compulsorily,WDT,O
retire,DT,O
but,NN,O
that,MD,O
is,VB,O
a,VB,O
very,CC,O
minor,DT,O
issue,VBZ,O
and,DT,O
would,RB,O
not,JJ,O
in,NN,O
our,CC,O
opinion,MD,O
make,RB,O
the,IN,O
decision,PRP$,O
invalid,NN,O
24,VBP,O
in,DT,O
regard,NN,O
to,JJ,O
the,CD,O
case,IN,O
of,NN,O
the,TO,O
other,DT,O
respondent,NN,O
namely,IN,O
k,DT,O
rajeswaran,JJ,O
the,NN,O
high,RB,O
court,VBD,O
took,VB,O
the,DT,O
view,JJ,O
that,NN,O
the,VBD,O
constitution,DT,O
of,NN,O
the,IN,O
review,DT,O
committee,NN,O
by,IN,O
the,DT,O
chief,NN,O
judge,NN,O
and,IN,O
not,DT,O
by,JJ,O
the,NN,O
full,CC,O
court,RB,O
was,IN,O
illegal,DT,O
we,JJ,O
are,NN,O
unable,VBD,O
to,JJ,O
accept,PRP,O
the,VBP,O
view,JJ,O
of,TO,O
the,VB,O
high,DT,O
court,NN,O
we,IN,O
fail,DT,O
to,JJ,O
understand,NN,O
why,PRP,O
the,VBP,O
chief,TO,O
justice,VB,O
cannot,WRB,O
appoint,DT,O
a,JJ,O
review,NN,O
committee,MD,O
or,RB,O
an,VB,O
administrative,DT,B-LEGAL
committee,NN,O
but,NN,O
in,CC,O
one,DT,O
respect,JJ,O
the,NN,O
high,CC,O
court,IN,O
is,CD,O
in,NN,O
our,DT,O
opinion,JJ,O
correct,NN,O
namely,VBZ,O
that,IN,O
the,PRP$,O
decision,NN,O
of,VBP,O
the,RB,O
review,IN,O
committee,DT,O
should,NN,O
have,IN,O
been,DT,O
placed,NN,O
before,NN,O
a,MD,O
meeting,VB,O
of,VBN,O
the,VBN,O
judges,IN,O
in,DT,O
the,NN,O
case,IN,O
of,DT,O
the,NNS,O
respondent,IN,O
k,DT,O
rajeswaran,NN,O
the,IN,O
decision,DT,O
and,NN,O
recommendation,NN,B-LEGAL
of,VBD,O
the,DT,O
review,NN,O
committee,CC,O
was,NN,O
not,IN,O
placed,DT,O
before,NN,O
the,NN,O
full,VBD,O
court,RB,O
meeting,VBN,O
nor,IN,O
is,DT,O
there,JJ,O
any,NN,O
material,NN,O
to,CC,O
show,VBZ,O
that,RB,O
the,DT,O
same,NN,O
was,TO,O
circulated,VB,O
to,IN,O
the,DT,O
judges,JJ,O
in,VBD,O
that,VBN,O
sense,TO,O
the,DT,O
recommendation,NNS,B-LEGAL
of,IN,O
the,DT,O
review,NN,O
committee,DT,O
was,NN,O
not,IN,O
strictly,DT,O
legal,NN,O
36,NN,O
furthermore,VBD,O
the,RB,O
terminology,RB,O
consultation,JJ,O
used,CD,O
in,RB,O
rule,DT,O
15,NN,O
having,NN,O
regard,VBN,O
to,IN,O
purport,NN,O
and,CD,O
object,VBG,O
thereof,NN,O
must,TO,O
be,VB,O
given,CC,O
its,VB,O
ordinary,NN,O
meaning,MD,O
in,VB,O
words,VBN,O
and,PRP$,O
phrases,JJ,O
permanent,NN,O
edition,IN,O
1960,NNS,O
volume,CC,O
9,NNS,O
page,JJ,O
3,NN,O
to,CD,O
consult,NN,O
is,CD,O
defined,NN,O
as,CD,O
to,TO,O
discuss,NN,O
something,VBZ,O
together,VBN,O
to,IN,O
deliberate,TO,O
corpus,VB,O
juris,NN,O
secundum,RB,O
volume,TO,O
16a,VB,O
ed,NN,O
1956,NN,O
page,NN,O
1242,NN,O
also,CD,O
says,NN,O
that,CD,O
the,NN,O
word,CD,O
consult,RB,O
is,VBZ,O
frequently,IN,O
defined,DT,O
as,NN,O
meaning,NN,O
to,VBZ,O
discuss,RB,O
something,VBN,O
together,IN,O
or,NN,O
to,TO,O
deliberate,VB,O
by,NN,O
giving,RB,O
an,CC,O
opportunity,TO,O
to,VB,O
consultation,IN,O
or,VBG,O
